tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,securities_amortization,gain_on_sale_of_security,selling_general_and_administration,general_and_administrative_expense,insurance_and_claims,salaries_and_wages,total_revenue,operating_revenue,date
0.0,0.132778,,,336763000.0,77871000.0,605507000.0,155705000.0,761212000.0,336763000.0,336763000.0,142138000.0,140947000.0,2.37,2.39,336763000.0,336763000.0,336763000.0,336763000.0,336763000.0,51561000.0,388324000.0,,64605000.0,489000.0,114476000.0,114476000.0,4930000.0,120422000.0,661997000.0,661997000.0,2022-12-31
-909920.0,0.235,-3872000.0,-3872000.0,322439000.0,32567000.0,599861000.0,235645000.0,835506000.0,325401080.0,322439000.0,141913000.0,141112000.0,2.27,2.28,322439000.0,322439000.0,322439000.0,322439000.0,322439000.0,98953000.0,421392000.0,-3872000.0,10110000.0,-5515000.0,137564000.0,137564000.0,7910000.0,129654000.0,650230000.0,650230000.0,2023-03-31
0.0,0.127,,,312031000.0,74012000.0,566746000.0,339388000.0,906134000.0,312031000.0,312031000.0,141876000.0,141468000.0,2.2,2.21,312031000.0,312031000.0,312031000.0,312031000.0,312031000.0,45557000.0,357588000.0,,55914000.0,11376000.0,133199000.0,133199000.0,8262000.0,124937000.0,634818000.0,634818000.0,2023-06-30
0.0,0.186,,,287738000.0,68277000.0,570813000.0,390974000.0,961787000.0,287738000.0,287738000.0,142122000.0,141485000.0,2.02,2.03,287738000.0,287738000.0,287738000.0,287738000.0,287738000.0,65813000.0,353551000.0,,49694000.0,12959000.0,131736000.0,131736000.0,8583000.0,123153000.0,635980000.0,635980000.0,2023-09-30
0.0,0.269791,,,238953000.0,-11396000.0,574834000.0,415544000.0,990378000.0,238953000.0,238953000.0,141409000.0,140595000.0,1.69,1.7,238953000.0,238953000.0,238953000.0,238953000.0,238953000.0,88286000.0,327239000.0,,4581000.0,3866000.0,209347000.0,209347000.0,78553000.0,130794000.0,643347000.0,643347000.0,2023-12-31
