tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,rent_expense_supplemental,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_non_operating_income_expenses,special_income_charges,other_special_charges,gain_on_sale_of_security,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,rent_and_landing_fees,salaries_and_wages,total_revenue,operating_revenue,date,insurance_and_claims
7103960.0,0.34,20894000.0,20894000.0,785849000.0,1445805000.0,17753899000.0,35372979000.0,53126878000.0,772058960.0,785849000.0,39143000.0,,,,,785849000.0,785849000.0,785849000.0,-43564000.0,829413000.0,829413000.0,-3372344000.0,-2542931000.0,-1995734000.0,20894000.0,-20894000.0,1102636000.0,1445805000.0,1445805000.0,794180000.0,794180000.0,651625000.0,11242052000.0,1536013000.0,9706039000.0,4174604000.0,39143000.0,5492292000.0,27361974000.0,27361974000.0,2022-12-31,
5753479.781337,0.127761,45033000.0,45033000.0,5399792000.0,1685524000.0,18370668000.0,39450559000.0,57821227000.0,5360512479.781337,5399792000.0,19704000.0,10658488000.0,10658488000.0,0.48,0.48,5399792000.0,5399792000.0,5399792000.0,-74018000.0,5473810000.0,5473810000.0,801778000.0,6275588000.0,795391000.0,45033000.0,-45033000.0,-15928000.0,1569404000.0,1569404000.0,896315000.0,896315000.0,673089000.0,9759338000.0,1091777000.0,8667561000.0,3506113000.0,19704000.0,5141744000.0,25827301000.0,25827301000.0,2023-03-31,
10989140.0,0.34,32321000.0,32321000.0,4016423000.0,1623650000.0,13031699000.0,39715011000.0,52746710000.0,3995091140.0,4016423000.0,2214000.0,11156730556.0,11156730556.0,0.36,0.36,4016423000.0,4016423000.0,4016423000.0,-54842000.0,4071265000.0,4071265000.0,-1020324000.0,3050941000.0,338677000.0,32321000.0,-32321000.0,3967112000.0,1503922000.0,1503922000.0,863429000.0,863429000.0,640493000.0,10011202000.0,1062679000.0,8948523000.0,3855927000.0,2214000.0,5090382000.0,24516954000.0,24516954000.0,2023-06-30,
17786420.0,0.34,52313000.0,52313000.0,3399975000.0,1662016000.0,15167892000.0,40151166000.0,55319058000.0,3365448420.0,3399975000.0,19987000.0,11333250000.0,11333250000.0,0.3,0.3,3399975000.0,3399975000.0,3399975000.0,-71069000.0,3471044000.0,3471044000.0,-1413179000.0,2057865000.0,1681746000.0,52313000.0,-52313000.0,438107000.0,1531010000.0,1531010000.0,906492000.0,906492000.0,624518000.0,10159604000.0,1130965000.0,9028639000.0,3850987000.0,19987000.0,5157665000.0,24557409000.0,24557409000.0,2023-09-30,
