tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.144742,508324000.0,59322000.0,59322000.0,117493000.0,343559000.0,508324000.0,508324000.0,-165515000.0,165515000.0,194784000.0,117493000.0,117493000.0,686431000.0,,,,,113998000.0,,113998000.0,3495000.0,117493000.0,-175697000.0,293190000.0,293190000.0,49619000.0,342809000.0,2925000.0,2925000.0,59322000.0,-165515000.0,165515000.0,194784000.0,505399000.0,342872000.0,8046000.0,334826000.0,334826000.0,132815000.0,202011000.0,848271000.0,343559000.0,1191830000.0,1191830000.0,2022-12-31
1712578.238402,0.140203,410580000.0,12215000.0,12215000.0,94039000.0,472439000.0,422795000.0,422795000.0,45104000.0,181673000.0,226777000.0,83536578.238402,94039000.0,628636000.0,178976022.0,178976022.0,0.49,0.49,94039000.0,5314000.0,88725000.0,5314000.0,94039000.0,-113277000.0,207316000.0,207316000.0,33806000.0,241122000.0,11292000.0,-923000.0,12215000.0,45104000.0,181673000.0,226777000.0,184726000.0,156197000.0,7852000.0,148345000.0,148345000.0,148345000.0,111658000.0,340923000.0,472439000.0,813362000.0,813362000.0,2023-03-31
0.0,0.130152,590712000.0,103907000.0,103907000.0,144514000.0,367550000.0,590712000.0,590712000.0,-208743000.0,208743000.0,237144000.0,144514000.0,144514000.0,837738000.0,194058041.0,182999515.0,0.74,0.75,139198000.0,0.0,139198000.0,5316000.0,144514000.0,-187741000.0,332255000.0,332255000.0,49714000.0,381969000.0,-5887000.0,-5887000.0,103907000.0,-208743000.0,208743000.0,237144000.0,596599000.0,470188000.0,13255000.0,456933000.0,456933000.0,141153000.0,315780000.0,1066787000.0,367550000.0,1434337000.0,1434337000.0,2023-06-30
0.0,0.131784,454210000.0,,,61823000.0,367502000.0,454210000.0,454210000.0,-227338000.0,227338000.0,,61823000.0,61823000.0,560960000.0,186218638.0,186218638.0,0.3,0.3,56486000.0,0.0,56486000.0,5337000.0,61823000.0,-135151000.0,196974000.0,196974000.0,29898000.0,226872000.0,5742000.0,5742000.0,,-227338000.0,227338000.0,,448468000.0,193458000.0,7064000.0,186394000.0,186394000.0,211842000.0,-25448000.0,641926000.0,367502000.0,1009428000.0,1009428000.0,2023-09-30
0.0,0.123273,726222000.0,,,173950000.0,390865000.0,726222000.0,726222000.0,-243122000.0,243122000.0,,173950000.0,173950000.0,770524000.0,201161788.0,189762660.0,0.86,0.88,189919000.0,0.0,189919000.0,-15969000.0,173950000.0,-249597000.0,423547000.0,423547000.0,59553000.0,483100000.0,5887000.0,5887000.0,,-243122000.0,243122000.0,,720335000.0,379659000.0,15321000.0,364338000.0,364338000.0,158806000.0,205532000.0,1099994000.0,390865000.0,1490859000.0,1490859000.0,2023-12-31
