free_cash_flow,capital_expenditure,end_cash_position,other_cash_adjustment_outside_changein_cash,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,capital_expenditure_reported,operating_cash_flow,date
9917000000.0,-8569000000.0,85115000000.0,,89789000000.0,-976000000.0,-3657000000.0,-4235000000.0,-17908000000.0,-17908000000.0,19169000000.0,,18486000000.0,2022-12-31
-24820000000.0,-3213000000.0,80770000000.0,41000000.0,85115000000.0,-726000000.0,-3660000000.0,1255000000.0,16692000000.0,16692000000.0,19905000000.0,-3213000000.0,-21607000000.0,2023-03-31
46511000000.0,,99149000000.0,0.0,80770000000.0,1827000000.0,16552000000.0,-1832000000.0,-28127000000.0,,,,46511000000.0,2023-06-30
10011000000.0,-4993000000.0,123868000000.0,0.0,99149000000.0,-763000000.0,25482000000.0,-4486000000.0,14964000000.0,14964000000.0,19957000000.0,-4993000000.0,15004000000.0,2023-09-30
11411000000.0,-8202000000.0,79398000000.0,-53000000.0,123868000000.0,-213000000.0,-44204000000.0,-745000000.0,-63072000000.0,-63072000000.0,-17953000000.0,,19613000000.0,2023-12-31
