tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.027925,972689000.0,0.0,0.0,1132445000.0,85561000.0,1619659000.0,972689000.0,887128000.0,-24039000.0,24039000.0,1132445000.0,1132445000.0,1787969000.0,833009000.0,117925000.0,117160000.0,9.6,9.67,1132445000.0,1132445000.0,1132445000.0,-29341000.0,1161786000.0,1161786000.0,322799000.0,24102000.0,863089000.0,54119000.0,54119000.0,0.0,,-24039000.0,24039000.0,833009000.0,168310000.0,20154000.0,148156000.0,1001319000.0,1619659000.0,2620978000.0,2620978000.0,2022-12-31
0.0,0.239,1271526000.0,0.0,0.0,1238580000.0,87271000.0,1303712000.0,1271526000.0,1184255000.0,-26777000.0,26777000.0,1238580000.0,1238580000.0,1478489000.0,1101763000.0,117841000.0,117232000.0,10.51,10.57,1238580000.0,1238580000.0,1238580000.0,-38123000.0,1276703000.0,1276703000.0,396188000.0,276963000.0,1157478000.0,82492000.0,82492000.0,0.0,0.0,-26777000.0,26777000.0,1101763000.0,174777000.0,20471000.0,154306000.0,1276540000.0,1303712000.0,2580252000.0,2580252000.0,2023-03-31
0.0,0.255,287037000.0,0.0,0.0,650043000.0,93085000.0,1811703000.0,287037000.0,193952000.0,-25577000.0,25577000.0,650043000.0,650043000.0,2230192000.0,139998000.0,117769000.0,117332000.0,5.52,5.54,650043000.0,650043000.0,650043000.0,-26396000.0,676439000.0,676439000.0,551051000.0,42987000.0,168375000.0,53954000.0,53954000.0,0.0,0.0,-25577000.0,25577000.0,139998000.0,418489000.0,21419000.0,397070000.0,558487000.0,1811703000.0,2370190000.0,2370190000.0,2023-06-30
0.0,0.054,-23387000.0,0.0,0.0,302533000.0,105445000.0,2255662000.0,-23387000.0,-128832000.0,-29332000.0,29332000.0,302533000.0,302533000.0,2450610000.0,-140014000.0,117783000.0,117349000.0,2.57,2.58,302533000.0,302533000.0,302533000.0,-18160000.0,320693000.0,320693000.0,470306000.0,-8551000.0,-158164000.0,11182000.0,11182000.0,0.0,0.0,-29332000.0,29332000.0,-140014000.0,194948000.0,21082000.0,173866000.0,54934000.0,2255662000.0,2310596000.0,2310596000.0,2023-09-30
14949900.0,0.21,-813612000.0,71190000.0,71190000.0,-617680000.0,144143000.0,3060217000.0,-742422000.0,-886565000.0,-34386000.0,34386000.0,-673920100.0,-617680000.0,3277221000.0,-849866000.0,117354000.0,117354000.0,-5.26,-5.26,-617680000.0,-617680000.0,-617680000.0,-14388000.0,-603292000.0,-603292000.0,436537000.0,118878000.0,-920951000.0,34491000.0,-36699000.0,71190000.0,,-34386000.0,34386000.0,-921056000.0,217004000.0,22753000.0,194251000.0,-704052000.0,3060217000.0,2356165000.0,2356165000.0,2023-12-31
