tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,gain_on_sale_of_business,impairment_of_capital_assets,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-3094079.612043,0.219438,765800000.0,-14100000.0,-14100000.0,386300000.0,148500000.0,2927500000.0,751700000.0,603200000.0,-108300000.0,108300000.0,3200000.0,397305920.387957,386300000.0,4618400000.0,260400000.0,257500000.0,1.48,1.5,386300000.0,386300000.0,386300000.0,386300000.0,386300000.0,108600000.0,494900000.0,-8900000.0,5200000.0,-16300000.0,-800000.0,0.0,,2200000.0,-108300000.0,3200000.0,108300000.0,3200000.0,612100000.0,1621700000.0,-18200000.0,79300000.0,79300000.0,79300000.0,79300000.0,1560600000.0,1560600000.0,1559300000.0,1300000.0,2233800000.0,2996700000.0,5230500000.0,5230500000.0,2022-12-31
223000.0,0.223,877200000.0,1000000.0,1000000.0,477400000.0,154100000.0,3021500000.0,878200000.0,724100000.0,-109700000.0,109300000.0,3500000.0,476623000.0,477400000.0,4724500000.0,259700000.0,256700000.0,1.84,1.86,477400000.0,477400000.0,477400000.0,477400000.0,477400000.0,137400000.0,614800000.0,6600000.0,5600000.0,4600000.0,4600000.0,,,-3600000.0,-109700000.0,3900000.0,109300000.0,3500000.0,717900000.0,1703000000.0,12700000.0,,,,,1690300000.0,1690300000.0,1695400000.0,-5100000.0,2420900000.0,3021500000.0,5442400000.0,5442400000.0,2023-03-31
216000.0,0.216,1281500000.0,1000000.0,1000000.0,793700000.0,158700000.0,3368300000.0,1282500000.0,1123800000.0,-108400000.0,111700000.0,7200000.0,792916000.0,793700000.0,5127000000.0,258900000.0,256000000.0,3.07,3.1,793700000.0,793700000.0,793700000.0,793700000.0,793700000.0,218400000.0,1012100000.0,6900000.0,5900000.0,2300000.0,16200000.0,20100000.0,34000000.0,-1300000.0,-108400000.0,3900000.0,111700000.0,7200000.0,1113600000.0,1758700000.0,600000.0,,,,,1758100000.0,1758100000.0,1763200000.0,-5100000.0,2872300000.0,3368300000.0,6240600000.0,6240600000.0,2023-06-30
-3258500.0,0.245,1279600000.0,-13300000.0,-13300000.0,761500000.0,155400000.0,3200500000.0,1266300000.0,1110900000.0,-99900000.0,101900000.0,5100000.0,771541500.0,761500000.0,5001000000.0,258400000.0,255100000.0,2.95,2.98,761500000.0,761500000.0,761500000.0,761500000.0,761500000.0,247500000.0,1009000000.0,-6800000.0,6500000.0,-12700000.0,-12700000.0,,0.0,-600000.0,-99900000.0,3100000.0,101900000.0,5100000.0,1115700000.0,1800500000.0,39400000.0,,,,,1761100000.0,1761100000.0,1766300000.0,-5200000.0,2916200000.0,3200500000.0,6116700000.0,6116700000.0,2023-09-30
-24305569.620253,0.248523,820700000.0,-97800000.0,-97800000.0,356200000.0,154300000.0,2703500000.0,722900000.0,568600000.0,-89300000.0,94600000.0,9400000.0,429694430.379747,356200000.0,4571900000.0,,,,,356200000.0,356200000.0,356200000.0,356200000.0,356200000.0,117800000.0,474000000.0,-117000000.0,-19200000.0,-45700000.0,-9000000.0,0.0,23900000.0,-52100000.0,-89300000.0,4100000.0,94600000.0,9400000.0,680300000.0,1868400000.0,28000000.0,,,,,1840400000.0,1840400000.0,1846100000.0,-5700000.0,2548700000.0,2703500000.0,5252200000.0,5252200000.0,2023-12-31
