treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,other_equity_interest,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,foreign_currency_translation_adjustments,minimum_pension_liabilities,treasury_stock,retained_earnings,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_accrued_expenses,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,line_of_credit,commercial_paper,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,inventory,finished_goods,work_in_process,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,cash_financial,date,additional_paid_in_capital
14717347.0,258875999.0,273593346.0,10370900000.0,12507900000.0,-8483100000.0,13671800000.0,-53000000.0,-8483100000.0,1938200000.0,3102100000.0,12693100000.0,3102100000.0,3102100000.0,3963900000.0,-700600000.0,31900000.0,-810800000.0,78300000.0,3775600000.0,3523200000.0,91200000.0,91200000.0,19491900000.0,13531200000.0,1366200000.0,139300000.0,139300000.0,240200000.0,681600000.0,681600000.0,11103900000.0,1512900000.0,9591000000.0,5960700000.0,1404000000.0,425300000.0,978700000.0,40200000.0,,938500000.0,4556700000.0,1138300000.0,3418400000.0,981900000.0,2436500000.0,22594000000.0,16686300000.0,1027300000.0,11585200000.0,4002000000.0,7583200000.0,4073800000.0,-2981600000.0,7055400000.0,496100000.0,1866800000.0,3230200000.0,1199300000.0,263000000.0,0.0,5907700000.0,518800000.0,2626500000.0,1957700000.0,668800000.0,2563600000.0,2563600000.0,-56600000.0,2620200000.0,198800000.0,198800000.0,,2022-12-31,
,257890316.0,257890316.0,10923600000.0,13000100000.0,-8382100000.0,14241800000.0,-13200000.0,-8382100000.0,1925100000.0,3166800000.0,12759900000.0,3166800000.0,3166800000.0,3998000000.0,-665800000.0,-665800000.0,,,4100800000.0,3844100000.0,91300000.0,91300000.0,19963100000.0,13657100000.0,1689900000.0,139300000.0,139300000.0,,739900000.0,739900000.0,11088000000.0,1494900000.0,9593100000.0,6306000000.0,1912100000.0,430200000.0,1481900000.0,600000.0,29000000.0,1452300000.0,4393900000.0,1037200000.0,3356700000.0,843100000.0,2513600000.0,23129900000.0,16837100000.0,1072000000.0,11548900000.0,4103500000.0,7445400000.0,4216200000.0,-3059700000.0,7275900000.0,638600000.0,1854200000.0,3306600000.0,1211800000.0,264700000.0,0.0,6292800000.0,524400000.0,2707800000.0,2093900000.0,613900000.0,2909200000.0,2909200000.0,-67000000.0,2976200000.0,151400000.0,151400000.0,151400000.0,2023-03-31,
,257148607.0,257148607.0,10192000000.0,12340700000.0,-7749800000.0,14032500000.0,11500000.0,-7749800000.0,1939300000.0,3631100000.0,12726800000.0,3631100000.0,3631100000.0,4044600000.0,-651300000.0,-651300000.0,,,4335100000.0,4481500000.0,91400000.0,91400000.0,19535000000.0,13195900000.0,1746800000.0,139300000.0,139300000.0,,710900000.0,710900000.0,10598900000.0,1503200000.0,9095700000.0,6339100000.0,1741800000.0,436100000.0,1305700000.0,499500000.0,600000.0,805600000.0,4597300000.0,1099100000.0,3498200000.0,1008500000.0,2489700000.0,23166100000.0,16815500000.0,1122900000.0,11380900000.0,3934400000.0,7446500000.0,4311700000.0,-2942600000.0,7254300000.0,732200000.0,1869200000.0,3339500000.0,1049100000.0,264300000.0,0.0,6350600000.0,584400000.0,2439000000.0,1924700000.0,514300000.0,3117800000.0,3117800000.0,-76700000.0,3194500000.0,209400000.0,209400000.0,209400000.0,2023-06-30,
,255966090.0,255966090.0,9432600000.0,11880000000.0,-7456300000.0,13716000000.0,-424400000.0,-7456300000.0,1944000000.0,3780000000.0,12279200000.0,3780000000.0,3780000000.0,4103900000.0,-756400000.0,-756400000.0,,,4746600000.0,5087400000.0,91700000.0,91700000.0,19224500000.0,12601300000.0,1811500000.0,139300000.0,139300000.0,,648400000.0,648400000.0,10002100000.0,1502900000.0,8499200000.0,6623200000.0,1877900000.0,441100000.0,1436800000.0,1098200000.0,100000.0,338500000.0,4745300000.0,1172400000.0,3572900000.0,1148100000.0,2424800000.0,23004500000.0,16805700000.0,1114100000.0,11236300000.0,3824000000.0,7412300000.0,4455300000.0,-2982300000.0,7437600000.0,882000000.0,1874700000.0,3379400000.0,1039200000.0,262300000.0,0.0,6198800000.0,510200000.0,2244300000.0,1833700000.0,410600000.0,2940900000.0,2940900000.0,-75200000.0,3016100000.0,503400000.0,503400000.0,503400000.0,2023-09-30,
20434584.0,254543290.0,274977874.0,9574100000.0,11809700000.0,-7790700000.0,13566700000.0,-1114000000.0,-7790700000.0,1958800000.0,3715800000.0,12093700000.0,3715800000.0,3715800000.0,,-624300000.0,-624300000.0,,,5233600000.0,5288300000.0,91800000.0,91800000.0,19238600000.0,12611700000.0,1908000000.0,133200000.0,133200000.0,,683100000.0,683100000.0,9887400000.0,1509500000.0,8377900000.0,6626900000.0,1922300000.0,449300000.0,1473000000.0,1098800000.0,26500000.0,347700000.0,4704600000.0,1329500000.0,3375100000.0,1060100000.0,2315000000.0,22954400000.0,17441500000.0,1210800000.0,11506500000.0,3880500000.0,7626000000.0,4724200000.0,-3040200000.0,7764400000.0,1111000000.0,1887400000.0,3459800000.0,1048700000.0,257500000.0,0.0,5512900000.0,438400000.0,2329800000.0,1810900000.0,518900000.0,2467900000.0,2467900000.0,-59600000.0,2527500000.0,276800000.0,276800000.0,,2023-12-31,4193600000.0
