tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,other_operating_expenses,depreciation_and_amortization_in_income_statement,amortization,total_revenue,operating_revenue,date
-586065.57377,0.195355,-3000000.0,-3000000.0,589000000.0,140000000.0,782000000.0,-50000000.0,50000000.0,591413934.42623,589000000.0,5115000000.0,322651934.0,315111248.0,1.81,1.853314,584000000.0,584000000.0,5000000.0,589000000.0,589000000.0,589000000.0,143000000.0,732000000.0,17000000.0,-3000000.0,3000000.0,-50000000.0,50000000.0,0.0,18000000.0,18000000.0,5847000000.0,5847000000.0,2022-12-31
0.0,0.180704,0.0,0.0,535000000.0,129000000.0,703000000.0,-50000000.0,50000000.0,535000000.0,535000000.0,5231000000.0,318600000.0,314000000.0,1.66,1.69,530000000.0,530000000.0,5000000.0,535000000.0,535000000.0,535000000.0,118000000.0,653000000.0,20000000.0,0.0,0.0,-50000000.0,50000000.0,,18000000.0,18000000.0,5884000000.0,5884000000.0,2023-03-31
-558035.714286,0.186012,-3000000.0,-3000000.0,547000000.0,129000000.0,722000000.0,-50000000.0,50000000.0,549441964.285714,547000000.0,5345000000.0,313300000.0,309400000.0,1.73,1.75,542000000.0,542000000.0,5000000.0,547000000.0,547000000.0,547000000.0,125000000.0,672000000.0,25000000.0,-3000000.0,3000000.0,-50000000.0,50000000.0,,17000000.0,17000000.0,6017000000.0,6017000000.0,2023-06-30
-199261.99262,0.199262,-1000000.0,-1000000.0,651000000.0,128000000.0,863000000.0,-50000000.0,50000000.0,651800738.00738,651000000.0,5288000000.0,309000000.0,304600000.0,2.09,2.12,645000000.0,645000000.0,6000000.0,651000000.0,651000000.0,651000000.0,162000000.0,813000000.0,21000000.0,-1000000.0,1000000.0,-50000000.0,50000000.0,5000000.0,18000000.0,18000000.0,6101000000.0,6101000000.0,2023-09-30
-376842.105263,0.188421,-2000000.0,-2000000.0,771000000.0,124000000.0,999000000.0,-49000000.0,49000000.0,772623157.894737,771000000.0,5373000000.0,305100000.0,300300000.0,2.51,2.55,766000000.0,766000000.0,5000000.0,771000000.0,771000000.0,771000000.0,179000000.0,950000000.0,18000000.0,-2000000.0,2000000.0,-49000000.0,49000000.0,5000000.0,18000000.0,18000000.0,6323000000.0,6323000000.0,2023-12-31
-173435.784852,0.173436,-1000000.0,-1000000.0,753000000.0,127000000.0,961000000.0,-50000000.0,50000000.0,753826564.215148,753000000.0,5489000000.0,302600000.0,298100000.0,2.47,2.51,748000000.0,748000000.0,5000000.0,753000000.0,753000000.0,753000000.0,158000000.0,911000000.0,19000000.0,-1000000.0,1000000.0,-50000000.0,50000000.0,-3000000.0,18000000.0,18000000.0,6400000000.0,6400000000.0,2024-03-31
