treasury_shares_number,preferred_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,net_tangible_assets,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,long_term_debt_and_capital_lease_obligation,long_term_debt,total_assets,investments_and_advances,long_term_equity_investment,investments_in_other_ventures_under_equity_method,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,receivables,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date,current_debt_and_capital_lease_obligation,current_debt,line_of_credit
29848980.0,13800000.0,315111248.0,344960228.0,4128000000.0,4357000000.0,10608000000.0,17654000000.0,10942000000.0,13297000000.0,334000000.0,17988000000.0,13631000000.0,13631000000.0,-3876000000.0,-3876000000.0,1773000000.0,17048000000.0,1895000000.0,337000000.0,3000000.0,334000000.0,59391000000.0,4357000000.0,4357000000.0,73022000000.0,46401000000.0,4177000000.0,4177000000.0,2689000000.0,778000000.0,1911000000.0,927000000.0,11915000000.0,11915000000.0,40319000000.0,40090000000.0,229000000.0,2022-12-31,,,
33180509.0,13800000.0,311779719.0,344960228.0,4206000000.0,4358000000.0,11335000000.0,18364000000.0,11669000000.0,14006000000.0,334000000.0,18698000000.0,14340000000.0,14340000000.0,-3254000000.0,-3254000000.0,2044000000.0,17454000000.0,1847000000.0,337000000.0,3000000.0,334000000.0,59909000000.0,4358000000.0,4358000000.0,74249000000.0,47446000000.0,4315000000.0,4315000000.0,2671000000.0,760000000.0,1911000000.0,904000000.0,12201000000.0,12201000000.0,41656000000.0,41504000000.0,152000000.0,2023-03-31,,,
37889534.0,13800000.0,307070694.0,344960228.0,4210000000.0,4360000000.0,11164000000.0,18178000000.0,11498000000.0,13818000000.0,334000000.0,18512000000.0,14152000000.0,14152000000.0,-3524000000.0,-3524000000.0,2390000000.0,17865000000.0,1864000000.0,337000000.0,3000000.0,334000000.0,59743000000.0,4360000000.0,4360000000.0,73895000000.0,46475000000.0,4527000000.0,4527000000.0,2654000000.0,743000000.0,1911000000.0,884000000.0,12490000000.0,12490000000.0,40883000000.0,40733000000.0,150000000.0,2023-06-30,,,
42523441.0,13800000.0,302436787.0,344960228.0,4250000000.0,4361000000.0,10709000000.0,17706000000.0,11043000000.0,13345000000.0,334000000.0,18040000000.0,13679000000.0,13679000000.0,-4178000000.0,-4178000000.0,2731000000.0,18382000000.0,1869000000.0,337000000.0,3000000.0,334000000.0,60837000000.0,4361000000.0,4361000000.0,74516000000.0,47136000000.0,4664000000.0,4664000000.0,2636000000.0,725000000.0,1911000000.0,894000000.0,12498000000.0,12498000000.0,41373000000.0,41262000000.0,111000000.0,2023-09-30,,,
28488130.0,13800000.0,298472098.0,326960228.0,4236000000.0,4362000000.0,12375000000.0,19355000000.0,12709000000.0,14993000000.0,334000000.0,19689000000.0,15327000000.0,15327000000.0,-2849000000.0,-2849000000.0,1816000000.0,19007000000.0,648000000.0,337000000.0,3000000.0,334000000.0,61453000000.0,4362000000.0,4362000000.0,76780000000.0,49644000000.0,4785000000.0,4785000000.0,2618000000.0,707000000.0,1911000000.0,896000000.0,12711000000.0,12711000000.0,43794000000.0,43668000000.0,126000000.0,2023-12-31,0.0,0.0,0.0
30153089.0,13800000.0,296807139.0,326960228.0,4089000000.0,4363000000.0,12533000000.0,19497000000.0,12867000000.0,15134000000.0,334000000.0,19831000000.0,15468000000.0,15468000000.0,-2997000000.0,-2997000000.0,2037000000.0,19614000000.0,551000000.0,337000000.0,3000000.0,334000000.0,62242000000.0,4363000000.0,4363000000.0,77710000000.0,49709000000.0,4866000000.0,4866000000.0,2601000000.0,690000000.0,1911000000.0,879000000.0,13082000000.0,13082000000.0,18956000000.0,18682000000.0,274000000.0,2024-03-31,,,
