tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-560061053.668144,0.195963,5643000000.0,-2858000000.0,-2858000000.0,1640000000.0,528000000.0,1396000000.0,2785000000.0,2257000000.0,-226000000.0,226000000.0,3937938946.331856,1640000000.0,2264000000.0,2267000000.0,1264000000.0,1252000000.0,1.3,1.31,1640000000.0,1640000000.0,1640000000.0,7000000.0,1633000000.0,1633000000.0,398000000.0,2031000000.0,-2868000000.0,-10000000.0,-2858000000.0,158000000.0,-226000000.0,226000000.0,5125000000.0,868000000.0,-1152000000.0,2020000000.0,5993000000.0,1396000000.0,7389000000.0,7389000000.0,2022-12-31
-116883000.0,0.243,2651000000.0,-481000000.0,-481000000.0,1010000000.0,640000000.0,1401000000.0,2170000000.0,1530000000.0,-230000000.0,230000000.0,1374117000.0,1010000000.0,4167000000.0,1705000000.0,1261000000.0,1248000000.0,0.8,0.81,1010000000.0,1010000000.0,1010000000.0,26000000.0,985000000.0,985000000.0,316000000.0,1300000000.0,-655000000.0,-174000000.0,-481000000.0,481000000.0,-230000000.0,230000000.0,2185000000.0,2766000000.0,1447000000.0,1319000000.0,4951000000.0,1401000000.0,6352000000.0,6352000000.0,2023-03-31
-81656000.0,0.346,2735000000.0,-236000000.0,-236000000.0,1045000000.0,681000000.0,1442000000.0,2499000000.0,1818000000.0,-230000000.0,230000000.0,1199344000.0,1045000000.0,4698000000.0,1665000000.0,1258000000.0,1249000000.0,0.83,0.84,1045000000.0,1045000000.0,1045000000.0,6000000.0,1039000000.0,1039000000.0,549000000.0,1588000000.0,-84000000.0,152000000.0,-236000000.0,236000000.0,-230000000.0,230000000.0,1901000000.0,3256000000.0,1407000000.0,1849000000.0,5157000000.0,1442000000.0,6599000000.0,6599000000.0,2023-06-30
-5733000.0,0.063,3325000000.0,-91000000.0,-91000000.0,2180000000.0,684000000.0,1565000000.0,3234000000.0,2550000000.0,-232000000.0,232000000.0,2265267000.0,2180000000.0,4337000000.0,2623000000.0,1257000000.0,1248000000.0,1.73,1.75,2180000000.0,2180000000.0,2180000000.0,8000000.0,2172000000.0,2172000000.0,146000000.0,2318000000.0,-163000000.0,-72000000.0,-91000000.0,91000000.0,-232000000.0,232000000.0,2713000000.0,2772000000.0,1457000000.0,1315000000.0,5485000000.0,1565000000.0,7050000000.0,7050000000.0,2023-09-30
-56920145.190563,0.143376,2990000000.0,-397000000.0,-397000000.0,1429000000.0,688000000.0,2090000000.0,2593000000.0,1905000000.0,-252000000.0,252000000.0,1769079854.809437,1429000000.0,5106000000.0,1612000000.0,1256000000.0,1248000000.0,1.14,1.15,1429000000.0,1429000000.0,1429000000.0,12000000.0,1417000000.0,1416000000.0,237000000.0,1653000000.0,-104000000.0,293000000.0,-397000000.0,347000000.0,-252000000.0,252000000.0,2008000000.0,3016000000.0,1408000000.0,1608000000.0,5024000000.0,2090000000.0,7114000000.0,7114000000.0,2023-12-31
