tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,total_unusual_items,total_unusual_items_excluding_goodwill,special_income_charges,restructuring_and_mergern_acquisition
0.0,0.003824,-68373000.0,-95076000.0,23506000.0,35989000.0,-68373000.0,-91879000.0,17348000.0,3562000.0,20910000.0,-95076000.0,-95076000.0,372469000.0,-112463000.0,105906000.0,105906000.0,-0.9,-0.9,-95076000.0,-95076000.0,-95076000.0,-95076000.0,-95076000.0,-365000.0,-95441000.0,-326000.0,-326000.0,17348000.0,3562000.0,20910000.0,-112463000.0,325002000.0,12028000.0,12028000.0,78910000.0,234064000.0,164683000.0,69381000.0,69381000.0,212539000.0,47467000.0,260006000.0,260006000.0,2022-12-31,,,,
0.0,0.21,-2248000.0,-31138000.0,24155000.0,36788000.0,-2248000.0,-26403000.0,23651000.0,4193000.0,27844000.0,-31138000.0,-31138000.0,326773000.0,-54218000.0,106597000.0,106597000.0,-0.29,-0.29,-31138000.0,-31138000.0,-31138000.0,-31138000.0,-31138000.0,542000.0,-30596000.0,-29000.0,-29000.0,23651000.0,4193000.0,27844000.0,-54218000.0,277923000.0,12093000.0,12093000.0,78761000.0,187069000.0,115350000.0,71719000.0,71719000.0,223705000.0,48850000.0,272555000.0,272555000.0,2023-03-31,,,,
0.0,0.21,14244000.0,-15871000.0,24778000.0,40121000.0,14244000.0,-10534000.0,26461000.0,4599000.0,31060000.0,-15871000.0,-15871000.0,337381000.0,-41398000.0,106414000.0,106414000.0,-0.15,-0.15,-15871000.0,-15871000.0,-15871000.0,-15871000.0,-15871000.0,738000.0,-15133000.0,-196000.0,-196000.0,26461000.0,4599000.0,31060000.0,-41398000.0,284829000.0,12347000.0,12347000.0,81841000.0,190641000.0,117200000.0,73441000.0,73441000.0,243431000.0,52552000.0,295983000.0,295983000.0,2023-06-30,,,,
0.0,0.21,2690000.0,-27861000.0,25291000.0,43552000.0,2690000.0,-22601000.0,29615000.0,4738000.0,34353000.0,-27861000.0,-27861000.0,361632000.0,-56647000.0,106817000.0,106817000.0,-0.26,-0.26,-27861000.0,-27861000.0,-27861000.0,-27861000.0,-27861000.0,522000.0,-27339000.0,-307000.0,-307000.0,29615000.0,4738000.0,34353000.0,-56647000.0,305606000.0,12817000.0,12817000.0,89065000.0,203724000.0,118398000.0,85326000.0,85326000.0,248959000.0,56026000.0,304985000.0,304985000.0,2023-09-30,,,,
-5269110.0,0.21,16938000.0,-40421000.0,25849000.0,44852000.0,-8153000.0,-34002000.0,29028000.0,4753000.0,33781000.0,-20599110.0,-40421000.0,361078000.0,-67674000.0,105914000.0,105914000.0,-0.38,-0.38,-40421000.0,-40421000.0,-40421000.0,-40421000.0,-40421000.0,1666000.0,-38755000.0,-25200000.0,-109000.0,29028000.0,4753000.0,33781000.0,-42583000.0,302701000.0,12324000.0,12324000.0,86489000.0,203888000.0,118305000.0,85583000.0,85583000.0,260118000.0,58377000.0,318495000.0,318495000.0,2023-12-31,-25091000.0,-25091000.0,-25091000.0,25091000.0
