tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,write_off,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-464179100.0,0.2621,3252000000.0,-1771000000.0,-1771000000.0,-983000000.0,1122000000.0,8697000000.0,1481000000.0,359000000.0,-863000000.0,908000000.0,323820900.0,-983000000.0,10958000000.0,-540000000.0,,,,,-1067000000.0,-1067000000.0,84000000.0,-983000000.0,126000000.0,-1109000000.0,-1109000000.0,560000000.0,-549000000.0,-2152000000.0,-900000000.0,-3006000000.0,,0.0,0.0,519000000.0,,-863000000.0,908000000.0,2466000000.0,2261000000.0,2261000000.0,2261000000.0,2261000000.0,2261000000.0,4727000000.0,8697000000.0,13424000000.0,13424000000.0,2022-12-31
-8600000.0,0.215,4467000000.0,-40000000.0,-40000000.0,1817000000.0,1146000000.0,7376000000.0,4427000000.0,3281000000.0,-905000000.0,905000000.0,1848400000.0,1817000000.0,9413000000.0,2662000000.0,2028000000.0,2025000000.0,0.85,0.86,1733000000.0,1733000000.0,84000000.0,1817000000.0,-49000000.0,1866000000.0,1866000000.0,510000000.0,2376000000.0,619000000.0,142000000.0,3000000.0,3000000.0,,,517000000.0,-43000000.0,-905000000.0,905000000.0,2662000000.0,2037000000.0,2037000000.0,2037000000.0,2037000000.0,2037000000.0,4699000000.0,7376000000.0,12075000000.0,12075000000.0,2023-03-31
103206000.0,0.206,4039000000.0,501000000.0,501000000.0,1935000000.0,1137000000.0,6054000000.0,4540000000.0,3403000000.0,-883000000.0,883000000.0,1537206000.0,1935000000.0,8082000000.0,2350000000.0,2027000000.0,2024000000.0,0.91,0.91,1848000000.0,1848000000.0,87000000.0,1935000000.0,-66000000.0,2001000000.0,2001000000.0,519000000.0,2520000000.0,1053000000.0,74000000.0,8000000.0,8000000.0,,,478000000.0,493000000.0,-883000000.0,883000000.0,2350000000.0,2028000000.0,2028000000.0,2028000000.0,2028000000.0,2028000000.0,4378000000.0,6054000000.0,10432000000.0,10432000000.0,2023-06-30
-104890000.0,0.17,3453000000.0,-617000000.0,-617000000.0,621000000.0,1164000000.0,5995000000.0,2836000000.0,1672000000.0,-921000000.0,921000000.0,1133110000.0,621000000.0,8050000000.0,1794000000.0,2049000000.0,2048000000.0,0.26,0.26,532000000.0,532000000.0,89000000.0,621000000.0,-2000000.0,623000000.0,623000000.0,128000000.0,751000000.0,-122000000.0,152000000.0,4000000.0,4000000.0,,0.0,343000000.0,-621000000.0,-921000000.0,921000000.0,1794000000.0,2055000000.0,2055000000.0,,,,3849000000.0,5995000000.0,9844000000.0,9844000000.0,2023-09-30
-78240143.369176,0.297491,4809000000.0,-263000000.0,-263000000.0,1818000000.0,1166000000.0,6554000000.0,4546000000.0,3380000000.0,-1103000000.0,1148000000.0,2002759856.630824,1818000000.0,9034000000.0,1845000000.0,,,,,1726000000.0,1726000000.0,92000000.0,1818000000.0,250000000.0,1568000000.0,1568000000.0,664000000.0,2232000000.0,1071000000.0,856000000.0,-434000000.0,,,0.0,478000000.0,,-1103000000.0,1148000000.0,2264000000.0,2480000000.0,2480000000.0,,,,4744000000.0,6554000000.0,11298000000.0,11298000000.0,2023-12-31
