treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,other_payable,dividends_payable,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,land_and_improvements,current_assets,other_current_assets,hedging_assets_current,restricted_cash,inventory,other_inventories,finished_goods,receivables,receivables_adjustments_allowances,other_receivables,taxes_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,current_deferred_revenue
,2025000000.0,2025000000.0,80119000000.0,80980000000.0,16611000000.0,134049000000.0,-8154000000.0,23429000000.0,53069000000.0,6818000000.0,132826000000.0,63398000000.0,3511000000.0,59887000000.0,3520000000.0,3520000000.0,-15486000000.0,275000000.0,71578000000.0,64760000000.0,6818000000.0,116210000000.0,95909000000.0,9189000000.0,13781000000.0,13781000000.0,72939000000.0,72939000000.0,20301000000.0,898000000.0,1056000000.0,8041000000.0,8041000000.0,8041000000.0,10306000000.0,763000000.0,763000000.0,9543000000.0,1695000000.0,1825000000.0,683000000.0,5340000000.0,179608000000.0,167461000000.0,593000000.0,10014000000.0,472000000.0,15936000000.0,36458000000.0,4018000000.0,32440000000.0,104460000000.0,-29540000000.0,134000000000.0,2316000000.0,1611000000.0,37028000000.0,3637000000.0,12147000000.0,604000000.0,1015000000.0,46000000.0,2255000000.0,112000000.0,2143000000.0,7366000000.0,-92000000.0,1313000000.0,323000000.0,5822000000.0,861000000.0,861000000.0,2022-12-31,
,2025000000.0,2025000000.0,79637000000.0,80613000000.0,18397000000.0,135334000000.0,-6860000000.0,25215000000.0,54721000000.0,6818000000.0,133279000000.0,65025000000.0,3486000000.0,61539000000.0,3426000000.0,3426000000.0,-13753000000.0,274000000.0,71592000000.0,64774000000.0,6818000000.0,112045000000.0,95267000000.0,9235000000.0,14292000000.0,14292000000.0,71740000000.0,71740000000.0,16778000000.0,3051000000.0,,8873000000.0,8873000000.0,,4854000000.0,709000000.0,709000000.0,4145000000.0,,,,4145000000.0,177070000000.0,167152000000.0,9794000000.0,463000000.0,463000000.0,16320000000.0,36324000000.0,3913000000.0,32411000000.0,104251000000.0,,,,,,,9918000000.0,2701000000.0,,75000000.0,1311000000.0,,,4855000000.0,,,,4855000000.0,976000000.0,976000000.0,2023-03-31,
,2023000000.0,2023000000.0,78434000000.0,79464000000.0,18150000000.0,133264000000.0,-5057000000.0,24968000000.0,53800000000.0,6818000000.0,133148000000.0,64038000000.0,3420000000.0,60618000000.0,2561000000.0,2561000000.0,-13746000000.0,291000000.0,71512000000.0,64694000000.0,6818000000.0,109904000000.0,95879000000.0,8847000000.0,14502000000.0,14502000000.0,72530000000.0,72530000000.0,14025000000.0,2559000000.0,,6934000000.0,6934000000.0,,4532000000.0,824000000.0,824000000.0,3708000000.0,,,,3708000000.0,173942000000.0,164974000000.0,9849000000.0,262000000.0,262000000.0,15258000000.0,35650000000.0,3764000000.0,31886000000.0,103955000000.0,,,,,,,8968000000.0,2775000000.0,,60000000.0,1211000000.0,,,3892000000.0,,,,3892000000.0,1030000000.0,1030000000.0,2023-06-30,
0.0,2125574098.0,2125574098.0,74907000000.0,77515000000.0,22154000000.0,135789000000.0,-5594000000.0,28972000000.0,58274000000.0,6818000000.0,133885000000.0,68474000000.0,3382000000.0,65092000000.0,3827000000.0,3827000000.0,-15009000000.0,276000000.0,75998000000.0,69180000000.0,6818000000.0,109936000000.0,93211000000.0,9467000000.0,14951000000.0,14951000000.0,68793000000.0,68793000000.0,16725000000.0,2851000000.0,,8722000000.0,8722000000.0,,5152000000.0,723000000.0,723000000.0,4429000000.0,,,,4429000000.0,178410000000.0,167279000000.0,9911000000.0,397000000.0,397000000.0,15271000000.0,36120000000.0,3730000000.0,32390000000.0,105580000000.0,,,,,,,11131000000.0,2757000000.0,,39000000.0,1566000000.0,,,4161000000.0,,,,4161000000.0,2608000000.0,2608000000.0,2023-09-30,
0.0,2125574412.0,2125574412.0,75298000000.0,81199000000.0,19251000000.0,135835000000.0,-3036000000.0,26069000000.0,54636000000.0,6818000000.0,136169000000.0,64483000000.0,3029000000.0,61454000000.0,2303000000.0,2303000000.0,-17115000000.0,268000000.0,75998000000.0,69180000000.0,6818000000.0,115834000000.0,98399000000.0,8653000000.0,15031000000.0,15031000000.0,74715000000.0,74715000000.0,17435000000.0,1775000000.0,1313000000.0,6484000000.0,6484000000.0,6484000000.0,7863000000.0,958000000.0,958000000.0,6905000000.0,,1975000000.0,596000000.0,4334000000.0,180317000000.0,165918000000.0,8758000000.0,341000000.0,341000000.0,16793000000.0,35385000000.0,3537000000.0,31848000000.0,104641000000.0,-32558000000.0,137199000000.0,2829000000.0,1652000000.0,37634000000.0,3600000000.0,14399000000.0,1470000000.0,623000000.0,84000000.0,1479000000.0,128000000.0,1351000000.0,4842000000.0,,,347000000.0,4495000000.0,5901000000.0,5901000000.0,2023-12-31,1313000000.0
