tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,write_off,impairment_of_capital_assets,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-1612435.603892,0.075701,2576700000.0,-21300000.0,-21300000.0,1937700000.0,375000000.0,1548100000.0,2555400000.0,2180400000.0,-58500000.0,84000000.0,25500000.0,1957387564.396108,1937700000.0,5094300000.0,950182000.0,950182000.0,2.039294,2.039294,1937700000.0,1937700000.0,1937700000.0,1937700000.0,1937700000.0,158700000.0,2096400000.0,-52600000.0,-31300000.0,-278200000.0,240100000.0,15100000.0,,23000000.0,256900000.0,-58500000.0,84000000.0,25500000.0,2207500000.0,3546200000.0,1995900000.0,1550300000.0,1550300000.0,1643200000.0,-92900000.0,5753700000.0,1548100000.0,7301800000.0,7301800000.0,2022-12-31
-14362700.0,0.121,2113500000.0,-118700000.0,-118700000.0,1344900000.0,362300000.0,1626700000.0,1994800000.0,1632500000.0,-68600000.0,102800000.0,34200000.0,1449237300.0,1344900000.0,5245200000.0,949267000.0,949267000.0,1.416777,1.416777,1344900000.0,1344900000.0,1344900000.0,1344900000.0,1344900000.0,184800000.0,1529700000.0,-116500000.0,2200000.0,-105000000.0,105000000.0,,,,-13700000.0,-68600000.0,102800000.0,34200000.0,1714800000.0,3618500000.0,1985100000.0,1633400000.0,1633400000.0,1749200000.0,-115800000.0,5333300000.0,1626700000.0,6960000000.0,6960000000.0,2023-03-31
-25272000.0,0.156,2737500000.0,-162000000.0,-162000000.0,1763200000.0,366300000.0,1807400000.0,2575500000.0,2209200000.0,-74300000.0,120300000.0,46000000.0,1899928000.0,1763200000.0,5973700000.0,949286000.0,949286000.0,1.857396,1.857396,1763200000.0,1763200000.0,1763200000.0,1763200000.0,1763200000.0,325700000.0,2088900000.0,-175200000.0,-13200000.0,-97100000.0,97100000.0,,,,-64900000.0,-74300000.0,120300000.0,46000000.0,2338400000.0,4166300000.0,2356500000.0,1809800000.0,1809800000.0,1925400000.0,-115600000.0,6504700000.0,1807400000.0,8312100000.0,8312100000.0,2023-06-30
-637980000.0,0.21,4000800000.0,-3038000000.0,-3038000000.0,-57400000.0,411000000.0,1860100000.0,962800000.0,551800000.0,-75700000.0,124600000.0,48900000.0,2342620000.0,-57400000.0,6073100000.0,949303000.0,949303000.0,-0.060465,-0.060465,-57400000.0,-57400000.0,-57400000.0,-57400000.0,-57400000.0,484600000.0,427200000.0,-2922600000.0,115400000.0,-2975100000.0,2975100000.0,,0.0,,-62900000.0,-75700000.0,124600000.0,48900000.0,3425500000.0,4213000000.0,2409100000.0,1803900000.0,1803900000.0,1803900000.0,-115500000.0,7638500000.0,1860100000.0,9498600000.0,9498600000.0,2023-09-30
-72372409.119898,0.127192,3603700000.0,-569000000.0,-569000000.0,2189700000.0,387700000.0,1788000000.0,3034700000.0,2647000000.0,-93700000.0,138200000.0,44500000.0,2686327590.880102,2189700000.0,5813400000.0,949379000.0,949379000.0,2.30635,2.30635,2189700000.0,2189700000.0,2189700000.0,2189700000.0,2189700000.0,319100000.0,2508800000.0,-937500000.0,-368500000.0,-690300000.0,622600000.0,,,,121300000.0,-93700000.0,138200000.0,44500000.0,3540000000.0,4025400000.0,2562700000.0,1462700000.0,1462700000.0,1924600000.0,,7565400000.0,1788000000.0,9353400000.0,9353400000.0,2023-12-31
