treasury_shares_number,preferred_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,total_partnership_capital,general_partnership_capital,limited_partnership_capital,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,preferred_securities_outside_stock_equity,derivative_product_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_accrued_expenses,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,long_term_provisions,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,commercial_paper,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,non_current_note_receivables,non_current_accounts_receivable,financial_assets,investments_and_advances,investmentin_financial_assets,available_for_sale_securities,long_term_equity_investment,investment_properties,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,other_properties,current_assets,other_current_assets,hedging_assets_current,assets_held_for_sale_current,restricted_cash,inventory,receivables,other_receivables,loans_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date,tradeand_other_payables_non_current
,43901312.0,458380315.0,458380315.0,29269000000.0,33828000000.0,-14294000000.0,36724000000.0,-1691000000.0,-20611000000.0,3421000000.0,6317000000.0,33546000000.0,25554000000.0,19237000000.0,0.0,6317000000.0,27000000.0,6290000000.0,47415000000.0,39038000000.0,1885000000.0,20000000.0,26000000.0,8000000.0,8000000.0,178000000.0,6229000000.0,254000000.0,5975000000.0,30266000000.0,3037000000.0,27229000000.0,426000000.0,8377000000.0,877000000.0,544000000.0,460000000.0,3562000000.0,384000000.0,3178000000.0,2714000000.0,464000000.0,127000000.0,3267000000.0,1395000000.0,1872000000.0,1872000000.0,72969000000.0,66283000000.0,465000000.0,111000000.0,111000000.0,30000000.0,1059000000.0,218000000.0,5798000000.0,473000000.0,473000000.0,5325000000.0,700000000.0,20611000000.0,11822000000.0,8789000000.0,37291000000.0,-5396000000.0,42687000000.0,33771000000.0,6686000000.0,315000000.0,235000000.0,856000000.0,141000000.0,531000000.0,2342000000.0,37000000.0,29000000.0,2276000000.0,2266000000.0,1128000000.0,1138000000.0,454000000.0,684000000.0,2022-12-31,
,,458633280.0,458633280.0,33302000000.0,34817000000.0,-21074000000.0,40872000000.0,-3234000000.0,-27129000000.0,,6055000000.0,36067000000.0,28312000000.0,22257000000.0,0.0,6055000000.0,25000000.0,6030000000.0,53613000000.0,42842000000.0,6010000000.0,20000000.0,,,,,6800000000.0,,6800000000.0,30012000000.0,,30012000000.0,,10771000000.0,852000000.0,,,4805000000.0,,4805000000.0,4805000000.0,,,5114000000.0,,5114000000.0,5114000000.0,81925000000.0,74388000000.0,2372000000.0,129000000.0,129000000.0,,,,6434000000.0,610000000.0,,5824000000.0,727000000.0,27129000000.0,15459000000.0,11670000000.0,37597000000.0,-5820000000.0,43417000000.0,34061000000.0,7537000000.0,,,913000000.0,,500000000.0,3506000000.0,,,3506000000.0,2618000000.0,1103000000.0,1515000000.0,,,2023-03-31,
,,458747440.0,458747440.0,34203000000.0,35583000000.0,-21696000000.0,41756000000.0,-3423000000.0,-27869000000.0,,6173000000.0,36545000000.0,28623000000.0,22450000000.0,0.0,6173000000.0,26000000.0,6147000000.0,53048000000.0,43326000000.0,6054000000.0,20000000.0,,,,,6880000000.0,,6880000000.0,30372000000.0,,30372000000.0,,9722000000.0,364000000.0,,,5211000000.0,,5211000000.0,5211000000.0,,,4147000000.0,,4147000000.0,4147000000.0,81671000000.0,75372000000.0,2463000000.0,104000000.0,104000000.0,,,,6102000000.0,686000000.0,,5416000000.0,744000000.0,27869000000.0,15476000000.0,12393000000.0,38090000000.0,-6277000000.0,44367000000.0,34607000000.0,6299000000.0,,,0.0,,475000000.0,3478000000.0,,,3478000000.0,2346000000.0,966000000.0,1380000000.0,,,2023-06-30,
0.0,,462131431.0,462131431.0,42811000000.0,44118000000.0,-23413000000.0,50458000000.0,-3281000000.0,-29753000000.0,,6340000000.0,44498000000.0,33986000000.0,27646000000.0,0.0,6340000000.0,28000000.0,6312000000.0,63752000000.0,52662000000.0,6897000000.0,20000000.0,,,,,7587000000.0,,7587000000.0,38158000000.0,,38158000000.0,,11090000000.0,330000000.0,,,5960000000.0,,5960000000.0,5960000000.0,,,4800000000.0,,4800000000.0,4800000000.0,97738000000.0,89929000000.0,3234000000.0,103000000.0,103000000.0,,,,5886000000.0,840000000.0,,5046000000.0,3972000000.0,29753000000.0,15629000000.0,14124000000.0,46981000000.0,-6594000000.0,53575000000.0,43932000000.0,7809000000.0,,,0.0,,490000000.0,5069000000.0,,,5069000000.0,2250000000.0,943000000.0,1307000000.0,,,2023-09-30,
,43901312.0,461343972.0,461343972.0,44307000000.0,49574000000.0,-24066000000.0,52215000000.0,-3726000000.0,-30333000000.0,3626000000.0,6267000000.0,46160000000.0,34016000000.0,27749000000.0,0.0,6267000000.0,28000000.0,6239000000.0,66768000000.0,55063000000.0,2607000000.0,20000000.0,289000000.0,36000000.0,36000000.0,192000000.0,8365000000.0,462000000.0,7903000000.0,43090000000.0,3197000000.0,39893000000.0,458000000.0,11705000000.0,512000000.0,571000000.0,490000000.0,6484000000.0,429000000.0,6055000000.0,4538000000.0,1517000000.0,159000000.0,3979000000.0,1726000000.0,2253000000.0,2253000000.0,100784000000.0,92805000000.0,641000000.0,107000000.0,107000000.0,75000000.0,2836000000.0,120000000.0,5814000000.0,412000000.0,412000000.0,5402000000.0,4333000000.0,30333000000.0,15845000000.0,14488000000.0,48546000000.0,-7223000000.0,55769000000.0,45599000000.0,7979000000.0,1010000000.0,65000000.0,0.0,216000000.0,512000000.0,3734000000.0,163000000.0,68000000.0,3503000000.0,2442000000.0,801000000.0,1641000000.0,440000000.0,1201000000.0,2023-12-31,6000000.0
