tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-19465116.27907,0.313953,1275000000.0,-62000000.0,-62000000.0,53000000.0,542000000.0,2702000000.0,1213000000.0,671000000.0,-497000000.0,241000000.0,95534883.72093,53000000.0,2797000000.0,458300000.0,458300000.0,-0.03,-0.03,-7000000.0,-7000000.0,60000000.0,53000000.0,-242000000.0,295000000.0,295000000.0,135000000.0,430000000.0,16000000.0,91000000.0,-13000000.0,-62000000.0,-497000000.0,241000000.0,911000000.0,95000000.0,95000000.0,95000000.0,95000000.0,1006000000.0,2702000000.0,3708000000.0,3708000000.0,2022-12-31
-36060344.827586,0.383621,1539000000.0,-94000000.0,-94000000.0,40000000.0,645000000.0,3229000000.0,1445000000.0,800000000.0,-568000000.0,568000000.0,97939655.172414,40000000.0,3332000000.0,458400000.0,458400000.0,-0.07,-0.07,-25000000.0,-25000000.0,65000000.0,40000000.0,-103000000.0,143000000.0,143000000.0,89000000.0,232000000.0,-86000000.0,-95000000.0,103000000.0,-94000000.0,-568000000.0,568000000.0,886000000.0,103000000.0,103000000.0,103000000.0,103000000.0,989000000.0,3229000000.0,4218000000.0,4218000000.0,2023-03-31
16580104.712042,0.190576,2067000000.0,87000000.0,87000000.0,253000000.0,632000000.0,3280000000.0,2154000000.0,1522000000.0,-567000000.0,567000000.0,182580104.712042,253000000.0,3389000000.0,458700000.0,458700000.0,0.38,0.38,186000000.0,186000000.0,67000000.0,253000000.0,-520000000.0,773000000.0,773000000.0,182000000.0,955000000.0,655000000.0,295000000.0,273000000.0,87000000.0,-567000000.0,567000000.0,867000000.0,109000000.0,109000000.0,109000000.0,109000000.0,976000000.0,3280000000.0,4256000000.0,4256000000.0,2023-06-30
11908629.441624,0.350254,1669000000.0,34000000.0,34000000.0,89000000.0,669000000.0,3384000000.0,1703000000.0,1034000000.0,-640000000.0,640000000.0,66908629.441624,89000000.0,3484000000.0,458800000.0,458800000.0,0.03,0.03,23000000.0,23000000.0,66000000.0,89000000.0,-167000000.0,256000000.0,256000000.0,138000000.0,394000000.0,31000000.0,-99000000.0,96000000.0,34000000.0,-640000000.0,640000000.0,1003000000.0,100000000.0,100000000.0,100000000.0,100000000.0,1103000000.0,3384000000.0,4487000000.0,4487000000.0,2023-09-30
-55669642.857143,0.383929,1865000000.0,-145000000.0,-145000000.0,-15000000.0,793000000.0,3577000000.0,1720000000.0,927000000.0,-726000000.0,479000000.0,74330357.142857,-15000000.0,3678000000.0,,,,,-82000000.0,-82000000.0,67000000.0,-15000000.0,-291000000.0,276000000.0,276000000.0,172000000.0,448000000.0,-118000000.0,40000000.0,-13000000.0,-145000000.0,-726000000.0,479000000.0,1292000000.0,101000000.0,101000000.0,101000000.0,101000000.0,1393000000.0,3577000000.0,4970000000.0,4970000000.0,2023-12-31
