tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,write_off,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
311624.072547,0.155812,1599000000.0,2000000.0,2000000.0,1019000000.0,254000000.0,24177000000.0,1601000000.0,1347000000.0,-17000000.0,134000000.0,117000000.0,1017311624.072547,1019000000.0,25074000000.0,554000000.0,547000000.0,1.84,1.862888,1019000000.0,1019000000.0,1019000000.0,-5000000.0,1024000000.0,1024000000.0,189000000.0,1213000000.0,365000000.0,137000000.0,2000000.0,38000000.0,,226000000.0,-17000000.0,134000000.0,117000000.0,865000000.0,897000000.0,897000000.0,1762000000.0,24177000000.0,25939000000.0,25939000000.0,2022-12-31
644000.0,0.161,1799000000.0,4000000.0,4000000.0,1170000000.0,259000000.0,21992000000.0,1803000000.0,1544000000.0,-13000000.0,147000000.0,134000000.0,1166644000.0,1170000000.0,22873000000.0,551000000.0,545000000.0,2.12,2.146789,1170000000.0,1170000000.0,1170000000.0,-2000000.0,1172000000.0,1172000000.0,225000000.0,1397000000.0,211000000.0,33000000.0,4000000.0,11000000.0,7000000.0,174000000.0,-13000000.0,147000000.0,134000000.0,1199000000.0,881000000.0,881000000.0,2080000000.0,21992000000.0,24072000000.0,24072000000.0,2023-03-31
-7020000.0,0.18,1613000000.0,-39000000.0,-39000000.0,927000000.0,262000000.0,23307000000.0,1574000000.0,1312000000.0,-38000000.0,180000000.0,142000000.0,958980000.0,927000000.0,24148000000.0,546000000.0,536000000.0,1.7,1.729478,927000000.0,927000000.0,927000000.0,-1000000.0,928000000.0,928000000.0,204000000.0,1132000000.0,128000000.0,16000000.0,-39000000.0,21000000.0,60000000.0,151000000.0,-38000000.0,180000000.0,142000000.0,1042000000.0,841000000.0,841000000.0,1883000000.0,23307000000.0,25190000000.0,25190000000.0,2023-06-30
-15678000.0,0.201,1525000000.0,-78000000.0,-78000000.0,821000000.0,261000000.0,19885000000.0,1447000000.0,1186000000.0,-3000000.0,155000000.0,152000000.0,883322000.0,821000000.0,20700000000.0,540000000.0,535000000.0,1.52,1.534579,821000000.0,821000000.0,821000000.0,-3000000.0,824000000.0,824000000.0,207000000.0,1031000000.0,39000000.0,34000000.0,-78000000.0,1000000.0,79000000.0,83000000.0,-3000000.0,155000000.0,152000000.0,995000000.0,815000000.0,815000000.0,1810000000.0,19885000000.0,21695000000.0,21695000000.0,2023-09-30
-49961852.861035,0.26158,1367000000.0,-191000000.0,-191000000.0,565000000.0,277000000.0,21238000000.0,1176000000.0,899000000.0,-94000000.0,165000000.0,71000000.0,706038147.138965,565000000.0,22157000000.0,,,,,565000000.0,565000000.0,565000000.0,23000000.0,542000000.0,542000000.0,192000000.0,734000000.0,7000000.0,55000000.0,-191000000.0,5000000.0,,143000000.0,-94000000.0,165000000.0,71000000.0,821000000.0,919000000.0,919000000.0,1740000000.0,21238000000.0,22978000000.0,22978000000.0,2023-12-31
