tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.126941,2831000000.0,1912000000.0,439000000.0,16689000000.0,2831000000.0,2392000000.0,-202000000.0,202000000.0,1912000000.0,1912000000.0,16628000000.0,2293000000.0,258300000.0,257100000.0,7.4,7.44,1912000000.0,1912000000.0,1912000000.0,1912000000.0,1912000000.0,278000000.0,2190000000.0,29000000.0,29000000.0,-202000000.0,202000000.0,2363000000.0,,,2302000000.0,16689000000.0,18991000000.0,18991000000.0,2022-12-31
0.0,0.153,2521000000.0,1689000000.0,325000000.0,13080000000.0,2521000000.0,2196000000.0,-202000000.0,202000000.0,1689000000.0,1689000000.0,13080000000.0,2037000000.0,255700000.0,254700000.0,6.61,6.63,1689000000.0,1689000000.0,1689000000.0,1689000000.0,1689000000.0,305000000.0,1994000000.0,150000000.0,150000000.0,-202000000.0,202000000.0,2046000000.0,,,2046000000.0,13080000000.0,15126000000.0,15126000000.0,2023-03-31
0.0,0.162,2563000000.0,1681000000.0,334000000.0,14603000000.0,2563000000.0,2229000000.0,-223000000.0,223000000.0,1681000000.0,1681000000.0,14558000000.0,2135000000.0,253600000.0,252800000.0,6.63,6.65,1681000000.0,1681000000.0,1681000000.0,1681000000.0,1681000000.0,325000000.0,2006000000.0,94000000.0,94000000.0,-223000000.0,223000000.0,2135000000.0,-45000000.0,-45000000.0,2090000000.0,14603000000.0,16693000000.0,16693000000.0,2023-06-30
0.0,0.138,2540000000.0,1684000000.0,350000000.0,14830000000.0,2540000000.0,2190000000.0,-237000000.0,237000000.0,1684000000.0,1684000000.0,14836000000.0,2042000000.0,250200000.0,249300000.0,6.73,6.75,1684000000.0,1684000000.0,1684000000.0,1684000000.0,1684000000.0,269000000.0,1953000000.0,148000000.0,148000000.0,-237000000.0,237000000.0,2042000000.0,6000000.0,6000000.0,2048000000.0,14830000000.0,16878000000.0,16878000000.0,2023-09-30
0.0,0.13007,2820000000.0,1866000000.0,421000000.0,16579000000.0,2820000000.0,2399000000.0,-254000000.0,254000000.0,1866000000.0,1866000000.0,16581000000.0,2293000000.0,,,,,1866000000.0,1866000000.0,1866000000.0,1866000000.0,1866000000.0,279000000.0,2145000000.0,106000000.0,106000000.0,-254000000.0,254000000.0,2293000000.0,2000000.0,2000000.0,2295000000.0,16579000000.0,18874000000.0,18874000000.0,2023-12-31
0.0,0.158,2441000000.0,1545000000.0,351000000.0,15202000000.0,2441000000.0,2090000000.0,-255000000.0,255000000.0,1545000000.0,1545000000.0,15202000000.0,2029000000.0,241600000.0,240700000.0,6.39,6.42,1545000000.0,1545000000.0,1545000000.0,1545000000.0,1545000000.0,290000000.0,1835000000.0,97000000.0,97000000.0,-255000000.0,255000000.0,1993000000.0,,,1993000000.0,15202000000.0,17195000000.0,17195000000.0,2024-03-31
