treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,dividends_payable,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,investments_and_advances,investmentin_financial_assets,held_to_maturity_securities,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,inventory,finished_goods,work_in_process,raw_materials,receivables,taxes_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
,89700000.0,89700000.0,2153600000.0,2793100000.0,2476800000.0,6140700000.0,1632800000.0,2476800000.0,319500000.0,3667100000.0,6140700000.0,3667100000.0,3667100000.0,-102400000.0,-102400000.0,3186800000.0,581800000.0,900000.0,900000.0,4336700000.0,3461200000.0,57400000.0,141800000.0,141800000.0,543000000.0,543000000.0,2719000000.0,245400000.0,2473600000.0,875500000.0,74100000.0,74100000.0,,,187600000.0,4100000.0,609700000.0,66400000.0,11800000.0,543300000.0,115500000.0,17400000.0,,410400000.0,8003800000.0,5495500000.0,42000000.0,64900000.0,64900000.0,64900000.0,1190300000.0,267900000.0,922400000.0,4198300000.0,-4612400000.0,8810700000.0,440200000.0,445200000.0,6709300000.0,1023600000.0,192400000.0,0.0,2508300000.0,58300000.0,977300000.0,198400000.0,16000000.0,762900000.0,1067500000.0,35700000.0,1031800000.0,-19600000.0,1051400000.0,405200000.0,85200000.0,320000000.0,2022-12-31
,89900000.0,89900000.0,2106400000.0,2784100000.0,2577000000.0,6231800000.0,1756500000.0,2577000000.0,310000000.0,3757700000.0,6231800000.0,3757700000.0,3757700000.0,-100300000.0,-100300000.0,3259300000.0,597800000.0,900000.0,900000.0,4291300000.0,3462400000.0,58200000.0,148500000.0,148500000.0,546200000.0,546200000.0,2709500000.0,235400000.0,2474100000.0,828900000.0,74600000.0,74600000.0,,,115400000.0,4300000.0,634600000.0,69400000.0,25500000.0,565200000.0,115700000.0,39000000.0,17900000.0,410500000.0,8049000000.0,5463600000.0,40800000.0,56900000.0,56900000.0,56900000.0,1180700000.0,258300000.0,922400000.0,4185200000.0,-4697100000.0,8882300000.0,378400000.0,437900000.0,6825800000.0,1043600000.0,196600000.0,0.0,2585400000.0,87300000.0,1003400000.0,201100000.0,15800000.0,786500000.0,1031400000.0,0.0,1031400000.0,-13800000.0,1045200000.0,463300000.0,95600000.0,367700000.0,2023-03-31
,89900000.0,89900000.0,1997600000.0,2783300000.0,2677500000.0,6323300000.0,1872900000.0,2677500000.0,308600000.0,3848600000.0,6323300000.0,3848600000.0,3848600000.0,-98700000.0,-98700000.0,3339000000.0,607400000.0,900000.0,900000.0,4257900000.0,3460200000.0,61700000.0,153500000.0,153500000.0,538600000.0,538600000.0,2706400000.0,231700000.0,2474700000.0,797700000.0,76900000.0,76900000.0,,,146300000.0,4400000.0,570100000.0,53900000.0,11700000.0,516200000.0,115400000.0,35000000.0,8000000.0,365800000.0,8106500000.0,5435900000.0,41300000.0,50600000.0,50600000.0,50600000.0,1171100000.0,248700000.0,922400000.0,4172900000.0,-4775400000.0,8948300000.0,358100000.0,458700000.0,6877900000.0,1056900000.0,196700000.0,0.0,2670600000.0,75500000.0,992200000.0,207200000.0,14700000.0,770300000.0,1023900000.0,0.0,1023900000.0,-13100000.0,1037000000.0,579000000.0,101900000.0,477100000.0,2023-06-30
0.0,89625000.0,89625000.0,1902000000.0,2776600000.0,2725600000.0,6362400000.0,1494400000.0,2725600000.0,301400000.0,3887200000.0,5962900000.0,3887200000.0,3887200000.0,-96700000.0,-96700000.0,3370500000.0,612500000.0,900000.0,900000.0,4290400000.0,3011500000.0,60300000.0,116400000.0,,536800000.0,536800000.0,2298000000.0,222300000.0,2075700000.0,1278900000.0,478600000.0,79100000.0,399500000.0,399500000.0,168700000.0,4000000.0,627600000.0,67900000.0,25500000.0,559700000.0,115400000.0,38400000.0,8400000.0,405900000.0,8177600000.0,5404300000.0,51000000.0,49300000.0,49300000.0,49300000.0,1161600000.0,239200000.0,922400000.0,4142400000.0,-4866000000.0,9008400000.0,362500000.0,454300000.0,6925500000.0,1069200000.0,196900000.0,0.0,2773300000.0,64800000.0,986100000.0,189200000.0,15100000.0,781800000.0,1045200000.0,0.0,1045200000.0,-13400000.0,1058600000.0,677200000.0,104000000.0,573200000.0,2023-09-30
,89625000.0,89625000.0,2223800000.0,3173200000.0,2845300000.0,6869100000.0,1988700000.0,2845300000.0,301400000.0,3997300000.0,6469500000.0,3997300000.0,3997300000.0,-70900000.0,-70900000.0,3447200000.0,620100000.0,900000.0,900000.0,4683800000.0,3418100000.0,60700000.0,106400000.0,,558000000.0,558000000.0,2693000000.0,220800000.0,2472200000.0,1265700000.0,480200000.0,80600000.0,399600000.0,399600000.0,183800000.0,4000000.0,597700000.0,60800000.0,13700000.0,536900000.0,115900000.0,18600000.0,,402400000.0,8681100000.0,5426700000.0,67200000.0,64100000.0,64100000.0,64100000.0,1152000000.0,229600000.0,922400000.0,4143400000.0,-4943900000.0,9087300000.0,335800000.0,456600000.0,7006700000.0,1090400000.0,197800000.0,0.0,3254400000.0,62300000.0,1013100000.0,200500000.0,14900000.0,797700000.0,1037500000.0,4300000.0,1033200000.0,-13100000.0,1046300000.0,1141500000.0,493500000.0,648000000.0,2023-12-31
