tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,gain_on_sale_of_business,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-3051356.238698,0.23472,423400000.0,-13000000.0,-13000000.0,211600000.0,118800000.0,1528100000.0,410400000.0,291600000.0,-15100000.0,15100000.0,221548643.761302,211600000.0,1673800000.0,288000000.0,91250000.0,91250000.0,2.31,2.32,210100000.0,210100000.0,1500000.0,211600000.0,211600000.0,211600000.0,64900000.0,276500000.0,-13000000.0,0.0,-13000000.0,-10600000.0,,2500000.0,-15100000.0,15100000.0,304600000.0,145700000.0,145700000.0,450300000.0,1528100000.0,1978400000.0,1978400000.0,2022-12-31
-2739000.0,0.249,409200000.0,-11000000.0,-11000000.0,190100000.0,129500000.0,1544900000.0,398200000.0,268700000.0,-15400000.0,15400000.0,198361000.0,190100000.0,1693100000.0,270700000.0,89400000.0,89000000.0,2.11,2.12,188500000.0,188500000.0,1600000.0,190100000.0,190100000.0,190100000.0,63200000.0,253300000.0,-14500000.0,-3500000.0,-11000000.0,-6600000.0,,4400000.0,-15400000.0,15400000.0,283200000.0,148200000.0,148200000.0,431400000.0,1544900000.0,1976300000.0,1976300000.0,2023-03-31
-2624400.0,0.243,421100000.0,-10800000.0,-10800000.0,202700000.0,127900000.0,1507400000.0,410300000.0,282400000.0,-14600000.0,14600000.0,210875600.0,202700000.0,1653000000.0,284400000.0,89500000.0,89100000.0,2.24,2.25,202700000.0,202700000.0,,202700000.0,202700000.0,202700000.0,65100000.0,267800000.0,-16700000.0,-5900000.0,-10800000.0,-6600000.0,,4200000.0,-14600000.0,14600000.0,299100000.0,145600000.0,145600000.0,444700000.0,1507400000.0,1952100000.0,1952100000.0,2023-06-30
-2233900.0,0.251,395100000.0,-8900000.0,-8900000.0,183200000.0,129400000.0,1523300000.0,386200000.0,256800000.0,-12300000.0,12300000.0,189866100.0,183200000.0,1667500000.0,258600000.0,89500000.0,89100000.0,2.03,2.04,181800000.0,181800000.0,1400000.0,183200000.0,183200000.0,183200000.0,61300000.0,244500000.0,-11700000.0,-2800000.0,-8900000.0,-9000000.0,100000.0,0.0,-12300000.0,12300000.0,268500000.0,144200000.0,144200000.0,412700000.0,1523300000.0,1936000000.0,1936000000.0,2023-09-30
-2553360.160966,0.238632,401200000.0,-10700000.0,-10700000.0,189200000.0,130900000.0,1527800000.0,390500000.0,259600000.0,-11100000.0,11100000.0,197346639.839034,189200000.0,1670600000.0,261500000.0,89668246.0,89668246.0,2.1,2.11,187800000.0,187800000.0,1400000.0,189200000.0,189200000.0,189200000.0,59300000.0,248500000.0,-7700000.0,3000000.0,-10700000.0,-9500000.0,-900000.0,300000.0,-11100000.0,11100000.0,267300000.0,142800000.0,142800000.0,410100000.0,1527800000.0,1937900000.0,1937900000.0,2023-12-31
