tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,rent_expense_supplemental,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,write_off,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,other_taxes,provision_for_doubtful_accounts,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,rent_and_landing_fees,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-70500379.377,0.170289,5139302000.0,-414004000.0,-414004000.0,1126334000.0,3263223000.0,4584694000.0,4725298000.0,1462075000.0,-315663000.0,105124000.0,148026000.0,1469837620.623,1126334000.0,10562068000.0,362901000.0,1960693000.0,,,,,1126334000.0,1126334000.0,1126334000.0,457000.0,1125877000.0,1125877000.0,231074000.0,1356951000.0,-424556000.0,-315131000.0,315131000.0,-10552000.0,-98873000.0,-315663000.0,358565000.0,105124000.0,148026000.0,2097170000.0,3308352000.0,-120371000.0,54070000.0,,594201000.0,594201000.0,2780452000.0,1393900000.0,1386552000.0,324267000.0,31183000.0,1031102000.0,5405522000.0,7253716000.0,12659238000.0,32379098000.0,2022-12-31
-77571265.794577,0.191577,2532016000.0,-404910000.0,-404910000.0,1122531000.0,597206000.0,7045082000.0,2127106000.0,1529900000.0,-460483000.0,143269000.0,153614000.0,1449869734.205423,1122531000.0,10475239000.0,340026000.0,1872454000.0,1660424000.0,1660424000.0,0.68,0.68,1122531000.0,1122531000.0,1122531000.0,1546000.0,1120985000.0,1120985000.0,265646000.0,1386631000.0,-410356000.0,-379570000.0,379570000.0,-5446000.0,-25340000.0,-460483000.0,470828000.0,143269000.0,153614000.0,2257470000.0,3430157000.0,1565000.0,19942000.0,,597206000.0,597206000.0,2811444000.0,1463990000.0,1347454000.0,250677000.0,31375000.0,1065402000.0,5687627000.0,7045082000.0,12732709000.0,12732709000.0,2023-06-30
-10721932.012847,0.04619,5344188000.0,-232125000.0,-232125000.0,1471543000.0,3418047000.0,4632213000.0,5112063000.0,1694016000.0,-450604000.0,145900000.0,293223000.0,1692946067.987153,1471543000.0,10877938000.0,358755000.0,2118012000.0,1656556432.0,1656556432.0,0.888314,0.888314,1471543000.0,1471543000.0,1471543000.0,-5065000.0,1476608000.0,1476608000.0,71508000.0,1548116000.0,-235148000.0,-291029000.0,291029000.0,-3023000.0,58904000.0,-450604000.0,597927000.0,145900000.0,293223000.0,2233868000.0,3425590000.0,-55323000.0,14971000.0,291000000.0,597912000.0,597912000.0,2868030000.0,1458123000.0,1409907000.0,289721000.0,30293000.0,1089893000.0,5659458000.0,7452348000.0,13111806000.0,13111806000.0,2023-09-30
-2633147.452051,0.007947,5602234000.0,-331326000.0,-331326000.0,1600646000.0,3504292000.0,4800419000.0,5270908000.0,1766616000.0,-468864000.0,145940000.0,-8576000.0,1929338852.547949,1600646000.0,11117828000.0,340755000.0,2251474000.0,,,,,1600646000.0,1600646000.0,1600646000.0,-7150000.0,1607796000.0,1607796000.0,12880000.0,1620676000.0,-327358000.0,-338632000.0,338632000.0,3968000.0,7306000.0,-468864000.0,314348000.0,145940000.0,-8576000.0,2416898000.0,3413254000.0,-145058000.0,16559000.0,,600137000.0,600137000.0,2941616000.0,1512798000.0,1428818000.0,285699000.0,31661000.0,1111458000.0,5830152000.0,7704574000.0,13534726000.0,32664128000.0,2023-12-31
