treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,other_payable,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,non_current_note_receivables,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,assets_held_for_sale_current,restricted_cash,prepaid_assets,inventory,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
69000000.0,764000000.0,833000000.0,9667000000.0,15978000000.0,3817000000.0,19859000000.0,2842000000.0,3817000000.0,3881000000.0,17828000000.0,3656000000.0,-225000000.0,3881000000.0,-7000000.0,-7000000.0,4481000000.0,1684000000.0,6684000000.0,1000000.0,1000000.0,0.0,18383000000.0,14481000000.0,382000000.0,152000000.0,152000000.0,13947000000.0,13947000000.0,3902000000.0,471000000.0,471000000.0,2031000000.0,2031000000.0,1400000000.0,853000000.0,189000000.0,547000000.0,189000000.0,269000000.0,135000000.0,89000000.0,22039000000.0,15295000000.0,356000000.0,131000000.0,131000000.0,1165000000.0,64000000.0,64000000.0,,13579000000.0,-10883000000.0,24462000000.0,1123000000.0,,4637000000.0,15494000000.0,3208000000.0,0.0,6744000000.0,138000000.0,0.0,0.0,138000000.0,28000000.0,267000000.0,267000000.0,-217000000.0,484000000.0,6311000000.0,6311000000.0,2022-12-31
69000000.0,764000000.0,833000000.0,9457000000.0,15989000000.0,3511000000.0,20045000000.0,3096000000.0,3511000000.0,4056000000.0,18027000000.0,3829000000.0,-227000000.0,4056000000.0,11000000.0,11000000.0,4481000000.0,1831000000.0,6694000000.0,1000000.0,1000000.0,0.0,18886000000.0,14967000000.0,850000000.0,146000000.0,146000000.0,13971000000.0,13971000000.0,3919000000.0,,,2018000000.0,2018000000.0,1901000000.0,1440000000.0,,461000000.0,182000000.0,171000000.0,171000000.0,108000000.0,22715000000.0,15700000000.0,384000000.0,135000000.0,135000000.0,1172000000.0,545000000.0,545000000.0,,13464000000.0,,13464000000.0,,11332000000.0,,,2132000000.0,0.0,7015000000.0,127000000.0,,,,28000000.0,328000000.0,328000000.0,-209000000.0,537000000.0,6532000000.0,6532000000.0,2023-03-31
69000000.0,764000000.0,833000000.0,9152000000.0,14920000000.0,3699000000.0,19250000000.0,4015000000.0,3699000000.0,4330000000.0,19179000000.0,4159000000.0,-171000000.0,4330000000.0,-41000000.0,-41000000.0,4481000000.0,2143000000.0,6708000000.0,1000000.0,1000000.0,0.0,18111000000.0,15836000000.0,842000000.0,145000000.0,145000000.0,14849000000.0,14849000000.0,2275000000.0,,,71000000.0,71000000.0,2204000000.0,1719000000.0,,485000000.0,179000000.0,171000000.0,171000000.0,135000000.0,22270000000.0,15980000000.0,368000000.0,136000000.0,136000000.0,1179000000.0,631000000.0,521000000.0,110000000.0,13666000000.0,,13666000000.0,,11591000000.0,,,2075000000.0,0.0,6290000000.0,154000000.0,,,,32000000.0,336000000.0,336000000.0,-203000000.0,539000000.0,5768000000.0,5768000000.0,2023-06-30
69000000.0,764490874.0,833490874.0,8820000000.0,14394000000.0,3944000000.0,18947000000.0,2070000000.0,3944000000.0,4553000000.0,17129000000.0,4452000000.0,-101000000.0,4553000000.0,-57000000.0,-57000000.0,4481000000.0,2370000000.0,6720000000.0,1000000.0,1000000.0,0.0,17672000000.0,13570000000.0,844000000.0,150000000.0,150000000.0,12576000000.0,12576000000.0,4102000000.0,,,1818000000.0,1818000000.0,2284000000.0,1768000000.0,,516000000.0,153000000.0,213000000.0,213000000.0,150000000.0,22124000000.0,15952000000.0,388000000.0,127000000.0,127000000.0,1186000000.0,609000000.0,507000000.0,102000000.0,13642000000.0,,13642000000.0,,11589000000.0,,,2053000000.0,0.0,6172000000.0,173000000.0,,,,35000000.0,390000000.0,390000000.0,-200000000.0,590000000.0,5574000000.0,5574000000.0,2023-09-30
80000000.0,753000000.0,833000000.0,8924000000.0,14029000000.0,3520000000.0,18147000000.0,1355000000.0,3520000000.0,4118000000.0,16247000000.0,4104000000.0,-14000000.0,4118000000.0,27000000.0,27000000.0,4991000000.0,2600000000.0,6481000000.0,1000000.0,1000000.0,0.0,17674000000.0,13252000000.0,936000000.0,187000000.0,187000000.0,12129000000.0,12129000000.0,4422000000.0,543000000.0,543000000.0,1900000000.0,1900000000.0,1979000000.0,1016000000.0,184000000.0,963000000.0,146000000.0,650000000.0,261000000.0,167000000.0,21778000000.0,16001000000.0,400000000.0,121000000.0,121000000.0,1194000000.0,598000000.0,495000000.0,103000000.0,13688000000.0,-11893000000.0,25581000000.0,491000000.0,,5351000000.0,16211000000.0,3528000000.0,0.0,5777000000.0,150000000.0,,,,38000000.0,484000000.0,484000000.0,-201000000.0,685000000.0,5105000000.0,5105000000.0,2023-12-31
89000000.0,745047150.0,834047150.0,9001000000.0,13957000000.0,3369000000.0,17910000000.0,1289000000.0,3369000000.0,3953000000.0,15867000000.0,4025000000.0,72000000.0,3953000000.0,-38000000.0,-38000000.0,5446000000.0,2943000000.0,6493000000.0,1000000.0,1000000.0,0.0,17220000000.0,12953000000.0,864000000.0,175000000.0,175000000.0,11914000000.0,11914000000.0,4267000000.0,,,2043000000.0,2043000000.0,2224000000.0,1661000000.0,,563000000.0,151000000.0,256000000.0,256000000.0,156000000.0,21245000000.0,15689000000.0,387000000.0,121000000.0,121000000.0,1211000000.0,584000000.0,,,13386000000.0,,13386000000.0,,11266000000.0,,,2120000000.0,0.0,5556000000.0,141000000.0,,,,39000000.0,420000000.0,420000000.0,-206000000.0,626000000.0,4956000000.0,4956000000.0,2024-03-31
