tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,provision_for_doubtful_accounts,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.004839,-257250000.0,,,-322437000.0,23004000.0,223255000.0,-257250000.0,-280254000.0,-43751000.0,43751000.0,-322437000.0,-322437000.0,715339000.0,-359532000.0,293683331.0,293683331.0,-1.1,-1.1,-322437000.0,-322437000.0,-322437000.0,-322437000.0,-322437000.0,-1568000.0,-324005000.0,35527000.0,35527000.0,,,-43751000.0,43751000.0,43751000.0,-315781000.0,492084000.0,38422000.0,106689000.0,,,346973000.0,188334000.0,158639000.0,158639000.0,,176303000.0,223255000.0,399558000.0,399558000.0,2022-12-31
-141418.816249,0.004048,-72922000.0,-34934000.0,-34934000.0,-205677000.0,47469000.0,227021000.0,-107856000.0,-155325000.0,-51188000.0,51188000.0,-170884418.816249,-205677000.0,604891000.0,-310035000.0,297204715.0,297204715.0,-0.69,-0.69,-205677000.0,-205677000.0,-205677000.0,-205677000.0,-205677000.0,-836000.0,-206513000.0,68588000.0,103522000.0,-34934000.0,34934000.0,-51188000.0,51188000.0,51188000.0,-223913000.0,377870000.0,31224000.0,66438000.0,6181000.0,6181000.0,280208000.0,140942000.0,139266000.0,139266000.0,28753000.0,153957000.0,227021000.0,380978000.0,380978000.0,2023-03-31
-5942.627775,0.006349,-100055000.0,-936000.0,-936000.0,-205962000.0,43279000.0,223565000.0,-100991000.0,-144270000.0,-63008000.0,63008000.0,-205031942.627775,-205962000.0,625709000.0,-243828000.0,,,,,-205962000.0,-205962000.0,-205962000.0,-205962000.0,-205962000.0,-1316000.0,-207278000.0,35614000.0,36550000.0,-936000.0,936000.0,-63008000.0,,63008000.0,-179884000.0,402144000.0,35009000.0,94483000.0,,,272652000.0,145131000.0,127521000.0,127521000.0,,222260000.0,223565000.0,445825000.0,445825000.0,2023-06-30
-349650.0,0.21,-55013000.0,-1665000.0,-1665000.0,-171783000.0,40131000.0,208636000.0,-56678000.0,-96809000.0,-73931000.0,73931000.0,-170467650.0,-171783000.0,630398000.0,-209447000.0,303839670.0,303839670.0,-0.57,-0.57,-171783000.0,-171783000.0,-171783000.0,-171783000.0,-171783000.0,1043000.0,-170740000.0,37042000.0,38707000.0,-1665000.0,1665000.0,-73931000.0,,73931000.0,-133851000.0,421762000.0,34866000.0,99696000.0,,,287200000.0,146866000.0,140334000.0,140334000.0,,287911000.0,208636000.0,496547000.0,496547000.0,2023-09-30
-233.887424,0.004177,-56417000.0,-56000.0,-56000.0,-166902000.0,26512000.0,210036000.0,-56473000.0,-82985000.0,-84617000.0,84617000.0,-166846233.887424,-166902000.0,678588000.0,-172151000.0,307571602.0,307571602.0,-0.54,-0.54,-166902000.0,-166902000.0,-166902000.0,-166902000.0,-166902000.0,-700000.0,-167602000.0,4493000.0,4549000.0,-56000.0,56000.0,-84617000.0,,84617000.0,-87478000.0,468552000.0,53630000.0,120880000.0,,,294042000.0,161265000.0,132777000.0,132777000.0,,381074000.0,210036000.0,591110000.0,591110000.0,2023-12-31
