tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.21,-236059000.0,-289926000.0,42538000.0,142432000.0,-236059000.0,-278597000.0,11628000.0,9686000.0,21636000.0,-289926000.0,-289926000.0,880903000.0,-301899000.0,601859000.0,601859000.0,-0.48,-0.48,-289926000.0,-289926000.0,-289926000.0,1559000.0,-291485000.0,-291485000.0,3202000.0,-288283000.0,1988000.0,1988000.0,11628000.0,322000.0,9686000.0,21636000.0,-301899000.0,738471000.0,380620000.0,248407000.0,109444000.0,29740000.0,79704000.0,79704000.0,436572000.0,142432000.0,579004000.0,579004000.0,2022-12-31
0.0,0.21,-212117000.0,-268313000.0,47412000.0,151841000.0,-212117000.0,-259529000.0,21070000.0,9688000.0,31082000.0,-268313000.0,-268313000.0,945191000.0,-289847000.0,606637000.0,606637000.0,-0.44,-0.44,-268313000.0,-268313000.0,-268313000.0,1635000.0,-269948000.0,-269948000.0,731000.0,-269217000.0,-440000.0,-440000.0,21070000.0,324000.0,9688000.0,31082000.0,-289847000.0,793350000.0,393484000.0,275537000.0,124329000.0,26755000.0,97574000.0,97574000.0,503503000.0,151841000.0,655344000.0,655344000.0,2023-03-31
0.0,0.004321,-223790000.0,-282777000.0,52599000.0,162029000.0,-223790000.0,-276389000.0,24749000.0,9688000.0,34764000.0,-282777000.0,-282777000.0,994755000.0,-313989000.0,612689000.0,612689000.0,-0.46,-0.46,-282777000.0,-282777000.0,-282777000.0,2064000.0,-284841000.0,-284841000.0,-1236000.0,-286077000.0,3277000.0,3277000.0,24749000.0,327000.0,9688000.0,34764000.0,-313989000.0,832726000.0,390882000.0,315319000.0,126525000.0,30328000.0,96197000.0,96197000.0,518737000.0,162029000.0,680766000.0,680766000.0,2023-06-30
0.0,0.21,-214589000.0,-277158000.0,53600000.0,163581000.0,-214589000.0,-268189000.0,26174000.0,9937000.0,36442000.0,-277158000.0,-277158000.0,1013263000.0,-300038000.0,619350000.0,619350000.0,-0.45,-0.45,-277158000.0,-277158000.0,-277158000.0,1650000.0,-278808000.0,-278808000.0,682000.0,-278126000.0,-4262000.0,-4262000.0,26174000.0,331000.0,9937000.0,36442000.0,-300038000.0,849682000.0,389687000.0,321613000.0,138382000.0,40874000.0,97508000.0,97508000.0,549644000.0,163581000.0,713225000.0,713225000.0,2023-09-30
0.0,0.21,-260568000.0,-323698000.0,54531000.0,171664000.0,-260568000.0,-315099000.0,29232000.0,9964000.0,39530000.0,-323698000.0,-323698000.0,1105132000.0,-355193000.0,,,,,-323698000.0,-323698000.0,-323698000.0,1642000.0,-325340000.0,-325340000.0,277000.0,-325063000.0,898000.0,898000.0,29232000.0,334000.0,9964000.0,39530000.0,-355193000.0,933468000.0,445060000.0,341129000.0,147279000.0,48503000.0,98776000.0,98776000.0,578275000.0,171664000.0,749939000.0,749939000.0,2023-12-31
