treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_deferred_taxes_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,payables_and_accrued_expenses,current_accrued_expenses,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,assets_held_for_sale_current,current_deferred_assets,restricted_cash,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
,290541729.0,290541729.0,4400718000.0,5561815000.0,-5609436000.0,7049390000.0,122196000.0,-5609436000.0,393269000.0,1880844000.0,6961081000.0,3306572000.0,1425728000.0,1880844000.0,-23736000.0,-23736000.0,-216219000.0,2120794000.0,5000.0,5000.0,9197270000.0,6782730000.0,412982000.0,961623000.0,961623000.0,5408125000.0,327888000.0,5080237000.0,2414540000.0,160445000.0,974561000.0,974561000.0,,153690000.0,65381000.0,88309000.0,88309000.0,1125844000.0,525239000.0,600605000.0,600605000.0,12503842000.0,9967106000.0,325619000.0,771382000.0,771382000.0,336973000.0,,7490280000.0,2205583000.0,5284697000.0,1042852000.0,-511570000.0,1554422000.0,67122000.0,346550000.0,507040000.0,508095000.0,125615000.0,0.0,2536736000.0,293206000.0,12013000.0,268524000.0,278165000.0,917000000.0,917000000.0,-54766000.0,971766000.0,767828000.0,767828000.0,2022-12-31
,299352355.0,299352355.0,4432536000.0,5534423000.0,-5467313000.0,7176029000.0,-4825000.0,-5467313000.0,383229000.0,2024835000.0,7087343000.0,3396964000.0,1372129000.0,2024835000.0,-14997000.0,-14997000.0,-208188000.0,2248015000.0,5000.0,5000.0,9222726000.0,6679692000.0,459693000.0,842935000.0,842935000.0,5377064000.0,314556000.0,5062508000.0,2543034000.0,106359000.0,1132703000.0,977810000.0,154893000.0,157359000.0,68673000.0,88686000.0,88686000.0,1146613000.0,531381000.0,615232000.0,615232000.0,12619690000.0,10081481000.0,386793000.0,804981000.0,804981000.0,348548000.0,348548000.0,7492148000.0,2190078000.0,5302070000.0,1049011000.0,,1049011000.0,,1049011000.0,,,,,2538209000.0,271018000.0,5984000.0,283326000.0,267605000.0,991618000.0,991618000.0,-57128000.0,1048746000.0,718658000.0,718658000.0,2023-03-31
,302912176.0,302912176.0,3493912000.0,5485474000.0,-4753952000.0,7614753000.0,974780000.0,-4753952000.0,375069000.0,2504348000.0,7515772000.0,4097198000.0,1592850000.0,2504348000.0,36000.0,36000.0,194986000.0,2309320000.0,6000.0,6000.0,9219389000.0,6586034000.0,431303000.0,838555000.0,838555000.0,5316176000.0,304752000.0,5011424000.0,2633355000.0,242151000.0,1046248000.0,891355000.0,154893000.0,169298000.0,70317000.0,98981000.0,98981000.0,1175658000.0,501968000.0,673690000.0,673690000.0,13316587000.0,9708452000.0,494730000.0,809873000.0,809873000.0,344013000.0,344013000.0,7258300000.0,2167746000.0,5090554000.0,801536000.0,,801536000.0,,801536000.0,,,,,3608135000.0,397983000.0,5984000.0,277577000.0,327907000.0,982191000.0,982191000.0,-53594000.0,1035785000.0,1616493000.0,1616493000.0,2023-06-30
0.0,300309972.0,300309972.0,3708752000.0,5420811000.0,-10698664000.0,9809492000.0,764319000.0,-10698664000.0,374394000.0,4763075000.0,9746479000.0,11869723000.0,7106648000.0,4763075000.0,-34100000.0,-34100000.0,-52235000.0,4849404000.0,6000.0,6000.0,10031902000.0,7109084000.0,391407000.0,1433172000.0,1433172000.0,5284505000.0,301101000.0,4983404000.0,2922818000.0,288084000.0,1201131000.0,1044617000.0,156514000.0,136306000.0,73293000.0,63013000.0,63013000.0,1297297000.0,707219000.0,590078000.0,590078000.0,21901625000.0,18214488000.0,574938000.0,569065000.0,569065000.0,386994000.0,386994000.0,15461739000.0,5342618000.0,10119121000.0,1221752000.0,,1221752000.0,,1221752000.0,,,,,3687137000.0,436016000.0,7500000.0,512164000.0,310667000.0,1083125000.0,1083125000.0,-54286000.0,1137411000.0,1337665000.0,1337665000.0,2023-09-30
0.0,298698490.0,298698490.0,3861785000.0,5392114000.0,-10579498000.0,9813017000.0,667602000.0,-10579498000.0,363803000.0,4784706000.0,9754123000.0,11722511000.0,6937805000.0,4784706000.0,-157000.0,-157000.0,-117065000.0,4901922000.0,6000.0,6000.0,9822262000.0,7025317000.0,1240277000.0,528049000.0,528049000.0,5256991000.0,287574000.0,4969417000.0,2796945000.0,293485000.0,1070004000.0,1070004000.0,,135123000.0,76229000.0,58894000.0,58894000.0,1298333000.0,710725000.0,587608000.0,587608000.0,21544773000.0,18080226000.0,621984000.0,430765000.0,430765000.0,397971000.0,,15364204000.0,5212365000.0,10151839000.0,1265302000.0,-523557000.0,1788859000.0,61289000.0,320395000.0,673475000.0,652454000.0,81246000.0,0.0,3464547000.0,452605000.0,,627170000.0,278456000.0,939790000.0,939790000.0,-66650000.0,1006440000.0,1166526000.0,1166526000.0,2023-12-31
