tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-6090000.0,0.21,693000000.0,-29000000.0,-29000000.0,182000000.0,255000000.0,4568000000.0,664000000.0,409000000.0,-64000000.0,64000000.0,204910000.0,182000000.0,5213000000.0,663000000.0,1009000000.0,1000000000.0,0.18,0.18,182000000.0,182000000.0,182000000.0,-6000000.0,188000000.0,188000000.0,157000000.0,345000000.0,-283000000.0,-254000000.0,-29000000.0,29000000.0,-64000000.0,64000000.0,692000000.0,645000000.0,645000000.0,1337000000.0,4568000000.0,5905000000.0,5905000000.0,2022-12-31
-13189473.684211,0.235526,1149000000.0,-56000000.0,-56000000.0,576000000.0,269000000.0,4567000000.0,1093000000.0,824000000.0,-64000000.0,64000000.0,618810526.315789,576000000.0,5222000000.0,438000000.0,1018000000.0,1010000000.0,0.57,0.57,576000000.0,576000000.0,576000000.0,-5000000.0,581000000.0,581000000.0,179000000.0,760000000.0,330000000.0,386000000.0,-56000000.0,56000000.0,-64000000.0,64000000.0,494000000.0,655000000.0,655000000.0,1149000000.0,4567000000.0,5716000000.0,5716000000.0,2023-03-31
-33224755.700326,0.325733,1050000000.0,-102000000.0,-102000000.0,410000000.0,276000000.0,5004000000.0,948000000.0,672000000.0,-58000000.0,58000000.0,478775244.299674,410000000.0,5699000000.0,514000000.0,1015000000.0,1010000000.0,0.4,0.41,410000000.0,410000000.0,410000000.0,-4000000.0,414000000.0,414000000.0,200000000.0,614000000.0,56000000.0,158000000.0,-102000000.0,102000000.0,-58000000.0,58000000.0,616000000.0,695000000.0,695000000.0,1311000000.0,5004000000.0,6315000000.0,6315000000.0,2023-06-30
-619235.836627,0.309618,1078000000.0,-2000000.0,-2000000.0,518000000.0,268000000.0,5298000000.0,1076000000.0,808000000.0,-49000000.0,49000000.0,519380764.163373,518000000.0,5925000000.0,714000000.0,1017000000.0,1009000000.0,0.51,0.51,518000000.0,518000000.0,518000000.0,-6000000.0,524000000.0,524000000.0,235000000.0,759000000.0,92000000.0,94000000.0,-2000000.0,,-49000000.0,49000000.0,716000000.0,627000000.0,627000000.0,1343000000.0,5298000000.0,6641000000.0,6641000000.0,2023-09-30
-22034482.758621,0.136015,1003000000.0,-162000000.0,-162000000.0,440000000.0,274000000.0,5388000000.0,841000000.0,567000000.0,-45000000.0,45000000.0,579965517.241379,440000000.0,6022000000.0,651000000.0,1010000000.0,1001000000.0,0.43,0.44,440000000.0,440000000.0,440000000.0,-11000000.0,451000000.0,451000000.0,71000000.0,522000000.0,-246000000.0,-84000000.0,-162000000.0,,-45000000.0,45000000.0,813000000.0,634000000.0,634000000.0,1447000000.0,5388000000.0,6835000000.0,6835000000.0,2023-12-31
-1943837.75351,0.277691,972000000.0,-7000000.0,-7000000.0,455000000.0,283000000.0,5140000000.0,965000000.0,682000000.0,-41000000.0,41000000.0,460056162.24649,455000000.0,5758000000.0,653000000.0,1004000000.0,998000000.0,0.45,0.46,455000000.0,455000000.0,455000000.0,-8000000.0,463000000.0,463000000.0,178000000.0,641000000.0,22000000.0,29000000.0,-7000000.0,7000000.0,-41000000.0,41000000.0,660000000.0,618000000.0,618000000.0,1278000000.0,5140000000.0,6418000000.0,6418000000.0,2024-03-31
