tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,write_off,earnings_from_equity_interest,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-13747035.492906,0.135098,1979134000.0,-101756000.0,-101756000.0,1255733000.0,287221000.0,6626469000.0,1877378000.0,1590157000.0,-26971000.0,56752000.0,29781000.0,1343741964.507094,1255733000.0,7049292000.0,255838000.0,255402000.0,4.89,4.9,1250706000.0,,1250799000.0,4934000.0,1255733000.0,-70512000.0,1326245000.0,1326245000.0,207160000.0,1533405000.0,-114288000.0,-101756000.0,101756000.0,-12532000.0,-26971000.0,,56752000.0,29781000.0,1674664000.0,422823000.0,422823000.0,2097487000.0,6626469000.0,8723956000.0,8723956000.0,2022-12-31
0.0,0.229,1939324000.0,,,1136542000.0,279858000.0,6711778000.0,1939324000.0,1659466000.0,-10183000.0,62682000.0,52499000.0,1136542000.0,1136542000.0,7101673000.0,254397000.0,253608000.0,4.45,4.47,1133150000.0,21000.0,1133129000.0,3413000.0,1136542000.0,-95087000.0,1231629000.0,1231629000.0,365155000.0,1596784000.0,-1340000.0,,,-1340000.0,-10183000.0,,62682000.0,52499000.0,1608307000.0,389895000.0,389895000.0,1998202000.0,6711778000.0,8709980000.0,8709980000.0,2023-03-31
0.0,0.226,2396797000.0,,,1461354000.0,286209000.0,7021582000.0,2396797000.0,2110588000.0,-4598000.0,60806000.0,56208000.0,1461354000.0,1461354000.0,7474970000.0,250524000.0,250144000.0,5.81,5.82,1455341000.0,16000.0,1455325000.0,6029000.0,1461354000.0,-125721000.0,1587075000.0,1587075000.0,462707000.0,2049782000.0,6094000.0,,,6094000.0,-4598000.0,,60806000.0,56208000.0,2048286000.0,453388000.0,453388000.0,2501674000.0,7021582000.0,9523256000.0,9523256000.0,2023-06-30
0.0,0.211,1825819000.0,,,1141506000.0,290787000.0,6854934000.0,1825819000.0,1535032000.0,14133000.0,,,1141506000.0,1141506000.0,7240702000.0,248916000.0,248504000.0,4.57,4.58,1141506000.0,,1141506000.0,,1141506000.0,-79749000.0,1221255000.0,1221255000.0,326827000.0,1548082000.0,-1083000.0,,,-1083000.0,14133000.0,-14133000.0,,,1535032000.0,385768000.0,385768000.0,1920800000.0,6854934000.0,8775734000.0,8775734000.0,2023-09-30
0.0,0.190405,1638547000.0,,,785399000.0,311461000.0,6310813000.0,1638547000.0,1327086000.0,30280000.0,,,785399000.0,785399000.0,6665814000.0,247249000.0,246868000.0,3.16,3.17,768502000.0,,768453000.0,,785399000.0,-87433000.0,872832000.0,872832000.0,205277000.0,1078109000.0,9112000.0,,,9112000.0,30280000.0,,,,1038717000.0,355001000.0,355001000.0,1393718000.0,6310813000.0,7704531000.0,7704531000.0,2023-12-31
