ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,derivative_product_liabilities,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,long_term_provisions,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,current_notes_payable,payables_and_accrued_expenses,payables,other_payable,total_tax_payable,income_tax_payable,accounts_payable,total_assets,investments_and_advances,available_for_sale_securities,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,gross_ppe,other_properties,prepaid_assets,receivables,other_receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date,treasury_shares_number,current_accrued_expenses
4694787854.0,4694787854.0,605921000.0,4311222000.0,5476351000.0,4311222000.0,20353000.0,4890783000.0,5476351000.0,4890783000.0,0.0,4890783000.0,-137651000.0,-137651000.0,64577000.0,4963774000.0,83000.0,83000.0,25044089000.0,9425000.0,82806000.0,41688000.0,41118000.0,605921000.0,20353000.0,585568000.0,17947000.0,,,,,7565800000.0,7565800000.0,,511017000.0,511017000.0,7054783000.0,29934872000.0,10517274000.0,570136000.0,579561000.0,182164000.0,397397000.0,46464000.0,46464000.0,46464000.0,84406000.0,9000709000.0,767637000.0,8233072000.0,-1033102000.0,9266174000.0,9947138000.0,6890816000.0,154920000.0,1506727000.0,2022-12-31,,
4714203759.0,4714203759.0,670480000.0,4595732000.0,5859702000.0,4595732000.0,19299000.0,5208521000.0,5859702000.0,5208521000.0,,5208521000.0,-14445000.0,-14445000.0,257090000.0,4965793000.0,83000.0,83000.0,24280870000.0,10344000.0,95083000.0,47122000.0,47961000.0,670480000.0,19299000.0,651181000.0,19988000.0,,,,,7131049000.0,7131049000.0,,259223000.0,259223000.0,6871826000.0,29489391000.0,8112773000.0,196630000.0,612789000.0,215303000.0,397486000.0,46942000.0,46942000.0,46942000.0,94537000.0,10416526000.0,1258074000.0,9158452000.0,,,7916143000.0,6948963000.0,99090000.0,1705630000.0,2023-03-31,,
4742615887.0,4742615887.0,783693000.0,4992748000.0,6409121000.0,4992748000.0,19171000.0,5644599000.0,6366471000.0,5644599000.0,,5644599000.0,126987000.0,126987000.0,546742000.0,4970786000.0,84000.0,84000.0,27963484000.0,41715000.0,139930000.0,54882000.0,85048000.0,741043000.0,19171000.0,721872000.0,30509000.0,42650000.0,42650000.0,42650000.0,0.0,8425593000.0,8425593000.0,113822000.0,562206000.0,562206000.0,7749565000.0,33608083000.0,7777129000.0,297332000.0,651851000.0,254378000.0,397473000.0,51660000.0,51660000.0,51660000.0,203395000.0,11988072000.0,1600359000.0,10387713000.0,,,7479797000.0,8570452000.0,510091000.0,1417072000.0,2023-06-30,,
4754909700.0,4754909700.0,1117913000.0,5213894000.0,6975188000.0,5213894000.0,32043000.0,5889318000.0,6889149000.0,5889318000.0,,5889318000.0,29607000.0,29607000.0,887813000.0,4971814000.0,84000.0,84000.0,29803924000.0,52775000.0,136452000.0,61232000.0,75220000.0,1031874000.0,32043000.0,999831000.0,35763000.0,86039000.0,86039000.0,86039000.0,,8799749000.0,8799749000.0,116216000.0,848679000.0,848679000.0,7834854000.0,35693242000.0,8930787000.0,325018000.0,675424000.0,277919000.0,397505000.0,61959000.0,61959000.0,61959000.0,221306000.0,12448475000.0,1952951000.0,10495524000.0,,,8605769000.0,9058374000.0,546747000.0,1209723000.0,2023-09-30,,
4765937154.0,4765937154.0,1173286000.0,5712966000.0,7542729000.0,5712966000.0,36942000.0,6406385000.0,7429134000.0,6406385000.0,,6406385000.0,156430000.0,156430000.0,1276949000.0,4972922000.0,84000.0,84000.0,37092064000.0,28173000.0,287786000.0,287786000.0,,1059691000.0,36942000.0,1022749000.0,30148000.0,113595000.0,113595000.0,113595000.0,,11381175000.0,11214299000.0,158169000.0,1300845000.0,1300845000.0,9755285000.0,43498449000.0,9358488000.0,552743000.0,693419000.0,295881000.0,397538000.0,69753000.0,69753000.0,69753000.0,178082000.0,14531873000.0,2117772000.0,12414101000.0,-2074203000.0,14488304000.0,8805745000.0,13422632000.0,856321000.0,1759018000.0,2023-12-31,0.0,166876000.0
