tax_effect_of_unusual_items,tax_rate_for_calcs,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_non_operating_income_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,total_revenue,operating_revenue,date
0.0,0.34,-297613000.0,9882000.0,687998000.0,407511000.0,1095509000.0,-297613000.0,-297613000.0,,,,,-297613000.0,-297613000.0,-297613000.0,0.0,-297613000.0,-297613000.0,75868000.0,-221745000.0,-46285000.0,9882000.0,9882000.0,637592000.0,51078000.0,586514000.0,70459000.0,516055000.0,969208000.0,969208000.0,2022-12-31
0.0,0.34,141751000.0,13179000.0,815242000.0,440212000.0,1255454000.0,141751000.0,141751000.0,4818200000.0,4709505000.0,0.0294,0.0301,141751000.0,141751000.0,141751000.0,0.0,141751000.0,141751000.0,101878000.0,243629000.0,-43285000.0,13179000.0,13179000.0,248080000.0,19272000.0,228808000.0,72803000.0,156005000.0,1103094000.0,1103094000.0,2023-03-31
0.0,0.30592,224866000.0,13977000.0,1046799000.0,453426000.0,1500225000.0,224866000.0,224866000.0,4843835000.0,4730272000.0,0.0464,0.0475,224866000.0,224866000.0,224866000.0,0.0,224866000.0,224866000.0,99111000.0,323977000.0,-54366000.0,13977000.0,13977000.0,276845000.0,33923000.0,242922000.0,72237000.0,170685000.0,1343322000.0,1343322000.0,2023-06-30
0.0,0.263663,303036000.0,19194000.0,1195050000.0,537649000.0,1732699000.0,303036000.0,303036000.0,4856845000.0,4752303000.0,0.0624,0.0638,303036000.0,303036000.0,303036000.0,0.0,303036000.0,303036000.0,108509000.0,411545000.0,-65242000.0,19194000.0,19194000.0,279851000.0,46483000.0,233368000.0,53589000.0,179779000.0,1493263000.0,1493263000.0,2023-09-30
0.0,0.355493,360877000.0,16545000.0,1345696000.0,605638000.0,1951334000.0,360877000.0,360877000.0,,,,,360877000.0,360877000.0,360877000.0,0.0,360877000.0,360877000.0,199050000.0,559927000.0,-87538000.0,16545000.0,16545000.0,332836000.0,71344000.0,261492000.0,78459000.0,183033000.0,1692505000.0,1692505000.0,2023-12-31
