date,open,close,high,low,volume
2021-07-28,439.0990551399769,449.113525390625,452.4264527245202,439.0990551399769,75600
2021-07-29,451.2120940501716,443.0327453613281,451.9994458773787,440.6373925965463,113700
2021-07-30,441.2793897783446,451.98431396484375,452.01458926348886,439.0959917983092,87600
2021-08-02,452.4203965706033,447.8356018066406,458.7948995410502,445.7915200962993,79500
2021-08-03,444.45903544887295,449.6979370117188,454.2403404158776,439.0172450425724,70200
2021-08-04,445.155539556722,437.9270629882813,448.09296416061846,437.9270629882813,54300
2021-08-05,450.2339916588664,444.9496765136719,450.2339916588664,444.0653993281736,36900
2021-08-06,451.2120579767747,448.1262512207031,451.9267434860918,445.1918763930934,47700
2021-08-09,443.066055466502,450.0613403320313,454.2252195142345,443.066055466502,55200
2021-08-10,450.5761935129295,455.7514953613281,457.9530530422249,448.2262535946239,44400
2021-08-11,451.5451647232787,451.6299743652344,453.0259926396364,444.4075420058642,38400
2021-08-12,449.2982460032737,456.8295593261719,456.8295593261719,449.2982460032737,29400
2021-08-13,456.16935378160593,449.21038818359375,456.1784474606303,448.8015884969657,36300
2021-08-16,443.11447760909215,438.8446350097656,447.2056626902862,438.8446350097656,60900
2021-08-17,434.55662788970216,431.5677185058594,438.3540707116428,428.2396537008237,42300
2021-08-18,433.08789424782645,414.721435546875,433.08789424782645,414.6215159786622,66900
2021-08-19,405.527661373786,401.0185546875,408.8769357374797,394.071704141469,124800
2021-08-20,400.3371611396782,403.5592346191406,407.8169894266256,400.3371611396782,38400
2021-08-23,412.35937952004383,413.0558776855469,419.7937946174079,409.7944353363994,117600
2021-08-24,414.50947256758974,421.665283203125,425.45668204789126,414.50947256758974,61200
2021-08-25,420.4297361111021,429.0815124511719,433.2695953385912,420.4297361111021,81300
2021-08-26,433.1394036381515,418.21002197265625,434.1023910079152,418.0828490854245,62100
2021-08-27,419.763473088315,428.5000305175781,436.2645069977876,419.763473088315,49800
2021-08-30,433.79044480253,428.6242370605469,435.5619932746629,428.6242370605469,31800
2021-08-31,423.1188876467421,411.7658996582031,423.1188876467421,409.5461823083068,90300
2021-09-01,411.7658928091352,410.2850646972656,412.35942175804,402.5448184088645,68700
2021-09-02,410.6968474288486,402.1116943359375,423.0521896130983,398.0750161129471,164400
2021-09-03,400.0646109969648,392.4273071289063,403.6682584241629,389.84118135292834,60900
2021-09-07,389.39189653929753,371.4441528320313,390.2696182056836,368.00637011047206,181800
2021-09-08,371.8159530661771,373.3641662597656,377.65835334334326,365.72061872157377,121200
2021-09-09,372.7302136109459,373.8761596679688,385.439026035308,370.64560742964,95700
2021-09-10,377.676606882215,372.1237487792969,377.676606882215,368.79570585591296,63300
2021-09-13,377.9112872436802,378.6640625,381.6629702346822,371.67878580816046,115200
2021-09-14,382.3456190025357,370.3195190429688,382.3456190025357,370.03608782269146,100500
2021-09-15,371.2673658910298,381.7574462890625,386.5544876933443,371.2673658910298,104700
2021-09-16,380.3463513469152,378.7005920410156,382.4126535932981,371.15152259306666,115500
2021-09-17,378.61221123391147,396.3191833496094,396.3191833496094,369.6002542670888,731400
2021-09-20,387.1853386026668,378.8438720703125,391.47037350706063,373.0410933331845,138900
2021-09-21,384.18034619828825,381.2271423339844,384.18034619828825,374.04682869340814,69600
2021-09-22,384.3144653335604,386.2283935546875,391.5679112098175,382.5163315276545,92700
2021-09-23,391.6897626230261,398.34283447265625,404.12426746876815,391.6897626230261,75900
2021-09-24,394.4326661234441,396.6605224609375,400.6529738325064,392.22007232482736,66300
2021-09-27,401.6831857989619,416.6167602539063,418.4057422605078,401.6831857989619,98700
2021-09-28,416.5069477820769,407.2908020019531,416.5069477820769,400.4304722937202,90600
2021-09-29,402.2927001341632,378.09417724609375,402.2927001341632,371.4716013069747,136500
2021-09-30,379.13034135665816,368.5732116699219,379.13034135665816,362.0329202588859,136500
2021-10-01,371.04793059209874,357.49493408203125,371.04793059209874,356.1234818081125,111900
2021-10-04,361.7281196915884,351.0277404785156,366.132017923213,342.78990358758256,136500
2021-10-05,351.12226120782424,361.1491088867188,362.4839813246521,344.9994989685243,135600
2021-10-06,355.7577339590864,354.239990234375,361.2587771855181,347.1328368088103,95700
2021-10-07,356.4556279512132,361.417236328125,361.417236328125,346.824994331217,138600
2021-10-08,364.0078194533447,369.8166809082031,376.5398438634161,362.6668364788868,80700
2021-10-11,372.6114196020227,365.1141357421875,379.2522712189912,361.17958099431786,63000
2021-10-12,365.11108657845904,359.5673522949219,365.7206116304203,357.41265542664064,50700
2021-10-13,355.712066383006,364.1480102539063,366.9549226321466,353.4964030683147,69600
2021-10-14,370.4536153149004,370.2341918945313,374.8635963694229,364.9342959659937,48300
2021-10-15,374.1321729943461,372.5351867675781,374.1321729943461,368.6829161390072,57300
2021-10-18,374.8635785818026,373.3397521972656,374.8635785818026,371.2063729371021,37800
2021-10-19,374.86366401008246,381.6813049316406,383.30267800322457,373.876230537982,55500
2021-10-20,379.8800357355779,387.3346557617188,387.3346557617188,379.8800357355779,35100
2021-10-21,386.8196487744257,378.2252197265625,386.8196487744257,375.20496650238834,44100
2021-10-22,378.886518121882,385.8291320800781,388.68478950797385,377.313918500077,42000
2021-10-25,390.2695502751182,394.2985534667969,405.1574169966592,390.20554248186966,47400
2021-10-26,393.21060177615686,396.6513977050781,399.2449692058168,390.2726325966848,59400
2021-10-27,394.7648803480092,378.7950744628906,395.0757394885428,377.6979294790543,91800
2021-10-28,378.6183742185344,384.7960205078125,385.8748896804128,378.6183742185344,34200
2021-10-29,384.9239319415036,388.1727600097656,388.4988537748707,379.4350821776478,37200
2021-11-01,393.3080857812444,400.2506713867188,403.49034749327217,388.8737184229745,53100
2021-11-02,395.7888988389093,392.2779846191406,403.5117159054185,390.12024659020335,54300
2021-11-03,386.5910346008994,388.2733459472656,392.4791382643144,386.5910346008994,38400
2021-11-04,390.8028778181073,377.85943603515625,393.149597740405,374.1778438959552,54600
2021-11-05,389.4924756875493,416.79046630859375,420.3836927477746,389.4924756875493,88500
2021-11-08,417.9516054855207,422.23052978515625,426.6740216573314,417.9516054855207,76500
2021-11-09,424.6382004187988,433.2478637695313,433.2478637695313,419.92344257190535,72000
2021-11-10,426.56730995168505,408.35748291015625,432.0134971738004,404.7307465578674,64200
2021-11-11,409.9118680216434,408.3910827636719,412.96259048174863,404.7460419784016,59400
2021-11-12,407.9917743873622,395.1397399902344,407.9917743873622,391.9183397847421,49800
2021-11-15,396.4259128879883,394.7131042480469,396.4259128879883,387.0543222400488,50100
2021-11-16,387.0055394111458,395.0818786621094,397.16648497467605,387.0055394111458,57600
2021-11-17,390.0471189385653,383.4031982421875,390.0471189385653,381.812322517011,64800
2021-11-18,386.84402272370295,390.2330322265625,393.2563266993383,384.0127237588242,51900
2021-11-19,382.7052605258716,379.7124633789063,387.0543031597151,377.9112883441491,76800
2021-11-22,386.4447629719716,382.1170654296875,390.5286504981083,382.1170654296875,45900
2021-11-23,387.0847420412777,395.5694580078125,396.5630018493328,384.030978680932,84900
2021-11-24,395.5695175221466,398.47698974609375,403.2435622445977,394.0334976191861,46800
2021-11-26,380.2580003804656,378.8225402832031,381.6203286323966,366.02538812504406,65400
2021-11-29,389.8490070364206,384.9239501953125,389.8490070364206,378.9169829972638,83100
2021-11-30,376.6038114468409,368.3934020996094,378.5360434057331,368.08862564203565,138000
2021-12-01,378.731118563527,359.77459716796875,380.95894719554536,359.56429777916657,74400
2021-12-02,360.4359196524961,371.6543884277344,372.74240938818497,359.3143880705781,106500
2021-12-03,376.4635935948774,367.4455261230469,376.4635935948774,367.4455261230469,74400
2021-12-06,374.8300742679709,385.1068420410156,387.3621265016772,369.0730273599212,113700
2021-12-07,398.21813741513625,406.3720703125,411.1484813295812,397.6352763033474,108900
2021-12-08,402.7736539379798,395.1688232421875,405.8812448055971,394.3834928144279,76500
2021-12-09,389.8893546401352,388.4751586914063,393.3159705502224,381.8550657223509,65100
2021-12-10,391.1318105688117,388.9721374511719,391.1318105688117,380.864207342467,66600
