tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,gain_on_sale_of_business,write_off,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-12561073.287946,0.122547,390000000.0,-102500000.0,-102500000.0,-219800000.0,405400000.0,1624200000.0,287500000.0,-117900000.0,-143600000.0,131800000.0,-129861073.287946,-219800000.0,1831000000.0,369134504.0,369134504.0,-0.66,-0.66,-220000000.0,-220000000.0,-219800000.0,,-219100000.0,0.0,-219100000.0,-30600000.0,-249700000.0,-96300000.0,,-9500000.0,-9900000.0,,-5300000.0,6200000.0,-93000000.0,-143600000.0,11800000.0,131800000.0,-9800000.0,206800000.0,5000000.0,201800000.0,,,197000000.0,1624200000.0,1821200000.0,1821200000.0,2022-12-31
-16878876.490958,0.161985,387600000.0,-104200000.0,-104200000.0,-219400000.0,378600000.0,1554600000.0,283400000.0,-95200000.0,-164700000.0,164700000.0,-132078876.490958,-219400000.0,1769100000.0,369176174.0,369176174.0,-0.66,-0.66,-219400000.0,-219400000.0,-219400000.0,-1600000.0,-217800000.0,0.0,-217800000.0,-42100000.0,-259900000.0,-125200000.0,,5400000.0,-100000.0,5500000.0,,-21000000.0,-109600000.0,-164700000.0,,164700000.0,30000000.0,214500000.0,,214500000.0,,,244500000.0,1554600000.0,1799100000.0,1799100000.0,2023-03-31
255320000.0,0.4,410600000.0,638300000.0,638300000.0,294900000.0,371800000.0,1590600000.0,1048900000.0,677100000.0,-156100000.0,144400000.0,-88080000.0,294900000.0,1833500000.0,401218417.0,369225007.0,0.72,0.74,294900000.0,294900000.0,294900000.0,1100000.0,293800000.0,0.0,293800000.0,238900000.0,532700000.0,578700000.0,2300000.0,581500000.0,6500000.0,575000000.0,,-61900000.0,56800000.0,-156100000.0,11700000.0,144400000.0,110100000.0,242900000.0,8700000.0,234200000.0,234200000.0,234200000.0,353000000.0,1590600000.0,1943600000.0,1943600000.0,2023-06-30
-16080000.0,0.4,506100000.0,-40200000.0,-40200000.0,22100000.0,349200000.0,1526800000.0,465900000.0,116700000.0,-128300000.0,116400000.0,46220000.0,22100000.0,1770400000.0,369556706.0,369556706.0,0.059801,0.059801,22100000.0,22100000.0,22100000.0,3800000.0,18300000.0,0.0,18300000.0,-18000000.0,300000.0,9000000.0,15200000.0,6700000.0,6700000.0,0.0,,34000000.0,-46900000.0,-128300000.0,11900000.0,116400000.0,119600000.0,243600000.0,8900000.0,234700000.0,,,363200000.0,1526800000.0,1890000000.0,1890000000.0,2023-09-30
15936666.666667,0.233333,378000000.0,68300000.0,68300000.0,-52200000.0,390100000.0,1574100000.0,446300000.0,56200000.0,-151400000.0,137200000.0,-104563333.333333,-52200000.0,1850500000.0,370651938.0,370651938.0,-0.21,-0.21,-144400000.0,-144400000.0,-52200000.0,9900000.0,-62100000.0,0.0,-62100000.0,-18900000.0,-81000000.0,38100000.0,,0.0,0.0,0.0,,-12700000.0,68300000.0,-151400000.0,14200000.0,137200000.0,32300000.0,276400000.0,-14100000.0,290500000.0,,,308700000.0,1574100000.0,1882800000.0,1882800000.0,2023-12-31
