tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-3189917.783384,0.106665,1698239000.0,-29906000.0,-29906000.0,936226000.0,572614000.0,785152000.0,1668333000.0,1095719000.0,-43379000.0,47707000.0,4328000.0,962942082.216616,936226000.0,2115334000.0,1102476000.0,515757000.0,512231000.0,1.82,1.83,936226000.0,936226000.0,936226000.0,936226000.0,936226000.0,111786000.0,1048012000.0,-40991000.0,-11085000.0,-29906000.0,29906000.0,-43379000.0,47707000.0,4328000.0,1132382000.0,1010433000.0,252865000.0,252865000.0,252865000.0,252865000.0,421008000.0,336560000.0,2142815000.0,1104901000.0,3247716000.0,3247716000.0,2022-10-31
0.0,0.104333,1721424000.0,0.0,0.0,961474000.0,587498000.0,790933000.0,1721424000.0,1133926000.0,-49624000.0,60453000.0,10829000.0,961474000.0,961474000.0,2118810000.0,1130820000.0,511184000.0,507121000.0,1.88,1.9,961474000.0,961474000.0,961474000.0,961474000.0,961474000.0,111999000.0,1073473000.0,-7723000.0,-7723000.0,0.0,0.0,-49624000.0,60453000.0,10829000.0,1130820000.0,993521000.0,253142000.0,253142000.0,253142000.0,253142000.0,414095000.0,326284000.0,2124341000.0,1125289000.0,3249630000.0,3249630000.0,2023-01-31
-2336736.0,0.101,1756107000.0,-23136000.0,-23136000.0,977656000.0,581796000.0,789609000.0,1732971000.0,1151175000.0,-50677000.0,63252000.0,12575000.0,998455264.0,977656000.0,2111410000.0,1128384000.0,508725000.0,504715000.0,1.92,1.94,977656000.0,977656000.0,977656000.0,977656000.0,977656000.0,110267000.0,1087923000.0,-12920000.0,10216000.0,-23136000.0,23136000.0,-50677000.0,63252000.0,12575000.0,1151520000.0,993026000.0,253021000.0,253021000.0,253021000.0,253021000.0,415754000.0,324251000.0,2144546000.0,1118384000.0,3262930000.0,3262930000.0,2023-04-30
-4943190.0,0.21,1555398000.0,-23539000.0,-23539000.0,877019000.0,587692000.0,777907000.0,1531859000.0,944167000.0,-60552000.0,69346000.0,8794000.0,895614810.0,877019000.0,2123463000.0,929493000.0,503503000.0,500018000.0,1.74,1.75,877019000.0,877019000.0,877019000.0,877019000.0,877019000.0,-2198000.0,874821000.0,-17659000.0,5880000.0,-23539000.0,23539000.0,-60552000.0,69346000.0,8794000.0,953032000.0,1008583000.0,250719000.0,250719000.0,250719000.0,250719000.0,423751000.0,334113000.0,1961615000.0,1114880000.0,3076495000.0,3076495000.0,2023-07-31
-14629864.075021,0.128293,1293528000.0,-114035000.0,-114035000.0,498430000.0,536117000.0,736387000.0,1179493000.0,643376000.0,-62501000.0,71590000.0,9089000.0,597835135.924979,498430000.0,1968034000.0,634415000.0,500424000.0,497073000.0,1.0,1.0,498430000.0,498430000.0,498430000.0,498430000.0,498430000.0,73356000.0,571786000.0,-114163000.0,-128000.0,-114035000.0,114035000.0,-62501000.0,71590000.0,9089000.0,748450000.0,898266000.0,202736000.0,202736000.0,202736000.0,202736000.0,406594000.0,288936000.0,1646716000.0,1069768000.0,2716484000.0,2716484000.0,2023-10-31
-1597860.0,0.099,1131950000.0,-16140000.0,-16140000.0,462727000.0,525251000.0,703844000.0,1115810000.0,590559000.0,-67972000.0,77141000.0,9169000.0,477269140.0,462727000.0,1910600000.0,585964000.0,498741000.0,495765000.0,0.93,0.93,462727000.0,462727000.0,462727000.0,462727000.0,462727000.0,50691000.0,513418000.0,-20714000.0,-4574000.0,-16140000.0,16140000.0,-67972000.0,77141000.0,9169000.0,602104000.0,871837000.0,190332000.0,190332000.0,190332000.0,190332000.0,391427000.0,290078000.0,1473941000.0,1038763000.0,2512704000.0,2512704000.0,2024-01-31
