tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,depreciation_income_statement,research_and_development,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
2050979.148426,0.026964,436477000.0,76063000.0,76063000.0,241293000.0,207232000.0,229138000.0,512540000.0,305308000.0,-57461000.0,57461000.0,167280979.148426,241293000.0,457111000.0,140007823.0,139956721.0,1.72,1.72,243003000.0,1710000.0,239202000.0,,241293000.0,129000.0,241164000.0,241164000.0,6683000.0,247847000.0,92748000.0,,-16565000.0,0.0,,6820000.0,92628000.0,-57461000.0,57461000.0,212560000.0,227973000.0,207232000.0,207232000.0,207232000.0,,20741000.0,20741000.0,20741000.0,440533000.0,229138000.0,669671000.0,669671000.0,2022-12-31
-190769.681046,0.02368,419955000.0,-8056000.0,-8056000.0,146902000.0,204743000.0,239327000.0,411899000.0,207156000.0,-56821000.0,56821000.0,154767230.318954,146902000.0,464470000.0,140023810.0,139766727.0,1.05,1.05,146914000.0,12000.0,146902000.0,,146902000.0,127000.0,146775000.0,146775000.0,3560000.0,150335000.0,-3082000.0,129000.0,-8043000.0,5051000.0,2992000.0,4845000.0,-13000.0,-56821000.0,56821000.0,210238000.0,225143000.0,204743000.0,204743000.0,204743000.0,2992000.0,20400000.0,20400000.0,20400000.0,435381000.0,239327000.0,674708000.0,674708000.0,2023-03-31
39072810.0,0.21,433660000.0,186061000.0,186061000.0,367923000.0,200546000.0,244835000.0,619721000.0,419175000.0,-51585000.0,51585000.0,220934810.0,367923000.0,463057000.0,142124117.0,141779951.0,2.59,2.59,367936000.0,658000.0,367278000.0,645000.0,367923000.0,116000.0,367807000.0,367807000.0,-217000.0,367590000.0,191372000.0,341000.0,-1261000.0,,1261000.0,4970000.0,187322000.0,-51585000.0,51585000.0,227803000.0,218222000.0,200546000.0,200546000.0,200546000.0,1261000.0,17676000.0,17676000.0,17676000.0,446025000.0,244835000.0,690860000.0,690860000.0,2023-06-30
-12086.397748,0.024818,425746000.0,-487000.0,-487000.0,172031000.0,200982000.0,253590000.0,425259000.0,224277000.0,-48115000.0,48115000.0,172505913.602252,172031000.0,475038000.0,142198099.0,141838841.0,1.21,1.21,171722000.0,-309000.0,172031000.0,,172031000.0,241000.0,171790000.0,171790000.0,4372000.0,176162000.0,1680000.0,237000.0,-22608000.0,3649000.0,18959000.0,1930000.0,22121000.0,-48115000.0,48115000.0,222597000.0,221448000.0,200982000.0,200982000.0,200982000.0,,20466000.0,20466000.0,20466000.0,444045000.0,253590000.0,697635000.0,697635000.0,2023-09-30
669656.291922,0.009971,437510000.0,67159000.0,67159000.0,241969000.0,210694000.0,250379000.0,504669000.0,293975000.0,-49471000.0,49471000.0,175479656.291922,241969000.0,479065000.0,142229122.0,142098397.0,1.7,1.7,243223000.0,1254000.0,240306000.0,,241969000.0,-97000.0,242066000.0,242066000.0,2438000.0,244504000.0,68335000.0,-533000.0,-10835000.0,568000.0,10267000.0,1709000.0,77994000.0,-49471000.0,49471000.0,225640000.0,228686000.0,210694000.0,210694000.0,210694000.0,,17992000.0,17992000.0,17992000.0,454326000.0,250379000.0,704705000.0,704705000.0,2023-12-31
