free_cash_flow,issuance_of_debt,issuance_of_capital_stock,capital_expenditure,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,net_common_stock_issuance,common_stock_issuance,net_issuance_payments_of_debt,net_long_term_debt_issuance,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_investment_purchase_and_sale,purchase_of_investment,capital_expenditure_reported,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_current_liabilities,change_in_other_current_assets,change_in_payables_and_accrued_expense,change_in_inventory,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,asset_impairment_charge,depreciation_amortization_depletion,depreciation_and_amortization,net_income_from_continuing_operations,date,sale_of_investment
-1740000000.0,0.0,37000000.0,-294000000.0,12099000000.0,13800000000.0,2000000.0,-1703000000.0,37000000.0,37000000.0,0.0,37000000.0,37000000.0,0.0,0.0,0.0,-294000000.0,-294000000.0,,,-294000000.0,-1446000000.0,-1446000000.0,-276000000.0,51000000.0,-23000000.0,144000000.0,-454000000.0,6000000.0,6000000.0,-5000000.0,135000000.0,224000000.0,199000000.0,199000000.0,-1723000000.0,2022-12-31,
-1804000000.0,1485000000.0,3000000.0,-283000000.0,11780000000.0,12099000000.0,,-319000000.0,1485000000.0,1485000000.0,-3000000.0,3000000.0,3000000.0,1485000000.0,1485000000.0,1485000000.0,-283000000.0,-283000000.0,,,-283000000.0,-1521000000.0,-1521000000.0,-774000000.0,69000000.0,-29000000.0,22000000.0,-781000000.0,-55000000.0,-55000000.0,2000000.0,183000000.0,229000000.0,188000000.0,188000000.0,-1349000000.0,2023-03-31,
-1616000000.0,0.0,34000000.0,-255000000.0,9260000000.0,11780000000.0,,-2522000000.0,32000000.0,32000000.0,-2000000.0,34000000.0,34000000.0,0.0,0.0,0.0,-1193000000.0,-1193000000.0,,,-255000000.0,-1361000000.0,-1361000000.0,-566000000.0,86000000.0,-53000000.0,-6000000.0,-409000000.0,-184000000.0,-184000000.0,5000000.0,181000000.0,-9000000.0,223000000.0,223000000.0,-1195000000.0,2023-06-30,
-1067000000.0,0.0,2000000.0,-190000000.0,7941000000.0,9260000000.0,-2000000.0,-1317000000.0,-8000000.0,-8000000.0,-10000000.0,2000000.0,2000000.0,0.0,0.0,0.0,-432000000.0,-432000000.0,-242000000.0,-467000000.0,-190000000.0,-877000000.0,-877000000.0,59000000.0,79000000.0,-47000000.0,204000000.0,-281000000.0,104000000.0,104000000.0,153000000.0,242000000.0,,256000000.0,256000000.0,-1367000000.0,2023-09-30,
-1405000000.0,1710000000.0,22000000.0,-298000000.0,7857000000.0,7941000000.0,5000000.0,-89000000.0,1621000000.0,1621000000.0,-3000000.0,22000000.0,22000000.0,1710000000.0,1710000000.0,1710000000.0,-603000000.0,-603000000.0,-305000000.0,-1005000000.0,-298000000.0,-1107000000.0,-1107000000.0,-133000000.0,56000000.0,-17000000.0,-115000000.0,-133000000.0,76000000.0,76000000.0,-45000000.0,215000000.0,,270000000.0,270000000.0,-1521000000.0,2023-12-31,700000000.0
