tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.0,-1491000000.0,-1723000000.0,199000000.0,1663000000.0,-1491000000.0,-1690000000.0,66000000.0,33000000.0,99000000.0,-1723000000.0,-1723000000.0,2458000000.0,-1795000000.0,,,,,-1723000000.0,-1723000000.0,-1723000000.0,-1723000000.0,-1723000000.0,0.0,-1723000000.0,6000000.0,6000000.0,66000000.0,33000000.0,99000000.0,-1795000000.0,795000000.0,402000000.0,393000000.0,-1000000000.0,1663000000.0,663000000.0,663000000.0,2022-12-31
0.0,0.0,-1122000000.0,-1349000000.0,188000000.0,1196000000.0,-1122000000.0,-1310000000.0,86000000.0,38000000.0,124000000.0,-1349000000.0,-1349000000.0,2094000000.0,-1433000000.0,930000000.0,930000000.0,-1.45,-1.45,-1349000000.0,-1349000000.0,-1349000000.0,-1349000000.0,-1349000000.0,1000000.0,-1348000000.0,-1000000.0,-1000000.0,86000000.0,38000000.0,124000000.0,-1433000000.0,898000000.0,496000000.0,402000000.0,-535000000.0,1196000000.0,661000000.0,661000000.0,2023-03-31
0.0,0.0,-918000000.0,-1195000000.0,223000000.0,1533000000.0,-918000000.0,-1141000000.0,87000000.0,54000000.0,141000000.0,-1195000000.0,-1195000000.0,2406000000.0,-1285000000.0,942000000.0,942000000.0,-1.27,-1.27,-1195000000.0,-1195000000.0,-1195000000.0,-1195000000.0,-1195000000.0,0.0,-1195000000.0,3000000.0,3000000.0,87000000.0,54000000.0,141000000.0,-1285000000.0,873000000.0,444000000.0,429000000.0,-412000000.0,1533000000.0,1121000000.0,1121000000.0,2023-06-30
0.0,0.0,-1056000000.0,-1367000000.0,256000000.0,1814000000.0,-1056000000.0,-1312000000.0,71000000.0,55000000.0,126000000.0,-1367000000.0,-1367000000.0,2777000000.0,-1440000000.0,952000000.0,952000000.0,-1.44,-1.44,-1367000000.0,-1367000000.0,-1367000000.0,-1367000000.0,-1367000000.0,0.0,-1367000000.0,2000000.0,2000000.0,71000000.0,55000000.0,126000000.0,-1440000000.0,963000000.0,529000000.0,434000000.0,-477000000.0,1814000000.0,1337000000.0,1337000000.0,2023-09-30
0.0,0.0,-1178000000.0,-1521000000.0,270000000.0,1921000000.0,-1178000000.0,-1448000000.0,58000000.0,73000000.0,131000000.0,-1521000000.0,-1521000000.0,2896000000.0,-1581000000.0,963000000.0,963000000.0,-1.58,-1.58,-1521000000.0,-1521000000.0,-1521000000.0,-1521000000.0,-1521000000.0,0.0,-1521000000.0,2000000.0,2000000.0,58000000.0,73000000.0,131000000.0,-1581000000.0,975000000.0,526000000.0,449000000.0,-606000000.0,1921000000.0,1315000000.0,1315000000.0,2023-12-31
