treasury_shares_number,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,investments_and_advances,other_investments,goodwill_and_other_intangible_assets,net_ppe,gross_ppe,other_properties,current_assets,other_current_assets,restricted_cash,prepaid_assets,inventory,receivables,taxes_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,accrued_interest_receivable
,726804831.0,726804831.0,479636000.0,809415000.0,1368368000.0,1401977000.0,809415000.0,66788000.0,955520000.0,1330644000.0,1427138000.0,471618000.0,955520000.0,-729000.0,-729000.0,-3739137000.0,4695386000.0,0.0,0.0,775822000.0,531567000.0,101518000.0,430049000.0,54925000.0,375124000.0,244255000.0,877000.0,7796000.0,7796000.0,49587000.0,11863000.0,37724000.0,37724000.0,41916000.0,16426000.0,127653000.0,74017000.0,53636000.0,5637000.0,5637000.0,47999000.0,2202960000.0,556728000.0,46223000.0,272469000.0,272469000.0,146105000.0,91931000.0,91931000.0,91931000.0,1646232000.0,15866000.0,3968000.0,69507000.0,,29454000.0,1487000.0,27967000.0,1527437000.0,1527437000.0,2022-12-31,
,760143393.0,760143393.0,481404000.0,1012885000.0,1574001000.0,1526139000.0,1012885000.0,65169000.0,1157766000.0,1533281000.0,1607587000.0,449821000.0,1157766000.0,-2617000.0,-2617000.0,-3772754000.0,4933137000.0,0.0,0.0,782017000.0,509569000.0,80578000.0,428991000.0,53476000.0,375515000.0,272448000.0,2090000.0,12444000.0,12444000.0,52413000.0,11693000.0,40720000.0,40720000.0,55186000.0,17569000.0,132746000.0,94374000.0,38372000.0,542000.0,542000.0,37830000.0,2389604000.0,591017000.0,49482000.0,304317000.0,304317000.0,144881000.0,92337000.0,92337000.0,92337000.0,1798587000.0,20440000.0,5011000.0,60827000.0,2761000.0,32735000.0,2356000.0,30379000.0,1676813000.0,1676813000.0,2023-03-31,
,767137861.0,767137861.0,492635000.0,765693000.0,1340205000.0,1316154000.0,765693000.0,63160000.0,910730000.0,1295799000.0,1334139000.0,423409000.0,910730000.0,-6610000.0,-6610000.0,-4064570000.0,4981910000.0,0.0,0.0,802507000.0,557503000.0,120622000.0,436881000.0,51812000.0,385069000.0,245004000.0,8073000.0,10569000.0,10569000.0,55754000.0,11348000.0,44406000.0,44406000.0,19923000.0,16800000.0,133885000.0,82606000.0,51279000.0,1244000.0,1244000.0,50035000.0,2136646000.0,575488000.0,46307000.0,296243000.0,296243000.0,145037000.0,87901000.0,87901000.0,87901000.0,1561158000.0,13004000.0,5264000.0,64658000.0,4225000.0,39914000.0,2850000.0,37064000.0,1434093000.0,1434093000.0,2023-06-30,
0.0,800792365.0,800792365.0,497976000.0,807913000.0,1386977000.0,1286081000.0,807913000.0,59533000.0,948534000.0,1337979000.0,1325633000.0,377099000.0,948534000.0,-3072000.0,-3072000.0,-4368897000.0,5320503000.0,0.0,0.0,739910000.0,474364000.0,36289000.0,438075000.0,48630000.0,389445000.0,265546000.0,1443000.0,5798000.0,5798000.0,59901000.0,10903000.0,48998000.0,48998000.0,30723000.0,18944000.0,148737000.0,103256000.0,45481000.0,1358000.0,1358000.0,44123000.0,2065543000.0,513916000.0,49796000.0,250393000.0,250393000.0,140621000.0,73106000.0,73106000.0,73106000.0,1551627000.0,17675000.0,5474000.0,60718000.0,4905000.0,54624000.0,2506000.0,52118000.0,1408231000.0,1408231000.0,2023-09-30,
,804890910.0,804890910.0,506579000.0,5939348000.0,6538806000.0,6561834000.0,5939348000.0,57536000.0,6089763000.0,6493100000.0,6584582000.0,494819000.0,6089763000.0,-27784000.0,-27784000.0,727287000.0,5390260000.0,0.0,0.0,728097000.0,483198000.0,32802000.0,450396000.0,47059000.0,403337000.0,244899000.0,1424000.0,4695000.0,4695000.0,56183000.0,10477000.0,45706000.0,45706000.0,41406000.0,16808000.0,124383000.0,63934000.0,60449000.0,25223000.0,25223000.0,35226000.0,7312679000.0,505946000.0,46849000.0,239927000.0,239927000.0,150415000.0,68755000.0,68755000.0,68755000.0,6806733000.0,9688000.0,5165000.0,52642000.0,5240000.0,63188000.0,3209000.0,41078000.0,6670810000.0,6670810000.0,2023-12-31,18901000.0
