ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,tradeand_other_payables_non_current,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,investments_and_advances,long_term_equity_investment,investments_in_other_ventures_under_equity_method,investmentsin_associatesat_cost,investmentsin_subsidiariesat_cost,goodwill_and_other_intangible_assets,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,inventory,receivables,accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
277378300.0,277378300.0,37176000000.0,40200000000.0,-12420000000.0,35317000000.0,3741000000.0,-12420000000.0,2116000000.0,-2767000000.0,34947000000.0,-73000000.0,2694000000.0,-2767000000.0,-490000000.0,-490000000.0,-2280000000.0,3000000.0,3000000.0,52511000000.0,42609000000.0,1528000000.0,1615000000.0,39466000000.0,1752000000.0,37714000000.0,9902000000.0,734000000.0,364000000.0,370000000.0,370000000.0,612000000.0,8556000000.0,3946000000.0,402000000.0,4610000000.0,371000000.0,4239000000.0,52438000000.0,38795000000.0,298000000.0,1204000000.0,1204000000.0,,823000000.0,381000000.0,9653000000.0,27640000000.0,-29182000000.0,56822000000.0,1756000000.0,32046000000.0,20221000000.0,2799000000.0,0.0,13643000000.0,1776000000.0,2068000000.0,8891000000.0,8891000000.0,908000000.0,908000000.0,2022-12-31
275939900.0,275939900.0,38014000000.0,40572000000.0,-12085000000.0,36361000000.0,2513000000.0,-12085000000.0,1716000000.0,-2495000000.0,33983000000.0,232000000.0,2727000000.0,-2495000000.0,-470000000.0,-470000000.0,-2028000000.0,3000000.0,3000000.0,52479000000.0,41451000000.0,3257000000.0,,38194000000.0,1716000000.0,36478000000.0,11028000000.0,2378000000.0,,2378000000.0,,,8650000000.0,4881000000.0,,3769000000.0,,3769000000.0,52711000000.0,39170000000.0,319000000.0,1176000000.0,1176000000.0,786000000.0,,390000000.0,9590000000.0,28085000000.0,-29410000000.0,57495000000.0,,57495000000.0,,,,13541000000.0,1957000000.0,2085000000.0,8657000000.0,8657000000.0,842000000.0,842000000.0,2023-03-31
272931700.0,272931700.0,38070000000.0,40738000000.0,-11944000000.0,36629000000.0,2343000000.0,-11944000000.0,1806000000.0,-2303000000.0,34234000000.0,461000000.0,2764000000.0,-2303000000.0,-456000000.0,-456000000.0,-1850000000.0,3000000.0,3000000.0,53133000000.0,41588000000.0,1554000000.0,1691000000.0,38343000000.0,1806000000.0,36537000000.0,11545000000.0,2395000000.0,,2395000000.0,,,9150000000.0,5327000000.0,,3823000000.0,,3823000000.0,53594000000.0,39706000000.0,196000000.0,1115000000.0,1115000000.0,731000000.0,,384000000.0,9641000000.0,28754000000.0,-30023000000.0,58777000000.0,,58777000000.0,,,,13888000000.0,2263000000.0,2050000000.0,8713000000.0,8713000000.0,862000000.0,862000000.0,2023-06-30
268967300.0,268967300.0,38455000000.0,41122000000.0,-12255000000.0,36869000000.0,1887000000.0,-12255000000.0,1776000000.0,-2477000000.0,34316000000.0,357000000.0,2834000000.0,-2477000000.0,-491000000.0,-491000000.0,-1989000000.0,3000000.0,3000000.0,54232000000.0,41825000000.0,1590000000.0,1666000000.0,38569000000.0,1776000000.0,36793000000.0,12407000000.0,2553000000.0,,2553000000.0,,,9854000000.0,5715000000.0,,4139000000.0,,4139000000.0,54589000000.0,40295000000.0,200000000.0,1121000000.0,1121000000.0,739000000.0,,382000000.0,9778000000.0,29196000000.0,-30655000000.0,59851000000.0,,59851000000.0,,,,14294000000.0,2191000000.0,2030000000.0,9182000000.0,9182000000.0,891000000.0,891000000.0,2023-09-30
265537300.0,265537300.0,38658000000.0,41859000000.0,-11719000000.0,37819000000.0,2272000000.0,-11719000000.0,2266000000.0,-1774000000.0,35395000000.0,1060000000.0,2834000000.0,-1774000000.0,-425000000.0,-425000000.0,-1352000000.0,3000000.0,3000000.0,55151000000.0,42496000000.0,1557000000.0,1867000000.0,39072000000.0,1903000000.0,37169000000.0,12655000000.0,2787000000.0,363000000.0,2424000000.0,2424000000.0,867000000.0,9001000000.0,4386000000.0,414000000.0,4615000000.0,382000000.0,4233000000.0,56211000000.0,41284000000.0,184000000.0,1233000000.0,1233000000.0,,756000000.0,477000000.0,9945000000.0,29922000000.0,-30833000000.0,60755000000.0,1870000000.0,34205000000.0,21560000000.0,3120000000.0,0.0,14927000000.0,2013000000.0,2021000000.0,9958000000.0,9958000000.0,935000000.0,935000000.0,2023-12-31
