tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,gain_on_sale_of_ppe,other_special_charges,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,general_and_administrative_expense,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,gain_on_sale_of_business
263433070.866142,0.198667,3179000000.0,1326000000.0,1326000000.0,2081000000.0,750000000.0,2429000000.0,4505000000.0,3755000000.0,-453000000.0,453000000.0,1018433070.866142,2081000000.0,13084000000.0,285663000.0,277378300.0,7.28,7.502389,2081000000.0,2081000000.0,2081000000.0,-565000000.0,2646000000.0,2646000000.0,656000000.0,3302000000.0,1342000000.0,1326000000.0,1326000000.0,0.0,16000000.0,-453000000.0,453000000.0,2413000000.0,10655000000.0,2850000000.0,750000000.0,750000000.0,7055000000.0,7055000000.0,7055000000.0,13068000000.0,2429000000.0,15497000000.0,14654000000.0,2022-12-31,
-3270000.0,0.218,3172000000.0,-15000000.0,-15000000.0,1363000000.0,756000000.0,2423000000.0,3157000000.0,2401000000.0,-479000000.0,479000000.0,1374730000.0,1363000000.0,13157000000.0,280961000.0,275939900.0,4.85,4.939481,1363000000.0,1363000000.0,1363000000.0,-180000000.0,1543000000.0,1543000000.0,379000000.0,1922000000.0,-33000000.0,-15000000.0,-15000000.0,,-18000000.0,-479000000.0,479000000.0,2434000000.0,10734000000.0,2894000000.0,756000000.0,756000000.0,7084000000.0,7084000000.0,7084000000.0,13168000000.0,2423000000.0,15591000000.0,14943000000.0,2023-03-31,
249000.0,0.249,3056000000.0,1000000.0,1000000.0,1193000000.0,763000000.0,2478000000.0,3057000000.0,2294000000.0,-485000000.0,485000000.0,1192249000.0,1193000000.0,13561000000.0,278198000.0,272931700.0,4.29,4.371057,1193000000.0,1193000000.0,1193000000.0,-219000000.0,1412000000.0,1412000000.0,397000000.0,1809000000.0,-6000000.0,1000000.0,1000000.0,,-7000000.0,-485000000.0,485000000.0,2300000000.0,11083000000.0,3043000000.0,763000000.0,763000000.0,7277000000.0,7277000000.0,7277000000.0,13383000000.0,2478000000.0,15861000000.0,14951000000.0,2023-06-30,
496000.0,0.248,2880000000.0,2000000.0,2000000.0,1079000000.0,769000000.0,2417000000.0,2882000000.0,2113000000.0,-483000000.0,483000000.0,1077496000.0,1079000000.0,14121000000.0,275424000.0,268967300.0,3.91,4.01164,1079000000.0,1079000000.0,1079000000.0,-196000000.0,1275000000.0,1275000000.0,355000000.0,1630000000.0,21000000.0,2000000.0,2000000.0,,19000000.0,-483000000.0,483000000.0,2092000000.0,11704000000.0,3379000000.0,769000000.0,769000000.0,7556000000.0,7556000000.0,7556000000.0,13796000000.0,2417000000.0,16213000000.0,15197000000.0,2023-09-30,
1444776.119403,0.206397,3618000000.0,7000000.0,7000000.0,1607000000.0,789000000.0,2584000000.0,3625000000.0,2836000000.0,-491000000.0,491000000.0,1601444776.119403,1607000000.0,14502000000.0,,,,,1607000000.0,1607000000.0,1607000000.0,-254000000.0,1861000000.0,1861000000.0,484000000.0,2345000000.0,35000000.0,7000000.0,,,28000000.0,-491000000.0,491000000.0,2801000000.0,11918000000.0,3559000000.0,789000000.0,789000000.0,7570000000.0,7570000000.0,7570000000.0,14719000000.0,2584000000.0,17303000000.0,16803000000.0,2023-12-31,7000000.0
