tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,special_income_charges,gain_on_sale_of_business,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.2621,405000000.0,,,179000000.0,184000000.0,,405000000.0,221000000.0,-911000000.0,59000000.0,-854000000.0,179000000.0,218000000.0,1153000000.0,631000000.0,462232807.0,461353433.0,0.61206,0.61206,215000000.0,215000000.0,218000000.0,218000000.0,39000000.0,179000000.0,120000000.0,103000000.0,162000000.0,,,,,-911000000.0,,59000000.0,-854000000.0,612000000.0,-1255000000.0,-3061000000.0,184000000.0,184000000.0,154000000.0,154000000.0,30000000.0,,,,,,,1765000000.0,1765000000.0,2022-12-31
0.0,0.4,591000000.0,,,737000000.0,173000000.0,,591000000.0,418000000.0,-145000000.0,55000000.0,,737000000.0,756000000.0,1230000000.0,508000000.0,457072549.0,456211019.0,1.649451,1.659825,756000000.0,756000000.0,756000000.0,756000000.0,19000000.0,737000000.0,570000000.0,196000000.0,363000000.0,,,,,-145000000.0,90000000.0,55000000.0,,508000000.0,1230000000.0,1057000000.0,173000000.0,173000000.0,143000000.0,143000000.0,30000000.0,,,,,,,1738000000.0,1738000000.0,2023-03-31
77555878.08418,0.317852,685000000.0,244000000.0,244000000.0,889000000.0,179000000.0,565000000.0,929000000.0,750000000.0,-34000000.0,61000000.0,27000000.0,722555878.08418,894000000.0,1168000000.0,825000000.0,470382600.0,469756868.0,1.9,1.9,894000000.0,894000000.0,894000000.0,894000000.0,5000000.0,889000000.0,419000000.0,219000000.0,689000000.0,244000000.0,347000000.0,347000000.0,-103000000.0,-34000000.0,102000000.0,61000000.0,27000000.0,479000000.0,603000000.0,64000000.0,179000000.0,179000000.0,150000000.0,150000000.0,29000000.0,360000000.0,360000000.0,314000000.0,46000000.0,1082000000.0,565000000.0,1647000000.0,1647000000.0,2023-06-30
48800000.0,0.4,650000000.0,122000000.0,122000000.0,370000000.0,184000000.0,541000000.0,772000000.0,588000000.0,-31000000.0,62000000.0,30000000.0,296800000.0,367000000.0,1159000000.0,441000000.0,456062363.0,455458515.0,0.8,0.8,367000000.0,367000000.0,367000000.0,367000000.0,-3000000.0,370000000.0,-174000000.0,-18000000.0,526000000.0,122000000.0,,,122000000.0,-31000000.0,-1000000.0,62000000.0,30000000.0,435000000.0,618000000.0,72000000.0,184000000.0,184000000.0,156000000.0,156000000.0,28000000.0,362000000.0,362000000.0,313000000.0,49000000.0,1053000000.0,541000000.0,1594000000.0,1594000000.0,2023-09-30
12780487.804878,0.04878,393000000.0,262000000.0,262000000.0,650000000.0,189000000.0,603000000.0,655000000.0,466000000.0,-29000000.0,56000000.0,25000000.0,400780487.804878,678000000.0,1638000000.0,558000000.0,455173945.0,454510754.0,1.49,1.49,673000000.0,673000000.0,678000000.0,678000000.0,28000000.0,650000000.0,260000000.0,20000000.0,410000000.0,262000000.0,,,-122000000.0,-29000000.0,-2000000.0,56000000.0,25000000.0,177000000.0,1035000000.0,787000000.0,189000000.0,189000000.0,160000000.0,160000000.0,29000000.0,59000000.0,59000000.0,10000000.0,49000000.0,1212000000.0,603000000.0,1815000000.0,1815000000.0,2023-12-31
