tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,other_special_charges,net_non_operating_interest_income_expense,interest_expense_non_operating,other_operating_expenses,total_revenue,operating_revenue,date
39839200.0,0.2621,152000000.0,152000000.0,1046000000.0,1191000000.0,-127000000.0,127000000.0,1406000000.0,933839200.0,1046000000.0,10897000000.0,,,,,953000000.0,2000000.0,951000000.0,75000000.0,20000000.0,1046000000.0,-29000000.0,1075000000.0,1075000000.0,-11000000.0,1064000000.0,152000000.0,0.0,-127000000.0,127000000.0,-6376000000.0,12300000000.0,12300000000.0,2022-12-31
0.0,0.162,,,859000000.0,1230000000.0,-135000000.0,135000000.0,,859000000.0,859000000.0,7362000000.0,590000000.0,587000000.0,1.37,1.37,809000000.0,3000000.0,806000000.0,33000000.0,20000000.0,859000000.0,-59000000.0,918000000.0,918000000.0,177000000.0,1095000000.0,,,-135000000.0,135000000.0,1780000000.0,8394000000.0,8394000000.0,2023-03-31
0.0,0.146,,,731000000.0,1009000000.0,-142000000.0,142000000.0,-1070000000.0,731000000.0,731000000.0,4709000000.0,590000000.0,587000000.0,1.12,1.12,662000000.0,2000000.0,660000000.0,51000000.0,20000000.0,731000000.0,-9000000.0,740000000.0,740000000.0,127000000.0,867000000.0,,,-142000000.0,142000000.0,1955000000.0,5576000000.0,5576000000.0,2023-06-30
0.0,0.207,,,927000000.0,1341000000.0,-160000000.0,160000000.0,-1134000000.0,927000000.0,927000000.0,-1029000000.0,589000000.0,586000000.0,1.48,1.49,874000000.0,3000000.0,871000000.0,37000000.0,19000000.0,927000000.0,-10000000.0,937000000.0,937000000.0,244000000.0,1181000000.0,,,-160000000.0,160000000.0,2006000000.0,152000000.0,152000000.0,2023-09-30
0.0,0.4,,,826000000.0,902000000.0,-115000000.0,115000000.0,-1099000000.0,826000000.0,826000000.0,17834000000.0,,,,,751000000.0,2000000.0,749000000.0,57000000.0,20000000.0,826000000.0,-48000000.0,874000000.0,874000000.0,-87000000.0,787000000.0,,,-115000000.0,115000000.0,2081000000.0,18621000000.0,18621000000.0,2023-12-31
