treasury_shares_number,preferred_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,derivative_product_liabilities,employee_benefits,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_deferred_liabilities,current_deferred_taxes_liabilities,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,line_of_credit,payables_and_accrued_expenses,current_accrued_expenses,payables,accounts_payable,total_assets,defined_pension_benefit,investments_and_advances,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,prepaid_assets,receivables,loans_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
,51200000.0,586396908.0,586396908.0,3062000000.0,13392000000.0,11782000000.0,37651000000.0,14021000000.0,952000000.0,25211000000.0,2239000000.0,37545000000.0,29377000000.0,1927000000.0,27450000000.0,651000000.0,16159000000.0,90000000.0,10550000000.0,8311000000.0,2239000000.0,301529000000.0,2351000000.0,268000000.0,630000000.0,630000000.0,11047000000.0,952000000.0,10095000000.0,630000000.0,630000000.0,2345000000.0,2345000000.0,6000000.0,2339000000.0,6852000000.0,4213000000.0,2639000000.0,2639000000.0,330906000000.0,98000000.0,96106000000.0,13429000000.0,4724000000.0,8705000000.0,1360000000.0,1089000000.0,3675000000.0,40901000000.0,3675000000.0,11219000000.0,1841000000.0,9378000000.0,2022-12-31
,,586700000.0,586700000.0,,6877000000.0,9085000000.0,29851000000.0,9085000000.0,,22974000000.0,,29851000000.0,23410000000.0,436000000.0,22974000000.0,,12310000000.0,,10664000000.0,10664000000.0,,309415000000.0,1915000000.0,,512000000.0,512000000.0,6877000000.0,,6877000000.0,512000000.0,512000000.0,,,,,,,,,332825000000.0,,95338000000.0,13889000000.0,5081000000.0,8808000000.0,,,,38435000000.0,,25248000000.0,16217000000.0,9031000000.0,2023-03-31
,,586902472.0,586902472.0,1282000000.0,9806000000.0,9011000000.0,32506000000.0,9011000000.0,,22700000000.0,,32506000000.0,23192000000.0,492000000.0,22700000000.0,,12029000000.0,,10671000000.0,10671000000.0,,296749000000.0,1628000000.0,,524000000.0,524000000.0,9806000000.0,,9806000000.0,,,,,,,,,,,319941000000.0,,91093000000.0,13689000000.0,4886000000.0,8803000000.0,,,,37959000000.0,,24111000000.0,15587000000.0,8524000000.0,2023-06-30
0.0,,584300000.0,584300000.0,505000000.0,9441000000.0,9125000000.0,32664000000.0,9125000000.0,,23223000000.0,,32664000000.0,23767000000.0,544000000.0,23223000000.0,,12581000000.0,,10642000000.0,10642000000.0,,290079000000.0,2541000000.0,,305000000.0,305000000.0,9441000000.0,,9441000000.0,,,,,,,,,,,313846000000.0,,88252000000.0,14098000000.0,5161000000.0,8937000000.0,,,,37946000000.0,,24916000000.0,15980000000.0,8936000000.0,2023-09-30
0.0,51200000.0,584617001.0,584617001.0,1118000000.0,13277000000.0,7200000000.0,33631000000.0,9439000000.0,989000000.0,21343000000.0,2239000000.0,33540000000.0,24200000000.0,618000000.0,23582000000.0,765000000.0,12157000000.0,94000000.0,10566000000.0,8327000000.0,2239000000.0,309041000000.0,1311000000.0,355000000.0,281000000.0,281000000.0,10947000000.0,989000000.0,9958000000.0,,,2330000000.0,2330000000.0,0.0,2330000000.0,6926000000.0,4433000000.0,2493000000.0,2493000000.0,333241000000.0,50000000.0,94995000000.0,14143000000.0,5174000000.0,8969000000.0,1451000000.0,1136000000.0,2414000000.0,40455000000.0,2414000000.0,27486000000.0,16316000000.0,11170000000.0,2023-12-31
