date,strategy_1,spy
2023-05-01,100.0,106.70088949999976
2023-05-02,100.0,105.69880999999978
2023-05-03,100.0,105.23532999999975
2023-05-04,100.0,104.08685699999978
2023-05-05,100.0,105.41990099999978
2023-05-08,100.0,105.82785799999978
2023-05-09,100.0,105.48252129999977
2023-05-10,100.0,105.82007999999976
2023-05-11,100.0,105.58732199999977
2023-05-12,100.0,105.6658929999998
2023-05-15,100.0,105.74126099999977
2023-05-16,100.0,105.50285099999978
2023-05-17,100.0,106.07178949999977
2023-05-18,100.0,106.99428299999978
2023-05-19,100.0,107.53347299999977
2023-05-22,100.0,107.42506899999978
2023-05-23,100.0,106.68102479999976
2023-05-24,100.0,105.5697677499998
2023-05-25,100.0,106.32211944999979
2023-05-26,100.0,107.17972099999979
2023-05-30,100.0,107.96032349999977
2023-05-31,100.0,107.19460399999979
2023-06-01,100.99767488613129,107.70820899999978
2023-06-02,102.52894472789765,109.34218999999976
2023-06-05,102.13278914842606,109.74773399999975
2023-06-06,103.12215194568635,109.61003047999976
2023-06-07,102.98916350336076,109.70282699999977
2023-06-08,103.58932041549684,109.73120599999979
2023-06-09,104.22310348644258,110.34357599999979
2023-06-12,107.33113965482713,110.85896999999974
2023-06-13,108.67410836467744,111.83161599999977
2023-06-14,109.43160684661866,112.01629307999976
2023-06-15,111.59547353134155,112.79705099999977
2023-06-16,111.30302410688401,113.18414851999978
2023-06-20,110.32294760169984,112.0936429999998
2023-06-21,109.9054697716713,111.73446999999979
2023-06-22,109.70541558132173,111.6224609999998
2023-06-23,109.7967177512169,111.17355599999979
2023-06-26,108.7175062717438,110.92907599999978
2023-06-27,110.34786149263385,111.3988929999998
2023-06-28,110.69612298126223,111.7897319999998
2023-06-29,111.5356324737549,112.0846379999998
2023-06-30,113.18013218021395,113.50933199999979
2023-07-03,113.64124310245516,113.72127899999981
2023-07-05,113.69150583858492,113.55483559999979
2023-07-06,112.32018285293582,112.6198989999998
2023-07-07,112.70810153226856,112.73896699999979
2023-07-10,113.70831870088581,112.5575454999998
2023-07-11,115.38690486249928,113.20107599999979
2023-07-12,115.78542617654804,114.44995665999978
2023-07-13,116.85365793342595,115.12165999999978
2023-07-14,115.97637263545995,115.39849649999978
2023-07-17,116.74470243921286,115.48620199999979
2023-07-18,118.01137419242866,116.0372517999998
2023-07-19,117.74913433837898,116.75361954999977
2023-07-20,116.11339559402472,116.24936599999977
2023-07-21,116.03141422882086,116.22366899999976
2023-07-24,116.02450385971075,116.37894499999976
2023-07-25,116.1229344384194,116.70265099999975
2023-07-26,114.8571407010079,116.72706499999975
2023-07-27,114.05377358875282,116.86334299999976
2023-07-28,115.7820093259812,116.90090609999977
2023-07-31,117.2423497685433,117.30832549999974
2023-08-01,116.72779045677191,117.05756099999975
2023-08-02,114.92336159029013,115.82382154999975
2023-08-03,114.63114457960135,115.10534399999975
2023-08-04,114.20109332599647,115.21005199999972
2023-08-07,114.9753546680451,115.31303699999972
2023-08-08,114.20630234289175,114.96071892999973
2023-08-09,113.54584752397543,114.71467465999972
2023-08-10,113.49702389774328,114.81265499999971
2023-08-11,112.94131782445913,114.12028987999972
2023-08-14,113.42626214685447,114.48102199999971
2023-08-15,112.04673664731986,114.02001299999971
2023-08-16,110.8298536437989,113.23207599999971
2023-08-17,109.66549449768073,112.51559099999974
2023-08-18,109.95516700162894,111.60670099999973
2023-08-21,110.43924014339454,112.36754999999972
2023-08-22,109.92994576120384,112.73764299999972
2023-08-23,111.08157829284676,113.18290299999973
2023-08-24,109.74083535947807,113.09258849999972
2023-08-25,110.62161995811469,112.53539799999973
2023-08-28,112.00639712572104,113.39703059999972
2023-08-29,113.73704871864324,114.37762799999973
2023-08-30,114.3282684898377,115.48569899999971
2023-08-31,115.64467816295628,115.74354899999973
2023-09-01,116.59600428733829,115.91742499999974
2023-09-05,115.87047150478367,115.43716899999973
2023-09-06,115.17569111862186,114.58637799999974
2023-09-07,114.76958220748904,113.90237999999974
2023-09-08,114.40697543296817,114.27413799999971
2023-09-11,114.23632844810489,114.90708054999973
2023-09-12,113.97952946395877,114.58157799999974
2023-09-13,113.43458894939425,114.49594284999972
2023-09-14,113.87527316913607,115.30964349999975
2023-09-15,112.44764020080568,114.19996799999976
2023-09-18,112.12055487327576,113.77129299999974
2023-09-19,111.63113316822053,113.41302799999976
2023-09-20,111.68027164669037,113.21285799999976
2023-09-21,109.33009066734314,111.21271899999977
2023-09-22,109.17033463344573,110.74302899999975
2023-09-25,109.12141816101074,110.45020899999973
2023-09-26,107.67939914283753,109.64404999999975
2023-09-27,108.3492352930069,109.21395199999975
2023-09-28,108.86933729858399,109.59873165999976
2023-09-29,109.19589832401276,110.09861099999978
2023-10-02,107.67963368873596,109.46342399999976
2023-10-03,105.93092528800965,108.64260585999978
2023-10-04,105.9855412279129,108.54845965999976
2023-10-05,105.64918468456268,108.72100444999978
2023-10-06,107.21379013385774,109.21848699999978
2023-10-09,108.92133090667726,110.28020344999977
