tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,salaries_and_wages,total_revenue,operating_revenue,date
-22677165.354331,0.188976,-120000000.0,-120000000.0,2236000000.0,1207000000.0,2319000000.0,6913000000.0,9232000000.0,2333322834.645669,2236000000.0,1679000000.0,1652000000.0,1.26,1.28,2113000000.0,2113000000.0,123000000.0,2236000000.0,-30000000.0,2266000000.0,2266000000.0,528000000.0,2794000000.0,-120000000.0,120000000.0,85000000.0,5869000000.0,295000000.0,5574000000.0,5574000000.0,11898000000.0,11898000000.0,2022-12-31
-14861000.0,0.193,-77000000.0,-77000000.0,2980000000.0,940000000.0,2346000000.0,8524000000.0,10870000000.0,3042139000.0,2980000000.0,1663000000.0,1645000000.0,1.7,1.72,2836000000.0,2836000000.0,144000000.0,2980000000.0,-53000000.0,3033000000.0,3033000000.0,727000000.0,3760000000.0,-77000000.0,77000000.0,145000000.0,6657000000.0,247000000.0,6410000000.0,6410000000.0,13636000000.0,13636000000.0,2023-03-31
-85470000.0,0.21,-407000000.0,-407000000.0,2182000000.0,922000000.0,2010000000.0,10038000000.0,12048000000.0,2503530000.0,2182000000.0,1651000000.0,1635000000.0,1.24,1.25,2049000000.0,2049000000.0,133000000.0,2182000000.0,-39000000.0,2221000000.0,2221000000.0,591000000.0,2812000000.0,-407000000.0,407000000.0,95000000.0,6190000000.0,236000000.0,5954000000.0,5954000000.0,12582000000.0,12582000000.0,2023-06-30
0.0,0.226,,,2408000000.0,988000000.0,1977000000.0,11328000000.0,13305000000.0,2408000000.0,2408000000.0,1643000000.0,1624000000.0,1.38,1.39,2262000000.0,2262000000.0,146000000.0,2408000000.0,-27000000.0,2435000000.0,2435000000.0,710000000.0,3145000000.0,,,144000000.0,6126000000.0,191000000.0,5935000000.0,5935000000.0,12418000000.0,12418000000.0,2023-09-30
0.0,0.26479,,,1517000000.0,1406000000.0,1897000000.0,12161000000.0,14058000000.0,1517000000.0,1517000000.0,1627000000.0,1606000000.0,0.85,0.86,1383000000.0,1383000000.0,134000000.0,1517000000.0,-24000000.0,1541000000.0,1541000000.0,555000000.0,2096000000.0,,,189000000.0,5822000000.0,224000000.0,5598000000.0,5598000000.0,12031000000.0,12031000000.0,2023-12-31
