treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,derivative_product_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,long_term_provisions,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,current_provisions,payables_and_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,defined_pension_benefit,non_current_prepaid_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,non_current_accounts_receivable,financial_assets,investments_and_advances,other_investments,investmentin_financial_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,land_and_improvements,properties,current_assets,other_current_assets,restricted_cash,inventory,work_in_process,receivables,other_receivables,taxes_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date,available_for_sale_securities,hedging_assets_current
,238346864.0,238346864.0,1848981000.0,3876371000.0,-1534483000.0,11059397000.0,350719000.0,-1534483000.0,702555000.0,7885581000.0,10304350000.0,7885581000.0,7885581000.0,303416000.0,303416000.0,5805630000.0,307340000.0,1469195000.0,1469195000.0,8030362000.0,3518379000.0,226683000.0,8819000.0,165388000.0,165388000.0,136807000.0,,136807000.0,2962788000.0,544019000.0,2418769000.0,17894000.0,4511983000.0,662938000.0,547069000.0,547069000.0,913583000.0,158536000.0,755047000.0,755047000.0,1074925000.0,30964000.0,1282504000.0,1282504000.0,234831000.0,234831000.0,1047673000.0,15915943000.0,11053241000.0,140762000.0,,,380324000.0,109635000.0,,,201253000.0,,201253000.0,9420064000.0,634630000.0,8785434000.0,910838000.0,,910838000.0,,910838000.0,,,,4862702000.0,182793000.0,651916000.0,1067482000.0,1067482000.0,1564270000.0,,4411000.0,1559859000.0,,,1396241000.0,71406000.0,1324835000.0,2022-12-31,,
,235424328.0,235424328.0,1889481000.0,3852717000.0,-1451058000.0,11195523000.0,367885000.0,-1451058000.0,682436000.0,8025242000.0,10438828000.0,8025242000.0,8025242000.0,374105000.0,374105000.0,5863374000.0,323639000.0,1464124000.0,1464124000.0,8076469000.0,3484789000.0,241654000.0,7056000.0,171936000.0,171936000.0,106177000.0,,106177000.0,2939058000.0,525472000.0,2413586000.0,18908000.0,4591680000.0,714830000.0,647922000.0,647922000.0,913659000.0,156964000.0,756695000.0,756695000.0,1074754000.0,31809000.0,1208706000.0,1208706000.0,278004000.0,278004000.0,930702000.0,16101711000.0,11142146000.0,154407000.0,,,410876000.0,125407000.0,,,194145000.0,,194145000.0,9476300000.0,626130000.0,8850170000.0,906418000.0,,906418000.0,,906418000.0,,,,4959565000.0,187722000.0,705753000.0,1244227000.0,1244227000.0,1484606000.0,,3329000.0,1481277000.0,,,1337257000.0,56457000.0,1280800000.0,2023-03-31,,
,235343310.0,235343310.0,1643583000.0,3765876000.0,-1079133000.0,11343664000.0,688681000.0,-1079133000.0,653461000.0,8231249000.0,10604793000.0,8231249000.0,8231249000.0,183964000.0,183964000.0,6228460000.0,336708000.0,1482117000.0,1482117000.0,7848897000.0,3404346000.0,247360000.0,7220000.0,171720000.0,171720000.0,81251000.0,,81251000.0,2877998000.0,504454000.0,2373544000.0,18797000.0,4444551000.0,681797000.0,531444000.0,531444000.0,887878000.0,149007000.0,738871000.0,738871000.0,1101234000.0,25520000.0,1216678000.0,1216678000.0,310372000.0,310372000.0,906306000.0,16080146000.0,10946914000.0,129379000.0,,,429612000.0,133789000.0,,,192818000.0,,192818000.0,9310382000.0,604869000.0,8705513000.0,884723000.0,,884723000.0,,884723000.0,,,,5133232000.0,195835000.0,669215000.0,1238748000.0,1238748000.0,1513539000.0,,4482000.0,1509057000.0,,,1515895000.0,47063000.0,1468832000.0,2023-06-30,,
0.0,233160203.0,233160203.0,1532030000.0,3742284000.0,-1037259000.0,11410615000.0,287928000.0,-1037259000.0,641963000.0,8310294000.0,10251644000.0,8310294000.0,8310294000.0,158975000.0,158975000.0,6329107000.0,345032000.0,1477180000.0,1477180000.0,7489205000.0,2843406000.0,33477000.0,1700000.0,163379000.0,163379000.0,241196000.0,112370000.0,31081000.0,2384456000.0,443106000.0,1941350000.0,19198000.0,4645799000.0,498151000.0,488761000.0,488761000.0,1357828000.0,198857000.0,1158971000.0,1158971000.0,1100566000.0,24965000.0,1175528000.0,1175528000.0,250869000.0,250869000.0,924659000.0,15799499000.0,10865772000.0,17643000.0,20294000.0,44308000.0,504485000.0,105432000.0,20774000.0,22005000.0,17113000.0,17113000.0,,9347553000.0,623103000.0,8724450000.0,871597000.0,-1497584000.0,2369181000.0,1279714000.0,,1008086000.0,81381000.0,0.0,4933727000.0,198377000.0,488727000.0,1143685000.0,1143685000.0,1431184000.0,114569000.0,163735000.0,1152880000.0,-2919000.0,1155799000.0,1671754000.0,103463000.0,1568291000.0,2023-09-30,,
,232679796.0,232679796.0,1244428000.0,3001052000.0,-846227000.0,10981109000.0,442055000.0,-846227000.0,623963000.0,8604020000.0,10512963000.0,8604020000.0,8604020000.0,207262000.0,207262000.0,6610176000.0,339513000.0,1447069000.0,1447069000.0,6909433000.0,2815375000.0,270557000.0,6104000.0,180211000.0,180211000.0,26191000.0,,26191000.0,2313318000.0,404375000.0,1908943000.0,18994000.0,4094058000.0,621924000.0,477424000.0,477424000.0,687734000.0,219588000.0,468146000.0,468146000.0,1098976000.0,37676000.0,1170324000.0,1170324000.0,259910000.0,259910000.0,910414000.0,15513453000.0,10977340000.0,104126000.0,,,434091000.0,119913000.0,,,147460000.0,,147460000.0,9450247000.0,610880000.0,8839367000.0,841416000.0,,841416000.0,,841416000.0,,,,4536113000.0,170640000.0,611156000.0,1023834000.0,1023834000.0,1553940000.0,,9396000.0,1544544000.0,,,1141048000.0,8387000.0,1132661000.0,2023-12-31,147460000.0,35495000.0
