tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,net_non_operating_interest_income_expense,total_other_finance_cost,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.265753,149166000.0,71186000.0,47469000.0,180980000.0,149166000.0,101697000.0,8863000.0,,71186000.0,71186000.0,480736000.0,87824000.0,66285000.0,63961000.0,1.07,1.11,71186000.0,71186000.0,71186000.0,71186000.0,71186000.0,25765000.0,96951000.0,8863000.0,5802000.0,,87824000.0,299756000.0,81965000.0,217791000.0,148197000.0,69594000.0,69594000.0,387580000.0,180980000.0,568560000.0,568560000.0,2022-12-31
0.0,0.247349,135353000.0,76942000.0,41846000.0,186596000.0,135353000.0,93507000.0,-8721000.0,,76942000.0,76942000.0,478353000.0,93507000.0,66662000.0,63941000.0,1.15,1.2,76942000.0,76942000.0,76942000.0,76942000.0,76942000.0,25286000.0,102228000.0,-8721000.0,8721000.0,,93507000.0,291757000.0,78102000.0,213655000.0,148479000.0,65176000.0,65176000.0,385264000.0,186596000.0,571860000.0,571860000.0,2023-03-31
0.0,0.238929,147462000.0,87355000.0,42033000.0,189713000.0,147462000.0,105429000.0,9350000.0,,87355000.0,87355000.0,475684000.0,105429000.0,66435000.0,63723000.0,1.31,1.37,87355000.0,87355000.0,87355000.0,87355000.0,87355000.0,27424000.0,114779000.0,9350000.0,-9350000.0,,105429000.0,285971000.0,78640000.0,207331000.0,151964000.0,55367000.0,55367000.0,391400000.0,189713000.0,581113000.0,581113000.0,2023-06-30
0.0,0.23462,155895000.0,92353000.0,42269000.0,190986000.0,155895000.0,113626000.0,7037000.0,7037000.0,92353000.0,92353000.0,487718000.0,113626000.0,66223000.0,63422000.0,1.39,1.46,92353000.0,92353000.0,92353000.0,92353000.0,92353000.0,28310000.0,120663000.0,7037000.0,,7037000.0,113626000.0,296732000.0,84848000.0,211884000.0,144171000.0,67713000.0,67713000.0,410358000.0,190986000.0,601344000.0,601344000.0,2023-09-30
0.0,0.319737,190051000.0,81652000.0,41212000.0,200878000.0,190051000.0,148839000.0,837000.0,8965000.0,81652000.0,81652000.0,500527000.0,122665000.0,,,,,81652000.0,81652000.0,81652000.0,81652000.0,81652000.0,38378000.0,120030000.0,837000.0,,8965000.0,122665000.0,299649000.0,81119000.0,218530000.0,154500000.0,64030000.0,64030000.0,422314000.0,200878000.0,623192000.0,623192000.0,2023-12-31
