free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,issuance_of_capital_stock,capital_expenditure,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,net_common_stock_issuance,common_stock_payments,common_stock_issuance,net_issuance_payments_of_debt,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_business_purchase_and_sale,purchase_of_business,net_ppe_purchase_and_sale,sale_of_ppe,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_other_current_liabilities,change_in_payables_and_accrued_expense,change_in_prepaid_assets,change_in_inventory,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,amortization_cash_flow,amortization_of_intangibles,depreciation,net_income_from_continuing_operations,date
202965000.0,-201633000.0,,,1287000.0,-34399000.0,918942000.0,911753000.0,3957000.0,3232000.0,-201056000.0,-201056000.0,-710000.0,-200346000.0,-201633000.0,1287000.0,,,,,-33076000.0,-33076000.0,1749000.0,0.0,0.0,-34730000.0,,-34399000.0,237364000.0,237364000.0,98609000.0,-20799000.0,-3120000.0,-150333000.0,12476000.0,-17166000.0,277551000.0,277551000.0,36655000.0,19708000.0,14136000.0,14136000.0,84187000.0,84187000.0,32937000.0,32937000.0,51250000.0,-15931000.0,2022-12-31
31343000.0,-150019000.0,0.0,0.0,11679000.0,-34100000.0,808943000.0,918942000.0,-51000.0,-109948000.0,-139340000.0,-139340000.0,-1000000.0,-138340000.0,-150019000.0,11679000.0,0.0,0.0,0.0,0.0,-36051000.0,-36051000.0,-1951000.0,0.0,0.0,-34100000.0,,-34100000.0,65443000.0,65443000.0,-4814000.0,-15959000.0,-21719000.0,-47787000.0,261000.0,17432000.0,62958000.0,62958000.0,-70160000.0,18669000.0,-63588000.0,-63588000.0,84240000.0,84240000.0,32949000.0,32949000.0,51291000.0,-138416000.0,2023-03-31
5420000.0,-100015000.0,,,10006000.0,-39469000.0,744428000.0,808943000.0,-276000.0,-64239000.0,-105185000.0,-105185000.0,-15176000.0,-90009000.0,-100015000.0,10006000.0,,,,,-3943000.0,-3943000.0,-6181000.0,,,2238000.0,41707000.0,-39469000.0,44889000.0,44889000.0,-16260000.0,-6800000.0,-29951000.0,146278000.0,-756000.0,-121682000.0,-3349000.0,-3349000.0,3567000.0,38445000.0,-18295000.0,-18295000.0,81012000.0,81012000.0,30979000.0,30979000.0,50033000.0,-43580000.0,2023-06-30
64402000.0,-100011000.0,,,11035000.0,-28607000.0,706836000.0,744428000.0,-1225000.0,-36367000.0,-109126000.0,-109126000.0,-20150000.0,-88976000.0,-100011000.0,11035000.0,,,,,-20250000.0,-20250000.0,2763000.0,,,-23013000.0,5594000.0,-28607000.0,93009000.0,93009000.0,-203513000.0,-2874000.0,7698000.0,2338000.0,-1791000.0,75988000.0,-284872000.0,-284872000.0,60810000.0,39053000.0,19924000.0,19924000.0,79274000.0,79274000.0,30124000.0,30124000.0,49150000.0,97461000.0,2023-09-30
466509000.0,-100017000.0,,,5317000.0,-26438000.0,1091987000.0,706836000.0,4841000.0,380310000.0,-113539000.0,-113539000.0,-925000.0,-94700000.0,-100017000.0,5317000.0,,,,,902000.0,902000.0,27195000.0,,,-26293000.0,145000.0,-26438000.0,492947000.0,492947000.0,277041000.0,266000.0,29275000.0,34475000.0,-7765000.0,111884000.0,108906000.0,108906000.0,-39924000.0,21755000.0,60736000.0,60736000.0,78863000.0,78863000.0,31205000.0,31205000.0,47658000.0,-126938000.0,2023-12-31
