treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,line_of_credit,commercial_paper,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,payables,dividends_payable,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,defined_pension_benefit,non_current_deferred_assets,non_current_deferred_taxes_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,restricted_cash,receivables,receivables_adjustments_allowances,other_receivables,accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
65855914.0,494785726.0,560641640.0,10053000000.0,13472000000.0,-8268000000.0,22015000000.0,1127000000.0,-8268000000.0,1977000000.0,10520000000.0,21747000000.0,10749000000.0,229000000.0,10520000000.0,-5314000000.0,-5314000000.0,6207000000.0,20301000000.0,1179000000.0,561000000.0,561000000.0,0.0,22705000000.0,15533000000.0,1718000000.0,921000000.0,921000000.0,12894000000.0,1667000000.0,11227000000.0,7172000000.0,,578000000.0,310000000.0,268000000.0,268000000.0,,,3095000000.0,3499000000.0,3499000000.0,,221000000.0,221000000.0,3278000000.0,33454000000.0,25155000000.0,1449000000.0,2127000000.0,358000000.0,358000000.0,18788000000.0,2537000000.0,16251000000.0,2433000000.0,-1531000000.0,3964000000.0,1258000000.0,1562000000.0,772000000.0,1562000000.0,372000000.0,0.0,8299000000.0,1005000000.0,,5852000000.0,-160000000.0,719000000.0,5293000000.0,1442000000.0,1442000000.0,2022-12-31
65836882.0,494804758.0,560641640.0,11946000000.0,14981000000.0,-7799000000.0,23905000000.0,1199000000.0,-7799000000.0,2029000000.0,10953000000.0,21794000000.0,11196000000.0,243000000.0,10953000000.0,-5234000000.0,-5234000000.0,6387000000.0,20949000000.0,1064000000.0,561000000.0,561000000.0,0.0,23162000000.0,15248000000.0,1788000000.0,896000000.0,896000000.0,12564000000.0,1723000000.0,10841000000.0,7914000000.0,,2417000000.0,306000000.0,2111000000.0,1267000000.0,250000000.0,594000000.0,1443000000.0,4054000000.0,4054000000.0,292000000.0,356000000.0,356000000.0,3406000000.0,34358000000.0,25245000000.0,1471000000.0,2200000000.0,369000000.0,369000000.0,18752000000.0,2452000000.0,16300000000.0,2453000000.0,-1579000000.0,4032000000.0,,2446000000.0,,1586000000.0,,0.0,9113000000.0,1407000000.0,,6700000000.0,-154000000.0,888000000.0,5966000000.0,1006000000.0,1006000000.0,2023-03-31
66590930.0,494050710.0,560641640.0,11451000000.0,14630000000.0,-7168000000.0,24583000000.0,989000000.0,-7168000000.0,2008000000.0,11961000000.0,22208000000.0,12139000000.0,178000000.0,11961000000.0,-5055000000.0,-5055000000.0,6599000000.0,21980000000.0,1074000000.0,561000000.0,561000000.0,0.0,34427000000.0,14614000000.0,1802000000.0,866000000.0,866000000.0,11946000000.0,1699000000.0,10247000000.0,19813000000.0,11564000000.0,2684000000.0,309000000.0,2375000000.0,1867000000.0,200000000.0,308000000.0,2021000000.0,3544000000.0,3544000000.0,,407000000.0,407000000.0,3137000000.0,46566000000.0,25764000000.0,1500000000.0,2331000000.0,365000000.0,365000000.0,19129000000.0,2508000000.0,16621000000.0,2439000000.0,-1611000000.0,4050000000.0,,2481000000.0,,1569000000.0,,0.0,20802000000.0,1081000000.0,11564000000.0,6986000000.0,-154000000.0,734000000.0,6406000000.0,1171000000.0,1171000000.0,2023-06-30
67666591.0,492975049.0,560641640.0,10748000000.0,15595000000.0,-7747000000.0,25055000000.0,1674000000.0,-7747000000.0,1946000000.0,11406000000.0,23187000000.0,11586000000.0,180000000.0,11406000000.0,-5460000000.0,-5460000000.0,6852000000.0,22007000000.0,1150000000.0,561000000.0,561000000.0,0.0,36414000000.0,15809000000.0,1545000000.0,840000000.0,840000000.0,13424000000.0,1643000000.0,11781000000.0,20605000000.0,11828000000.0,2171000000.0,303000000.0,1868000000.0,1868000000.0,,,2632000000.0,3974000000.0,3974000000.0,351000000.0,480000000.0,480000000.0,3143000000.0,48000000000.0,25721000000.0,1532000000.0,2310000000.0,348000000.0,348000000.0,19153000000.0,2498000000.0,16655000000.0,2378000000.0,-1619000000.0,3997000000.0,,2478000000.0,,1519000000.0,,0.0,22279000000.0,1030000000.0,11828000000.0,6520000000.0,-155000000.0,766000000.0,5909000000.0,2901000000.0,2901000000.0,2023-09-30
68635498.0,492006142.0,560641640.0,10105000000.0,15436000000.0,-7670000000.0,25654000000.0,1953000000.0,-7670000000.0,1973000000.0,12191000000.0,24035000000.0,12370000000.0,179000000.0,12191000000.0,-5295000000.0,-5295000000.0,7076000000.0,22759000000.0,1242000000.0,561000000.0,561000000.0,0.0,35660000000.0,15865000000.0,1581000000.0,779000000.0,779000000.0,13505000000.0,1661000000.0,11844000000.0,19795000000.0,10794000000.0,1931000000.0,312000000.0,1619000000.0,1619000000.0,,,3346000000.0,3724000000.0,3724000000.0,,321000000.0,321000000.0,3403000000.0,48030000000.0,26282000000.0,1590000000.0,2051000000.0,357000000.0,357000000.0,19861000000.0,2630000000.0,17231000000.0,2423000000.0,-1562000000.0,3985000000.0,1308000000.0,,776000000.0,1541000000.0,360000000.0,0.0,21748000000.0,1178000000.0,10794000000.0,6418000000.0,-151000000.0,763000000.0,5806000000.0,3358000000.0,3358000000.0,2023-12-31
70135498.0,493532426.0,563667924.0,12017000000.0,15379000000.0,-7523000000.0,25891000000.0,2639000000.0,-7523000000.0,1910000000.0,12422000000.0,24722000000.0,12622000000.0,200000000.0,12422000000.0,-5509000000.0,-5509000000.0,7198000000.0,23456000000.0,1112000000.0,561000000.0,561000000.0,0.0,34950000000.0,16290000000.0,1643000000.0,747000000.0,747000000.0,13900000000.0,1600000000.0,12300000000.0,18660000000.0,11458000000.0,1479000000.0,310000000.0,1169000000.0,1119000000.0,,50000000.0,1539000000.0,4184000000.0,4184000000.0,349000000.0,456000000.0,456000000.0,3379000000.0,47572000000.0,26273000000.0,1567000000.0,2114000000.0,276000000.0,276000000.0,19945000000.0,2631000000.0,17314000000.0,2371000000.0,-1585000000.0,3956000000.0,,2462000000.0,,1494000000.0,,0.0,21299000000.0,1173000000.0,11458000000.0,7216000000.0,-157000000.0,864000000.0,6509000000.0,1452000000.0,1452000000.0,2024-03-31
