free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,capital_expenditure,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,proceeds_from_stock_option_exercised,net_preferred_stock_issuance,preferred_stock_payments,net_common_stock_issuance,common_stock_payments,net_issuance_payments_of_debt,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_business_purchase_and_sale,sale_of_business,purchase_of_business,net_ppe_purchase_and_sale,purchase_of_ppe,capital_expenditure_reported,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_current_assets,change_in_payables_and_accrued_expense,change_in_payable,change_in_account_payable,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,operating_gains_losses,net_income_from_continuing_operations,date,asset_impairment_charge
-2446592000.0,-20378000.0,6790369000.0,-6003358000.0,-27757000.0,1846302000.0,1261433000.0,340000.0,584529000.0,3054771000.0,3054771000.0,-5718000.0,121000.0,-20378000.0,-20378000.0,0.0,0.0,787011000.0,787011000.0,6790369000.0,-6003358000.0,-51407000.0,-51407000.0,19978000.0,19978000.0,0.0,0.0,0.0,,-17225000.0,-17225000.0,,-2418835000.0,-2418835000.0,-34052000.0,-1586000.0,-21900000.0,-21900000.0,-21900000.0,0.0,0.0,-2474317000.0,70976000.0,922000.0,922000.0,42353000.0,42353000.0,,-40006000.0,2022-12-31,
-2239294000.0,,-148110000.0,784101000.0,-26534000.0,2977514000.0,1846302000.0,-293000.0,1131505000.0,3384418000.0,3384418000.0,-6281000.0,168000.0,,,,,635991000.0,635991000.0,-148110000.0,784101000.0,-40153000.0,-40153000.0,33871000.0,302042000.0,-268171000.0,-17946000.0,,-17946000.0,-23720000.0,-23720000.0,-2814000.0,-2212760000.0,-2212760000.0,1947000.0,19163000.0,-17216000.0,-17216000.0,-17216000.0,,,-2298407000.0,64226000.0,68000.0,68000.0,45321000.0,45321000.0,100000.0,-34422000.0,2023-03-31,
-2107516000.0,,-259857000.0,520792000.0,-27597000.0,3501128000.0,2977514000.0,392000.0,523222000.0,2870814000.0,2870814000.0,-8472000.0,417000.0,,,,,260935000.0,260935000.0,-259857000.0,520792000.0,-267673000.0,-267673000.0,-153222000.0,47669000.0,-200891000.0,-54355000.0,,-54355000.0,-25351000.0,-25351000.0,-2246000.0,-2079919000.0,-2079919000.0,63241000.0,25012000.0,38229000.0,38229000.0,38229000.0,,,-2230157000.0,75878000.0,-5514000.0,-5514000.0,50130000.0,50130000.0,1437000.0,-47549000.0,2023-06-30,
-2716932000.0,0.0,-187646000.0,-62121000.0,-30413000.0,3297017000.0,3501128000.0,103000.0,-204214000.0,2650814000.0,2650814000.0,-3985000.0,430000.0,0.0,0.0,,,-249767000.0,-249767000.0,-187646000.0,-62121000.0,-168509000.0,-168509000.0,-103034000.0,107841000.0,-210875000.0,0.0,,0.0,-28044000.0,-28044000.0,-2369000.0,-2686519000.0,-2686519000.0,-27875000.0,-22913000.0,-4962000.0,-4962000.0,-4962000.0,,,-2774129000.0,62005000.0,-887000.0,-887000.0,52516000.0,52516000.0,-470000.0,-266684000.0,2023-09-30,
-284589000.0,-20378000.0,-204755000.0,-722223000.0,-36648000.0,3615578000.0,3297017000.0,475000.0,318086000.0,1979556000.0,1979556000.0,-8465000.0,130000.0,-20378000.0,-20378000.0,,,-926978000.0,-926978000.0,-204755000.0,-722223000.0,-1413529000.0,-1413529000.0,-111568000.0,75555000.0,-187123000.0,0.0,,0.0,-34294000.0,-34294000.0,-2354000.0,-247941000.0,-247941000.0,-32335000.0,-58372000.0,26037000.0,26037000.0,26037000.0,,,-372983000.0,69107000.0,-9495000.0,-9495000.0,53449000.0,53449000.0,-15641000.0,47913000.0,2023-12-31,0.0
