tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,impairment_of_capital_assets,restructuring_and_mergern_acquisition,gain_on_sale_of_security,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,total_revenue,operating_revenue,date
-393120.0,0.21,-1872000.0,-1872000.0,-40006000.0,42353000.0,208584000.0,98824000.0,307408000.0,-38527120.0,-40006000.0,922936519.0,922936519.0,-0.05,-0.05,-50195000.0,-50195000.0,10189000.0,-40006000.0,-40006000.0,-40006000.0,1057000.0,-38949000.0,-1872000.0,,1872000.0,-8241000.0,286787000.0,173702000.0,113085000.0,113085000.0,456679000.0,456679000.0,2022-12-31
-281284.894201,0.045398,-6196000.0,-6196000.0,-34422000.0,45321000.0,236010000.0,135554000.0,371564000.0,-28507284.894201,-34422000.0,929270723.0,929270723.0,-0.05,-0.05,-44390000.0,-44390000.0,9968000.0,-34422000.0,-34422000.0,-34422000.0,-1637000.0,-36059000.0,-6196000.0,1243000.0,4953000.0,-3177000.0,298843000.0,175154000.0,123689000.0,123689000.0,472158000.0,472158000.0,2023-03-31
-6350.828113,0.036084,-176000.0,-176000.0,-47549000.0,50130000.0,291126000.0,178870000.0,469996000.0,-47379350.828113,-47549000.0,936569420.0,936569420.0,-0.06,-0.06,-57628000.0,-57628000.0,10079000.0,-47549000.0,-47549000.0,-47549000.0,-1780000.0,-49329000.0,-176000.0,0.0,176000.0,-12900000.0,314002000.0,182822000.0,131180000.0,131180000.0,498018000.0,498018000.0,2023-06-30
-225911.706528,0.000914,-247140000.0,-247140000.0,-266684000.0,52516000.0,344963000.0,219307000.0,564270000.0,-19769911.706528,-266684000.0,951183107.0,951183107.0,-0.29,-0.29,-276873000.0,-276873000.0,10189000.0,-266684000.0,-266684000.0,-266684000.0,-244000.0,-266928000.0,-247140000.0,247174000.0,-34000.0,-6298000.0,311176000.0,186719000.0,124457000.0,124457000.0,537209000.0,537209000.0,2023-09-30
-265965.929082,0.063431,-4193000.0,-4193000.0,47913000.0,53449000.0,389641000.0,255596000.0,645237000.0,51840034.070918,47913000.0,1029303297.0,962691936.0,0.02,0.04,37724000.0,37724000.0,10189000.0,47913000.0,47913000.0,47913000.0,3245000.0,51158000.0,-4193000.0,0.0,7796000.0,,306390000.0,174705000.0,131685000.0,131685000.0,600830000.0,600830000.0,2023-12-31
