tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,write_off,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
88973928.780925,0.186156,444990311000.0,477954000.0,477954000.0,272297328000.0,107581924000.0,236346953000.0,445468265000.0,337886341000.0,7252347000.0,3334985000.0,10587332000.0,271908347928.7809,272297328000.0,300491057000.0,325040819000.0,5185800000.0,5185800000.0,57.05,57.05,272297328000.0,272297328000.0,272297328000.0,24661000.0,272272667000.0,272272667000.0,62278689000.0,334551356000.0,2258190000.0,161740000.0,-19118000.0,19118000.0,1618496000.0,497072000.0,7252347000.0,,3334985000.0,10587332000.0,325040819000.0,64144104000.0,-391226000.0,44587023000.0,19948307000.0,2991130000.0,16957177000.0,16957177000.0,389184923000.0,236346953000.0,625531876000.0,625531876000.0,2022-12-31
150437113.391754,0.152803,356576740000.0,984518000.0,984518000.0,206986561000.0,110322641000.0,222132581000.0,357561258000.0,247238617000.0,10654132000.0,2963686000.0,13617818000.0,206152480113.39172,206986561000.0,277394816000.0,231238157000.0,5185875200.0,5185817600.0,39.9,39.9,206986561000.0,206986561000.0,206986561000.0,37525000.0,206949036000.0,206949036000.0,37325895000.0,244274931000.0,2382642000.0,359307000.0,-6164000.0,6164000.0,1038817000.0,990682000.0,10654132000.0,,2963686000.0,13617818000.0,231238157000.0,55262235000.0,-47109000.0,39157036000.0,16152308000.0,2676360000.0,13475948000.0,13475948000.0,286500392000.0,222132581000.0,508632973000.0,508632973000.0,2023-03-31
80500067.226944,0.153525,341095406000.0,524346000.0,524346000.0,181799021000.0,123939688000.0,220641407000.0,341619752000.0,217680064000.0,10666866000.0,3005155000.0,13672021000.0,181355175067.22696,181799021000.0,278883211000.0,201958043000.0,5185883000.0,5185853600.0,35.05,35.05,181799021000.0,181799021000.0,181799021000.0,82015000.0,181717006000.0,181717006000.0,32957903000.0,214674909000.0,2050000000.0,391467000.0,-14150000.0,14150000.0,1134187000.0,538496000.0,10666866000.0,-10667000000.0,3005155000.0,13672021000.0,201958043000.0,58241804000.0,47244000.0,41665278000.0,16529282000.0,2365893000.0,14163389000.0,14163389000.0,260199847000.0,220641407000.0,480841254000.0,480841254000.0,2023-06-30
28490210.912547,0.128731,392111263000.0,221316000.0,221316000.0,210999939000.0,147280162000.0,250090294000.0,392332579000.0,245052417000.0,12483352000.0,3111922000.0,15595274000.0,210807113210.9125,210999939000.0,318667855000.0,228064903000.0,5185871600.0,5185853400.0,40.7,40.7,210999939000.0,210999939000.0,210999939000.0,204665000.0,210795274000.0,210795274000.0,31145221000.0,241940495000.0,1392240000.0,3954000.0,-20847000.0,20847000.0,1166970000.0,242163000.0,12483352000.0,,3111922000.0,15595274000.0,228064903000.0,68577561000.0,-131230000.0,51137762000.0,17571029000.0,2572905000.0,14998124000.0,14998124000.0,296642464000.0,250090294000.0,546732758000.0,546732758000.0,2023-09-30
155665972.762366,0.09647,430379591000.0,1613620000.0,1613620000.0,251954479000.0,150648409000.0,293760918000.0,431993211000.0,281344802000.0,14490150000.0,2918637000.0,17408787000.0,250496524972.76236,251954479000.0,365324318000.0,260204497000.0,5185800000.0,5183713355.0,46.031471,46.05,251954479000.0,251954479000.0,251954479000.0,388095000.0,251566384000.0,251566384000.0,26859781000.0,278426165000.0,3731518000.0,657672000.0,15553000.0,147000.0,1460226000.0,1598067000.0,14490150000.0,,2918637000.0,17408787000.0,260204497000.0,71563400000.0,-57605000.0,50410124000.0,21210881000.0,2975542000.0,18235339000.0,18235339000.0,331767897000.0,293760918000.0,625528815000.0,625528815000.0,2023-12-31
0.0,0.4,249018000000.0,,,225485000000.0,,,249018000000.0,249018000000.0,,,,225485000000.0,225485000000.0,,249018000000.0,5186000000.0,5186000000.0,43.5,43.5,225485000000.0,225485000000.0,225485000000.0,,225485000000.0,225485000000.0,,266543000000.0,,,,,,,,,,,249018000000.0,,,,,,,,314505000000.0,,592644000000.0,592644000000.0,2024-03-31
