treasury_shares_number,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,other_equity_interest,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,other_payable,dueto_related_parties_current,dividends_payable,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_prepaid_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,investmentin_financial_assets,held_to_maturity_securities,available_for_sale_securities,financial_assets_designatedas_fair_value_through_profitor_loss_total,long_term_equity_investment,investmentsin_associatesat_cost,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,hedging_assets_current,inventory,finished_goods,work_in_process,raw_materials,receivables,receivables_adjustments_allowances,duefrom_related_parties_current,notes_receivable,accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date
,25930380458.0,25930380458.0,888174400000.0,2877020500000.0,3761430000000.0,1066333100000.0,2877020500000.0,29764100000.0,2903019700000.0,3742116100000.0,2917832400000.0,14812700000.0,2903019700000.0,-20505600000.0,,,,2594891200000.0,69330300000.0,259303800000.0,259303800000.0,2046626700000.0,1060063100000.0,180850100000.0,9321100000.0,9321100000.0,1031400000.0,1031400000.0,868860500000.0,29764100000.0,839096400000.0,986563600000.0,117000000.0,19313900000.0,19313900000.0,19313900000.0,61748600000.0,905384100000.0,293171000000.0,612213100000.0,36435500000.0,1642600000.0,142617100000.0,163138600000.0,163138600000.0,268379300000.0,4964459100000.0,2911562400000.0,7551100000.0,4467100000.0,69185900000.0,69185900000.0,68608100000.0,41286400000.0,,41286400000.0,,27321700000.0,27321700000.0,25999200000.0,20207400000.0,5791800000.0,2735751000000.0,-3668706200000.0,6404457200000.0,1336842600000.0,21300000.0,4381002100000.0,640403600000.0,46187600000.0,0.0,2052896700000.0,12888800000.0,949800000.0,221149100000.0,54818400000.0,125661900000.0,40668800000.0,231408900000.0,,1653000000.0,229755900000.0,,,1586500100000.0,243686000000.0,1342814100000.0,13522700000.0,1329291400000.0,2022-12-31
,25932071000.0,25932071000.0,892810024000.0,3053937119000.0,3941059107000.0,1122637600000.0,3053937119000.0,29984875000.0,3078233958000.0,3933019107000.0,3092897598000.0,14663640000.0,3078233958000.0,-24269263000.0,,,0.0,2773288070000.0,69894441000.0,259320710000.0,259320710000.0,1952946750000.0,1079856829000.0,185758498000.0,8602302000.0,8602302000.0,726005000.0,726005000.0,884770024000.0,29984875000.0,854785149000.0,873089921000.0,660075000.0,8040000000.0,8040000000.0,8040000000.0,74158512000.0,790231334000.0,261123411000.0,529107923000.0,24518981000.0,1079764000.0,142617093000.0,157215093000.0,157215093000.0,203676992000.0,5045844348000.0,3050116827000.0,7496960000.0,4218206000.0,68775652000.0,68775652000.0,69913622000.0,41430558000.0,34512468000.0,6918090000.0,,28483064000.0,28483064000.0,24296839000.0,18544532000.0,5752307000.0,2875415548000.0,-3772957368000.0,6648372916000.0,1493944870000.0,18313000.0,4451070386000.0,657014531000.0,46324816000.0,0.0,1995727521000.0,16343714000.0,860396000.0,216067981000.0,50416137000.0,120338700000.0,45313144000.0,148124287000.0,,409162000.0,147715125000.0,,,1614331143000.0,229098333000.0,1385232810000.0,8589110000.0,1376643700000.0,2023-03-31
,25932071000.0,25932071000.0,945181626000.0,3164900522000.0,4104197448000.0,1149135200000.0,3164900522000.0,29734633000.0,3188750455000.0,4096071892000.0,3205468199000.0,16717744000.0,3188750455000.0,-17776400000.0,334740824000.0,334740824000.0,,2542569779000.0,69895542000.0,259320710000.0,259320710000.0,1943996846000.0,1133167839000.0,187133564000.0,8604642000.0,8604642000.0,373563000.0,373563000.0,937056070000.0,29734633000.0,907321437000.0,810829007000.0,7432441000.0,8125556000.0,8125556000.0,8125556000.0,85142595000.0,710128415000.0,276328374000.0,433800041000.0,24704515000.0,1178664000.0,149309000000.0,70060259000.0,70060259000.0,188547603000.0,5149465045000.0,3189500838000.0,8017917000.0,5814759000.0,68379721000.0,68379721000.0,94610105000.0,67764709000.0,,67655754000.0,108955000.0,26845396000.0,26845396000.0,23849933000.0,18001489000.0,5848444000.0,2988828403000.0,-3885129436000.0,6873957839000.0,840711007000.0,15236000.0,5197182663000.0,789943618000.0,46105315000.0,0.0,1959964207000.0,16427659000.0,1005288000.0,234332949000.0,30939982000.0,155465029000.0,47927938000.0,193548137000.0,,3383895000.0,190164242000.0,191027000000.0,,1514650174000.0,237926190000.0,1276723984000.0,29930342000.0,1246793642000.0,2023-06-30
0.0,25932071000.0,25932071000.0,974327930000.0,3324939088000.0,4293262262000.0,1112442820000.0,3324939088000.0,29415325000.0,3348349657000.0,4285842130000.0,3372818107000.0,24468450000.0,3348349657000.0,8616930000.0,328375262000.0,328375262000.0,0.0,2682157537000.0,69879218000.0,259320710000.0,259320710000.0,2111738274000.0,1141703458000.0,165967433000.0,8615678000.0,8615678000.0,212549000.0,212549000.0,966907798000.0,29415325000.0,937492473000.0,970034816000.0,27012318000.0,7420132000.0,7420132000.0,7420132000.0,37708203000.0,897894163000.0,326069886000.0,571824277000.0,28657288000.0,1621423000.0,155592426000.0,102953391000.0,102953391000.0,282999749000.0,5484556381000.0,3402078745000.0,8983470000.0,8388839000.0,71030144000.0,71030144000.0,116346645000.0,87425087000.0,,87313450000.0,111637000.0,28921558000.0,28921558000.0,23410569000.0,17405834000.0,6004735000.0,3173919078000.0,-4024638367000.0,7198557445000.0,1028831814000.0,3369000.0,5318056598000.0,805812147000.0,45853517000.0,0.0,2082477636000.0,19221060000.0,184955000.0,262090072000.0,35048480000.0,171354152000.0,55687440000.0,222906273000.0,-752380000.0,438620000.0,218688626000.0,4531407000.0,4531407000.0,1578075276000.0,266268741000.0,1311806535000.0,14117238000.0,1297689297000.0,2023-09-30
0.0,25932070992.0,25932070992.0,956257900000.0,3406755700000.0,4357098500000.0,1251227800000.0,3406755700000.0,28681800000.0,3429522400000.0,4347805200000.0,3453866500000.0,24344100000.0,3429522400000.0,-28314300000.0,,,0.0,3128639600000.0,69876400000.0,259320700000.0,259320700000.0,2078330100000.0,1135525000000.0,179249400000.0,9257200000.0,9257200000.0,53800000.0,53800000.0,946964600000.0,28681800000.0,918282800000.0,942805100000.0,27455600000.0,9293300000.0,9293300000.0,9293300000.0,50716900000.0,855339300000.0,296667900000.0,558671400000.0,33200600000.0,1566300000.0,168558500000.0,128134600000.0,128134600000.0,227211400000.0,5532196600000.0,3338163700000.0,10009400000.0,7044500000.0,64175800000.0,64175800000.0,129267600000.0,99825600000.0,,86408100000.0,13417500000.0,29442000000.0,29442000000.0,22766700000.0,16970300000.0,5796400000.0,3104899700000.0,-4154121200000.0,7259020900000.0,908289800000.0,50700000.0,5484852300000.0,820769000000.0,45059100000.0,0.0,2194032900000.0,26222400000.0,0.0,250997100000.0,34511000000.0,156498500000.0,59987600000.0,202010200000.0,,696300000.0,201313900000.0,,,1714803200000.0,249375400000.0,1465427800000.0,12326200000.0,1453101600000.0,2023-12-31
