tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,gain_on_sale_of_business,other_special_charges,impairment_of_capital_assets,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-113190000.0,0.21,691000000.0,-539000000.0,-539000000.0,-51000000.0,110000000.0,2532000000.0,152000000.0,42000000.0,-113000000.0,113000000.0,,374810000.0,-51000000.0,2933000000.0,42000000.0,-51000000.0,-51000000.0,-51000000.0,-21000000.0,-30000000.0,-30000000.0,-41000000.0,-71000000.0,-551000000.0,-12000000.0,-551000000.0,,,,0.0,31000000.0,0.0,12000000.0,-113000000.0,113000000.0,,593000000.0,401000000.0,-284000000.0,110000000.0,110000000.0,575000000.0,994000000.0,2532000000.0,3526000000.0,3526000000.0,2022-12-31
-6720000.0,0.21,291000000.0,-32000000.0,-32000000.0,20000000.0,100000000.0,1809000000.0,259000000.0,159000000.0,-94000000.0,94000000.0,,45280000.0,20000000.0,2468000000.0,176000000.0,20000000.0,20000000.0,20000000.0,-13000000.0,33000000.0,33000000.0,32000000.0,65000000.0,-17000000.0,15000000.0,15000000.0,,,-15000000.0,,0.0,,-47000000.0,-94000000.0,94000000.0,,176000000.0,659000000.0,81000000.0,100000000.0,100000000.0,478000000.0,835000000.0,1809000000.0,2644000000.0,2644000000.0,2023-03-31
52086486.486486,0.356757,266000000.0,146000000.0,146000000.0,107000000.0,104000000.0,1734000000.0,412000000.0,308000000.0,-123000000.0,123000000.0,,13086486.486486,107000000.0,2497000000.0,366000000.0,107000000.0,107000000.0,107000000.0,-12000000.0,119000000.0,119000000.0,66000000.0,185000000.0,156000000.0,10000000.0,179000000.0,6000000.0,-64000000.0,-29000000.0,,-208000000.0,,-33000000.0,-123000000.0,123000000.0,,152000000.0,763000000.0,193000000.0,104000000.0,104000000.0,466000000.0,915000000.0,1734000000.0,2649000000.0,2649000000.0,2023-06-30
-6930000.0,0.21,290000000.0,-33000000.0,-33000000.0,1000000.0,105000000.0,1603000000.0,257000000.0,152000000.0,-105000000.0,119000000.0,14000000.0,27070000.0,1000000.0,2309000000.0,151000000.0,1000000.0,1000000.0,1000000.0,-11000000.0,12000000.0,12000000.0,21000000.0,33000000.0,-32000000.0,1000000.0,-18000000.0,0.0,0.0,-1000000.0,0.0,19000000.0,,-15000000.0,-105000000.0,119000000.0,14000000.0,170000000.0,706000000.0,186000000.0,105000000.0,105000000.0,415000000.0,876000000.0,1603000000.0,2479000000.0,2479000000.0,2023-09-30
-69300000.0,0.21,326000000.0,-330000000.0,-330000000.0,-273000000.0,98000000.0,2084000000.0,-4000000.0,-102000000.0,-115000000.0,115000000.0,,-12300000.0,-273000000.0,2914000000.0,-103000000.0,-273000000.0,-273000000.0,-273000000.0,-15000000.0,-258000000.0,-258000000.0,41000000.0,-217000000.0,-331000000.0,,-377000000.0,-6000000.0,0.0,,326000000.0,0.0,,47000000.0,-115000000.0,115000000.0,,229000000.0,830000000.0,222000000.0,98000000.0,98000000.0,510000000.0,1059000000.0,2084000000.0,3143000000.0,3143000000.0,2023-12-31
