tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,impairment_of_capital_assets,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,other_special_charges
0.0,0.212,211000000.0,,,99000000.0,58000000.0,1095000000.0,211000000.0,153000000.0,-23000000.0,23000000.0,99000000.0,99000000.0,1566000000.0,123988000.0,123546000.0,0.8,0.81,99000000.0,99000000.0,99000000.0,-3000000.0,102000000.0,102000000.0,28000000.0,130000000.0,4000000.0,4000000.0,,,-23000000.0,23000000.0,149000000.0,471000000.0,33000000.0,438000000.0,156000000.0,282000000.0,282000000.0,620000000.0,1095000000.0,1715000000.0,1715000000.0,2022-12-31,
-65415000.0,0.147,284000000.0,-445000000.0,-445000000.0,-211000000.0,60000000.0,1115000000.0,-161000000.0,-221000000.0,-24000000.0,24000000.0,168585000.0,-211000000.0,1667000000.0,123649000.0,123649000.0,-1.71,-1.71,-211000000.0,-211000000.0,-211000000.0,-2000000.0,-209000000.0,-209000000.0,-36000000.0,-245000000.0,-469000000.0,-24000000.0,-445000000.0,445000000.0,-24000000.0,24000000.0,248000000.0,552000000.0,35000000.0,517000000.0,206000000.0,311000000.0,311000000.0,800000000.0,1115000000.0,1915000000.0,1915000000.0,2023-03-31,
-12050632.911392,0.236287,371000000.0,-51000000.0,-51000000.0,176000000.0,62000000.0,1157000000.0,320000000.0,258000000.0,-5000000.0,21000000.0,214949367.088608,176000000.0,1765000000.0,124641000.0,123823000.0,1.42,1.43,176000000.0,176000000.0,176000000.0,-5000000.0,181000000.0,181000000.0,56000000.0,237000000.0,-12000000.0,35000000.0,-52000000.0,0.0,-5000000.0,21000000.0,254000000.0,608000000.0,38000000.0,540000000.0,211000000.0,329000000.0,329000000.0,862000000.0,1157000000.0,2019000000.0,2019000000.0,2023-06-30,
0.0,0.146,111000000.0,,,22000000.0,61000000.0,854000000.0,111000000.0,50000000.0,-21000000.0,21000000.0,22000000.0,22000000.0,1324000000.0,124650000.0,123973000.0,0.17,0.17,22000000.0,22000000.0,22000000.0,-3000000.0,25000000.0,25000000.0,4000000.0,29000000.0,-12000000.0,-12000000.0,,,-21000000.0,21000000.0,62000000.0,470000000.0,29000000.0,441000000.0,165000000.0,276000000.0,276000000.0,532000000.0,854000000.0,1386000000.0,1386000000.0,2023-09-30,
-50103000.0,0.293,390000000.0,-171000000.0,-171000000.0,93000000.0,57000000.0,1124000000.0,219000000.0,162000000.0,-26000000.0,26000000.0,213897000.0,93000000.0,1664000000.0,124620000.0,124176000.0,0.75,0.75,93000000.0,93000000.0,93000000.0,-3000000.0,96000000.0,96000000.0,40000000.0,136000000.0,-164000000.0,7000000.0,-171000000.0,,-26000000.0,26000000.0,326000000.0,540000000.0,32000000.0,508000000.0,186000000.0,322000000.0,322000000.0,866000000.0,1124000000.0,1990000000.0,1990000000.0,2023-12-31,171000000.0
