symbol,sector,market_cap,ordinary_shares_number,date,predictions,prev_market_cap,fair_market_cup_via_diff,market_cap_norm,fair_market_cap_norm
CLX,Consumer Discretionary,18504077646.77544,123611466.0,2023-03-31,0.11374010993163113,18743491159.27901,20875377904.23796,149.6954792751624,168.87897684376594
CLX,Consumer Discretionary,18743491159.27901,123820022.0,2023-06-30,0.04641149440047304,16214361864.580885,16966894629.466124,151.37690057330963,137.02868369274012
CLX,Consumer Discretionary,16214361864.580885,124001348.0,2023-09-30,-0.16198275398558726,17311743986.719376,14507540019.457142,130.7595612959053,116.99501863041958
CLX,Consumer Discretionary,17311743986.719376,124080634.0,2023-12-31,0.1003471841892198,,,139.5201122740828,
