free_cash_flow,repayment_of_debt,issuance_of_debt,capital_expenditure,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,cash_dividends_paid,common_stock_dividend_paid,net_common_stock_issuance,net_issuance_payments_of_debt,net_short_term_debt_issuance,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_intangibles_purchase_and_sale,purchase_of_intangibles,net_ppe_purchase_and_sale,sale_of_ppe,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,taxes_refund_paid,interest_received_cfo,interest_paid_cfo,dividend_received_cfo,change_in_working_capital,other_non_cash_items,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,operating_gains_losses,earnings_losses_from_equity_investments,net_income_from_continuing_operations,date
-763075000000.0,-1716816000000.0,2016996000000.0,-930201000000.0,6022089000000.0,6980169000000.0,-297347000000.0,-660733000000.0,-96757000000.0,-96758000000.0,-15066000000.0,-342188000000.0,-342188000000.0,-141032000000.0,401529000000.0,101349000000.0,300180000000.0,-1716816000000.0,2016996000000.0,-731103000000.0,-731103000000.0,48911000000.0,-248703000000.0,196790000000.0,-445493000000.0,-92809000000.0,-92809000000.0,-438502000000.0,398890000000.0,-837392000000.0,167126000000.0,167128000000.0,-339550000000.0,404402000000.0,-171839000000.0,103748000000.0,-1034361000000.0,-178816000000.0,290433000000.0,290433000000.0,518636000000.0,518636000000.0,-170093000000.0,-170093000000.0,744566000000.0,2022-12-31
178692000000.0,-2191252000000.0,2685817000000.0,-950461000000.0,7516966000000.0,6022089000000.0,10020000000.0,1484857000000.0,441001000000.0,441000000000.0,23898000000.0,0.0,0.0,-94522000000.0,511625000000.0,17060000000.0,494565000000.0,-2191252000000.0,2685817000000.0,-85297000000.0,-85297000000.0,100061000000.0,346341000000.0,391987000000.0,-45646000000.0,-94699000000.0,-94699000000.0,-437000000000.0,418762000000.0,-855762000000.0,1129153000000.0,1129151000000.0,-20252000000.0,434271000000.0,-192172000000.0,1011000000.0,-69848000000.0,-160112000000.0,270612000000.0,270612000000.0,505145000000.0,505145000000.0,-168347000000.0,-168347000000.0,528845000000.0,2023-03-31
183459000000.0,-1869180000000.0,2181694000000.0,-1174759000000.0,7906447000000.0,7516966000000.0,241175000000.0,148306000000.0,-92858000000.0,-92856000000.0,-35191000000.0,-474781000000.0,-474781000000.0,-34377000000.0,451491000000.0,138977000000.0,312514000000.0,-1869180000000.0,2181694000000.0,-1117054000000.0,-1117055000000.0,-551804000000.0,141258000000.0,755711000000.0,-614453000000.0,-80030000000.0,-80030000000.0,-626478000000.0,468251000000.0,-1094729000000.0,1358218000000.0,1358218000000.0,-428464000000.0,488866000000.0,-204171000000.0,445938000000.0,-802363000000.0,-174594000000.0,393663000000.0,393663000000.0,505809000000.0,505809000000.0,-193356000000.0,-193356000000.0,1326890000000.0,2023-06-30
-199795000000.0,-2459216000000.0,3079771000000.0,-1119656000000.0,7926063000000.0,7906447000000.0,-12602000000.0,32218000000.0,646893000000.0,646892000000.0,-30864000000.0,0.0,0.0,-82130000000.0,759887000000.0,139332000000.0,620555000000.0,-2459216000000.0,3079771000000.0,-1534537000000.0,-1534538000000.0,-1007118000000.0,59795000000.0,460017000000.0,-400222000000.0,-67944000000.0,-67944000000.0,-519270000000.0,532442000000.0,-1051712000000.0,919861000000.0,919862000000.0,-209719000000.0,549580000000.0,-277841000000.0,17692000000.0,-1097096000000.0,-192705000000.0,480341000000.0,480341000000.0,514152000000.0,514152000000.0,-185174000000.0,-185174000000.0,1320631000000.0,2023-09-30
-722511000000.0,-1784060000000.0,3148943000000.0,-1230573000000.0,7583154000000.0,7926063000000.0,-352859000000.0,9950000000.0,1080426000000.0,1080424000000.0,-11698000000.0,-405416000000.0,-405416000000.0,-75077000000.0,1572617000000.0,207734000000.0,1364883000000.0,-1784060000000.0,3148943000000.0,-1578538000000.0,-1578535000000.0,-525871000000.0,-344281000000.0,567413000000.0,-911694000000.0,-86774000000.0,-86774000000.0,-621612000000.0,522187000000.0,-1143799000000.0,508062000000.0,508060000000.0,-393515000000.0,582261000000.0,-293652000000.0,117822000000.0,-1441143000000.0,-197032000000.0,451437000000.0,451437000000.0,515432000000.0,515432000000.0,-217651000000.0,-217651000000.0,1384103000000.0,2023-12-31
