tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-45762069646.51139,0.280611,1754677000000.0,-163080000000.0,-163080000000.0,727942000000.0,518636000000.0,7821392000000.0,1591597000000.0,1072961000000.0,72201000000.0,37963000000.0,110164000000.0,845259930353.4886,727942000000.0,8798033000000.0,956652000000.0,1363240300.0,1363240300.0,534.0,534.0,727942000000.0,0.0,727942000000.0,727942000000.0,-16624000000.0,744566000000.0,744566000000.0,290432000000.0,1034998000000.0,6145000000.0,-868000000.0,170093000000.0,-163080000000.0,72201000000.0,-72201000000.0,37963000000.0,110164000000.0,956652000000.0,976641000000.0,976641000000.0,1933293000000.0,7821392000000.0,9754685000000.0,9754685000000.0,2022-12-31
35693843946.96914,0.338494,1138198000000.0,105449000000.0,105449000000.0,552292000000.0,505145000000.0,8125420000000.0,1243647000000.0,738502000000.0,-54277000000.0,-60957000000.0,-73416000000.0,482536843946.9691,552292000000.0,9063334000000.0,626930000000.0,,,,,552292000000.0,0.0,552292000000.0,552292000000.0,23446000000.0,528845000000.0,528845000000.0,270612000000.0,799459000000.0,226805000000.0,-46991000000.0,168347000000.0,105449000000.0,-54277000000.0,,-60957000000.0,-73416000000.0,626931000000.0,937914000000.0,937914000000.0,1564845000000.0,8125420000000.0,9690265000000.0,9690265000000.0,2023-03-31
56462416727.64513,0.2288,2002925000000.0,246776000000.0,246776000000.0,1311372000000.0,505809000000.0,8483927000000.0,2249701000000.0,1743892000000.0,166788000000.0,23339000000.0,190127000000.0,1121058416727.645,1311372000000.0,9425930000000.0,1120900000000.0,1355566300.0,1355566300.0,967.4,967.4,1311372000000.0,,1311372000000.0,1311372000000.0,-15518000000.0,1326890000000.0,1326890000000.0,393663000000.0,1720553000000.0,432865000000.0,-7267000000.0,193356000000.0,246776000000.0,166788000000.0,,23339000000.0,190127000000.0,1120901000000.0,942003000000.0,942003000000.0,2062904000000.0,8483927000000.0,10546831000000.0,10546831000000.0,2023-06-30
14029055754.337105,0.266712,2283485000000.0,52600000000.0,52600000000.0,1278056000000.0,514152000000.0,9064850000000.0,2336085000000.0,1821933000000.0,126852000000.0,20961000000.0,147813000000.0,1239485055754.3372,1278056000000.0,9996393000000.0,1438394000000.0,1352258900.0,1352258900.0,945.1,945.1,1278056000000.0,,1278056000000.0,1278056000000.0,-42575000000.0,1320631000000.0,1320631000000.0,480341000000.0,1800972000000.0,235727000000.0,-2047000000.0,185174000000.0,52600000000.0,126852000000.0,,20961000000.0,147813000000.0,1438393000000.0,931543000000.0,931543000000.0,2369936000000.0,9064850000000.0,11434786000000.0,11434786000000.0,2023-09-30
-60020260170.84891,0.245942,2629466000000.0,-244042000000.0,-244042000000.0,1357814000000.0,515432000000.0,9355813000000.0,2385424000000.0,1869992000000.0,171912000000.0,34452000000.0,206364000000.0,1541835739829.1511,1357814000000.0,10360160000000.0,1680944000000.0,1349447426.0,1349447426.0,1006.2,1006.2,1357814000000.0,,1357814000000.0,1357814000000.0,-26289000000.0,1384103000000.0,1384103000000.0,451437000000.0,1835540000000.0,-17316000000.0,9075000000.0,217651000000.0,-244042000000.0,171912000000.0,,34452000000.0,206364000000.0,1680943000000.0,1004347000000.0,1004347000000.0,2685290000000.0,9355813000000.0,12041103000000.0,12041103000000.0,2023-12-31
