free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,capital_expenditure,income_tax_paid_supplemental_data,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,proceeds_from_stock_option_exercised,net_common_stock_issuance,common_stock_payments,net_issuance_payments_of_debt,net_long_term_debt_issuance,long_term_debt_payments,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_ppe_purchase_and_sale,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_other_current_liabilities,change_in_other_current_assets,change_in_payables_and_accrued_expense,change_in_payable,change_in_account_payable,change_in_prepaid_assets,change_in_inventory,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,depreciation_amortization_depletion,depreciation_and_amortization,net_income_from_continuing_operations,date
-23195000.0,0.0,-369000.0,-10307000.0,137000.0,470136000.0,849233000.0,-75000.0,-379022000.0,-529000.0,-529000.0,-324000.0,164000.0,0.0,0.0,-369000.0,-369000.0,-369000.0,-365605000.0,-365605000.0,,-355730000.0,0.0,-355730000.0,-10307000.0,-10307000.0,-12888000.0,-12888000.0,-3670000.0,-7132000.0,-404000.0,-1590000.0,27820000.0,27820000.0,27820000.0,-2388000.0,-5446000.0,-14934000.0,-14934000.0,454000.0,45538000.0,3345000.0,3345000.0,-58555000.0,2022-10-31
-10376000.0,0.0,-447000.0,-6003000.0,292000.0,223766000.0,470136000.0,584000.0,-246954000.0,6732000.0,6732000.0,0.0,7179000.0,0.0,0.0,-447000.0,-447000.0,-447000.0,-249313000.0,-249313000.0,-50000.0,-243260000.0,,-329885000.0,-6003000.0,-6003000.0,-4373000.0,-4373000.0,3040000.0,16275000.0,454000.0,-342000.0,22883000.0,22883000.0,22883000.0,-5993000.0,3930000.0,-34167000.0,-34167000.0,-1216000.0,43983000.0,3418000.0,3418000.0,-53598000.0,2023-01-31
7955000.0,,-448000.0,-2499000.0,104000.0,216348000.0,223766000.0,146000.0,-7564000.0,-289000.0,-289000.0,,159000.0,,,-448000.0,-448000.0,-448000.0,-17729000.0,-17729000.0,,-15230000.0,177159000.0,-192389000.0,-2499000.0,-2499000.0,10454000.0,10454000.0,28041000.0,8208000.0,,533000.0,-8511000.0,-8511000.0,-8511000.0,-1179000.0,8168000.0,20822000.0,20822000.0,-6163000.0,52948000.0,3484000.0,3484000.0,-67856000.0,2023-04-30
4716000.0,,-467000.0,-3004000.0,482000.0,220123000.0,216348000.0,372000.0,3403000.0,12544000.0,12544000.0,,13011000.0,,,-467000.0,-467000.0,-467000.0,-16861000.0,-16861000.0,,-13807000.0,168193000.0,-182000000.0,-3004000.0,-3004000.0,7720000.0,7720000.0,6674000.0,5572000.0,,-162000.0,3262000.0,3262000.0,3262000.0,1422000.0,10635000.0,-14055000.0,-14055000.0,-2351000.0,59656000.0,3709000.0,3709000.0,-59968000.0,2023-07-31
8534000.0,,-501000.0,-3355000.0,947000.0,229782000.0,220123000.0,-542000.0,10201000.0,-236000.0,-236000.0,,265000.0,,,-501000.0,-501000.0,-501000.0,-1452000.0,-1452000.0,0.0,1903000.0,168915000.0,-167012000.0,-3355000.0,-3355000.0,11889000.0,11889000.0,-8612000.0,12419000.0,,-104000.0,5043000.0,5043000.0,5043000.0,-17691000.0,-5336000.0,-2943000.0,-2943000.0,2595000.0,59791000.0,3646000.0,3646000.0,-45531000.0,2023-10-31
-43973000.0,,-789000.0,-2095000.0,589000.0,154738000.0,229782000.0,501000.0,-75545000.0,8978000.0,8978000.0,,9767000.0,,,-789000.0,-789000.0,-789000.0,-42645000.0,-42645000.0,0.0,-40550000.0,158595000.0,-199145000.0,-2095000.0,-2095000.0,-41878000.0,-41878000.0,-4911000.0,25052000.0,,242000.0,26802000.0,26802000.0,26802000.0,-11628000.0,4865000.0,-50244000.0,-50244000.0,7030000.0,64687000.0,4687000.0,4687000.0,-113371000.0,2024-01-31
