treasury_shares_number,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_revenue,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,investments_and_advances,investmentin_financial_assets,available_for_sale_securities,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,properties,current_assets,other_current_assets,current_deferred_assets,prepaid_assets,inventory,finished_goods,receivables,accrued_interest_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
,518873043.0,518873043.0,127883000.0,939753000.0,939753000.0,585187000.0,939753000.0,127883000.0,939753000.0,939753000.0,939753000.0,939753000.0,-984000.0,-984000.0,-1114774000.0,2055481000.0,30000.0,30000.0,0.0,610229000.0,232383000.0,7378000.0,118823000.0,118823000.0,106182000.0,106182000.0,377846000.0,255420000.0,255420000.0,21701000.0,21701000.0,22511000.0,78214000.0,34848000.0,43366000.0,43366000.0,1549982000.0,586949000.0,39060000.0,308332000.0,63688000.0,63688000.0,63688000.0,175869000.0,-30301000.0,206170000.0,45982000.0,,118511000.0,41677000.0,,0.0,963033000.0,16196000.0,72685000.0,16196000.0,44501000.0,,90796000.0,,90796000.0,,,738855000.0,291815000.0,447040000.0,2022-10-31
,524160209.0,524160209.0,122920000.0,938019000.0,938019000.0,515377000.0,938019000.0,122920000.0,938019000.0,938019000.0,938019000.0,938019000.0,-652000.0,-652000.0,-1168372000.0,2107013000.0,30000.0,30000.0,0.0,678989000.0,236831000.0,9506000.0,126452000.0,126452000.0,100873000.0,100873000.0,442158000.0,300113000.0,300113000.0,22047000.0,22047000.0,36030000.0,83968000.0,53824000.0,30144000.0,30144000.0,1617008000.0,659473000.0,39452000.0,335018000.0,113101000.0,113101000.0,113101000.0,171902000.0,-33868000.0,205770000.0,49727000.0,22422000.0,112624000.0,43419000.0,,0.0,957535000.0,22189000.0,82046000.0,,40571000.0,40571000.0,122867000.0,,122867000.0,-7500000.0,130367000.0,689862000.0,489192000.0,200670000.0,2023-01-31
,528511394.0,528511394.0,105378000.0,922595000.0,922595000.0,529686000.0,922595000.0,105378000.0,922595000.0,922595000.0,922595000.0,922595000.0,-1606000.0,-1606000.0,-1236228000.0,2160399000.0,30000.0,30000.0,0.0,675951000.0,235086000.0,9075000.0,130802000.0,130802000.0,95209000.0,95209000.0,440865000.0,319141000.0,319141000.0,10169000.0,10169000.0,26598000.0,84957000.0,55718000.0,29239000.0,29239000.0,1598546000.0,627995000.0,40119000.0,344011000.0,87770000.0,87770000.0,87770000.0,156095000.0,-37542000.0,193637000.0,50227000.0,,,46010000.0,97400000.0,0.0,970551000.0,20724000.0,86277000.0,,32403000.0,,105164000.0,2600000.0,102564000.0,,,725983000.0,533931000.0,192052000.0,2023-04-30
,534917397.0,534917397.0,105893000.0,936367000.0,936367000.0,498614000.0,936367000.0,105893000.0,936367000.0,936367000.0,936367000.0,936367000.0,-1001000.0,-1001000.0,-1296196000.0,2233533000.0,31000.0,31000.0,0.0,706265000.0,226924000.0,9283000.0,128217000.0,128217000.0,89424000.0,89424000.0,479341000.0,348820000.0,348820000.0,16469000.0,16469000.0,29869000.0,84183000.0,49508000.0,34675000.0,34675000.0,1642632000.0,664677000.0,40122000.0,363744000.0,109723000.0,109723000.0,109723000.0,151088000.0,-41518000.0,192606000.0,50312000.0,,92683000.0,49611000.0,,0.0,977955000.0,18702000.0,94061000.0,,21767000.0,,118622000.0,3200000.0,115422000.0,,,724803000.0,528766000.0,196037000.0,2023-07-31
0.0,540168817.0,540168817.0,103871000.0,950931000.0,950931000.0,434400000.0,950931000.0,103871000.0,950931000.0,950931000.0,950931000.0,950931000.0,-1439000.0,-1439000.0,-1341727000.0,2294065000.0,32000.0,32000.0,0.0,735443000.0,228960000.0,9298000.0,136320000.0,136320000.0,83342000.0,83342000.0,506483000.0,367401000.0,367401000.0,20529000.0,20529000.0,28360000.0,90193000.0,51930000.0,38263000.0,38263000.0,1686374000.0,745491000.0,37823000.0,376128000.0,189414000.0,189414000.0,189414000.0,142126000.0,-47362000.0,189488000.0,50476000.0,,85491000.0,53521000.0,,0.0,940883000.0,35293000.0,99230000.0,,27103000.0,,119499000.0,4300000.0,115199000.0,-6700000.0,121899000.0,659758000.0,451659000.0,208099000.0,2023-10-31
,545973529.0,545973529.0,99491000.0,915147000.0,915147000.0,295142000.0,915147000.0,99491000.0,915147000.0,915147000.0,915147000.0,915147000.0,1616000.0,1616000.0,-1455098000.0,2368597000.0,32000.0,32000.0,0.0,819698000.0,227882000.0,9935000.0,139117000.0,139117000.0,78830000.0,78830000.0,591816000.0,426369000.0,426369000.0,20661000.0,20661000.0,37068000.0,107718000.0,61437000.0,46281000.0,46281000.0,1734845000.0,847887000.0,26434000.0,408344000.0,276166000.0,276166000.0,276166000.0,136943000.0,-51723000.0,188666000.0,50524000.0,,81974000.0,56168000.0,,0.0,886958000.0,51221000.0,104008000.0,,22238000.0,22238000.0,161829000.0,,161829000.0,-7800000.0,169629000.0,547662000.0,412126000.0,135536000.0,2024-01-31
