tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,other_special_charges,net_non_operating_interest_income_expense,total_other_finance_cost,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.21,-60131000.0,0.0,0.0,-58555000.0,3345000.0,47253000.0,-60131000.0,-63476000.0,5613000.0,5613000.0,-58555000.0,-58555000.0,233276000.0,-63476000.0,516551258.0,516551258.0,-0.11,-0.11,-58555000.0,-58555000.0,-58555000.0,-58555000.0,-58555000.0,692000.0,-57863000.0,,0.0,,5613000.0,,5613000.0,-63476000.0,186023000.0,49970000.0,136053000.0,94056000.0,41997000.0,41997000.0,122547000.0,47253000.0,169800000.0,166555000.0,2022-10-31
0.0,0.21,-56574000.0,0.0,0.0,-53598000.0,3418000.0,51528000.0,-56574000.0,-59992000.0,8526000.0,8526000.0,-53598000.0,-53598000.0,246569000.0,-59992000.0,521515286.0,521515286.0,-0.1,-0.1,-53598000.0,-53598000.0,-53598000.0,-53598000.0,-53598000.0,2132000.0,-51466000.0,0.0,0.0,,8526000.0,,8526000.0,-59992000.0,195041000.0,54603000.0,140438000.0,96751000.0,43687000.0,43687000.0,135049000.0,51528000.0,186577000.0,182450000.0,2023-01-31
0.0,0.21,-72340000.0,0.0,0.0,-67856000.0,3484000.0,57557000.0,-72340000.0,-75824000.0,8895000.0,,-67856000.0,-67856000.0,280144000.0,-75824000.0,526403398.0,526403398.0,-0.13,-0.13,-67856000.0,-67856000.0,-67856000.0,-67856000.0,-67856000.0,927000.0,-66929000.0,,0.0,,8895000.0,-8895000.0,,-75824000.0,222587000.0,60366000.0,162221000.0,118955000.0,43266000.0,43266000.0,146763000.0,57557000.0,204320000.0,199484000.0,2023-04-30
0.0,0.21,-66045000.0,0.0,0.0,-59968000.0,3709000.0,58866000.0,-66045000.0,-69754000.0,10220000.0,10220000.0,-59968000.0,-59968000.0,289011000.0,-69754000.0,531751683.0,531751683.0,-0.11,-0.11,-59968000.0,-59968000.0,-59968000.0,-59968000.0,-59968000.0,434000.0,-59534000.0,,0.0,,10220000.0,,10220000.0,-69754000.0,230145000.0,63969000.0,166176000.0,117908000.0,48268000.0,48268000.0,160391000.0,58866000.0,219257000.0,215179000.0,2023-07-31
-1000020.0,0.21,-41597000.0,-4762000.0,-4762000.0,-45531000.0,3646000.0,61585000.0,-46359000.0,-50005000.0,9378000.0,9378000.0,-41769020.0,-45531000.0,287539000.0,-54767000.0,537464892.0,537464892.0,-0.08,-0.08,-45531000.0,-45531000.0,-45531000.0,-45531000.0,-45531000.0,142000.0,-45389000.0,-4762000.0,-4762000.0,4762000.0,9378000.0,,9378000.0,-50005000.0,225954000.0,60820000.0,165134000.0,116780000.0,48354000.0,48354000.0,175949000.0,61585000.0,237534000.0,232857000.0,2023-10-31
-27466000.0,0.4,19015000.0,-68665000.0,-68665000.0,-113371000.0,4687000.0,69024000.0,-49650000.0,-54337000.0,11471000.0,,-72172000.0,-113371000.0,330611000.0,-123002000.0,,,,,-113371000.0,-113371000.0,-113371000.0,-113371000.0,-113371000.0,1840000.0,-111531000.0,-68665000.0,-68665000.0,63903000.0,11471000.0,,,-54337000.0,261587000.0,73426000.0,188161000.0,133006000.0,55155000.0,55155000.0,207250000.0,69024000.0,276274000.0,271842000.0,2024-01-31
