tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,rent_expense_supplemental,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,other_special_charges,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,other_taxes,provision_for_doubtful_accounts,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,rent_and_landing_fees,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,excise_taxes,operating_revenue,date
15636612.070548,0.133143,2846927000.0,117442000.0,117442000.0,538188000.0,1858247000.0,2869600000.0,2964369000.0,1106122000.0,-394313000.0,485272000.0,204567000.0,436382612.070548,538188000.0,4944405000.0,95148000.0,,484158430.0,484158430.0,1.111207,1.111207,538188000.0,538188000.0,538188000.0,538188000.0,538188000.0,82662000.0,620850000.0,135203000.0,,,,,-22589000.0,44235000.0,-394313000.0,113608000.0,485272000.0,204567000.0,879960000.0,2074805000.0,170044000.0,-16762000.0,,,,2274514000.0,1453347000.0,821167000.0,1163696000.0,,,2954765000.0,2869600000.0,5824365000.0,,14006947000.0,2022-12-31
8731212.581478,0.258389,2688526000.0,33791000.0,33791000.0,412436000.0,1777090000.0,1213069000.0,2722317000.0,945227000.0,-240118000.0,389092000.0,297367000.0,387376212.581478,412436000.0,4871178000.0,167378000.0,,484160400.0,484160400.0,0.85,0.85,412436000.0,412436000.0,412436000.0,412436000.0,412436000.0,143699000.0,556135000.0,27276000.0,12077000.0,17049000.0,236000.0,-16813000.0,-18592000.0,16742000.0,-240118000.0,148393000.0,389092000.0,297367000.0,768977000.0,2059486000.0,129399000.0,238450000.0,159799000.0,178467000.0,178467000.0,1353371000.0,767209000.0,586162000.0,231813000.0,41074000.0,313275000.0,2828463000.0,2811692000.0,5640155000.0,921132000.0,7922021000.0,2023-03-31
-245480.0,0.34,3189616000.0,-722000.0,-722000.0,626472000.0,1834574000.0,2932540000.0,3188894000.0,1354320000.0,-425081000.0,741297000.0,316216000.0,626948520.0,626472000.0,4801348000.0,,1038826000.0,481901538.0,481901538.0,1.3,1.3,626472000.0,626472000.0,626472000.0,626472000.0,626472000.0,-13449000.0,613023000.0,-23808000.0,,,,,-23086000.0,-722000.0,-425081000.0,,741297000.0,316216000.0,1061912000.0,1868808000.0,77782000.0,,,,,1791026000.0,1372827000.0,418199000.0,418199000.0,,,2930720000.0,2932540000.0,5863260000.0,,5863260000.0,2023-06-30
733855.852397,0.118824,3235797000.0,6176000.0,6176000.0,716005000.0,1755400000.0,2838833000.0,3241973000.0,1486573000.0,-412492000.0,674017000.0,261525000.0,710562855.852397,716005000.0,4811707000.0,,1218872000.0,477336667.0,477336667.0,1.5,1.5,716005000.0,716005000.0,716005000.0,716005000.0,716005000.0,96551000.0,812556000.0,-18564000.0,,,,,-24740000.0,6176000.0,-412492000.0,,674017000.0,261525000.0,1243612000.0,1972874000.0,96142000.0,,,,,1876732000.0,1435297000.0,441435000.0,441435000.0,,,3216486000.0,2838833000.0,6055319000.0,,6055319000.0,2023-09-30
