free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,issuance_of_capital_stock,capital_expenditure,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,net_common_stock_issuance,common_stock_payments,common_stock_issuance,net_issuance_payments_of_debt,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_business_purchase_and_sale,purchase_of_business,net_intangibles_purchase_and_sale,purchase_of_intangibles,net_ppe_purchase_and_sale,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_other_current_liabilities,change_in_other_current_assets,change_in_payables_and_accrued_expense,change_in_accrued_expense,change_in_payable,change_in_account_payable,change_in_prepaid_assets,change_in_inventory,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,asset_impairment_charge,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,net_income_from_continuing_operations,date
77728000.0,0.0,-480003000.0,0.0,14000.0,-46591000.0,730669000.0,1271597000.0,5652000.0,-546580000.0,-546373000.0,-546373000.0,-66384000.0,14000.0,0.0,14000.0,-480003000.0,-480003000.0,-480003000.0,0.0,-124526000.0,-124526000.0,-20481000.0,-57454000.0,324529000.0,-381983000.0,0.0,0.0,-3651000.0,-3651000.0,-42940000.0,-42940000.0,124319000.0,124319000.0,-79517000.0,-96936000.0,13758000.0,-1936000.0,5548000.0,-3399000.0,8947000.0,8947000.0,17927000.0,-17182000.0,-696000.0,-696000.0,19426000.0,13656000.0,-9585000.0,30593000.0,30593000.0,54672000.0,54672000.0,88844000.0,2022-12-31
33517000.0,,,,75000.0,-38409000.0,359180000.0,730669000.0,260000.0,-371749000.0,-9828000.0,-9828000.0,-9903000.0,75000.0,,75000.0,,,,,-433847000.0,-433847000.0,-6980000.0,-240076000.0,295816000.0,-535892000.0,-148382000.0,-148382000.0,-5189000.0,-5189000.0,-33220000.0,-33220000.0,71926000.0,71926000.0,-74152000.0,6620000.0,1879000.0,1860000.0,-67373000.0,-53964000.0,-13409000.0,-13409000.0,-2349000.0,-22671000.0,7882000.0,7882000.0,-825000.0,14148000.0,0.0,-4341000.0,-4341000.0,52061000.0,52061000.0,85035000.0,2023-03-31
80349000.0,,,,88000.0,-31128000.0,609549000.0,359180000.0,-1913000.0,252282000.0,-15472000.0,-15472000.0,-15560000.0,88000.0,,88000.0,,,,,156277000.0,156277000.0,-14886000.0,203441000.0,383162000.0,-179721000.0,-1150000.0,-1150000.0,-2029000.0,-2029000.0,-29099000.0,-29099000.0,111477000.0,111477000.0,-43501000.0,,-72252000.0,-49140000.0,,,,,,,,,18026000.0,7860000.0,0.0,-2830000.0,-2830000.0,51136000.0,51136000.0,80786000.0,2023-06-30
83641000.0,,,,0.0,-41043000.0,579935000.0,609549000.0,-1576000.0,-28038000.0,-401091000.0,-401091000.0,-1091000.0,0.0,,0.0,,,,,248369000.0,248369000.0,9309000.0,280103000.0,472764000.0,-192661000.0,0.0,0.0,-5102000.0,-5102000.0,-35941000.0,-35941000.0,124684000.0,124684000.0,-28786000.0,,71414000.0,46703000.0,,,,,,,,,15116000.0,13059000.0,4158000.0,-7250000.0,-7250000.0,50569000.0,50569000.0,77818000.0,2023-09-30
99146000.0,,0.0,-36762000.0,0.0,-52222000.0,668084000.0,579935000.0,2671000.0,85478000.0,-7436000.0,-7436000.0,-7436000.0,0.0,,0.0,-36762000.0,-36762000.0,-36762000.0,0.0,-58454000.0,-58454000.0,-53997000.0,47765000.0,118809000.0,-71044000.0,0.0,0.0,-772000.0,-772000.0,-51450000.0,-51450000.0,151368000.0,151368000.0,-40519000.0,-8957000.0,-7716000.0,1268000.0,2283000.0,7249000.0,-4966000.0,-4966000.0,4640000.0,14043000.0,-46080000.0,-46080000.0,5468000.0,12033000.0,0.0,25152000.0,25152000.0,51570000.0,51570000.0,97664000.0,2023-12-31
