tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.282051,152000000.0,56000000.0,47000000.0,7219000000.0,152000000.0,105000000.0,-27000000.0,27000000.0,56000000.0,56000000.0,7910000000.0,105000000.0,58400000.0,58000000.0,0.96,0.965517,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,22000000.0,78000000.0,-27000000.0,27000000.0,313000000.0,691000000.0,15000000.0,47000000.0,47000000.0,629000000.0,629000000.0,629000000.0,1004000000.0,7219000000.0,8223000000.0,7917000000.0,2022-12-31
0.0,0.25,499000000.0,321000000.0,44000000.0,7043000000.0,499000000.0,455000000.0,-28000000.0,28000000.0,321000000.0,321000000.0,7694000000.0,455000000.0,58000000.0,57500000.0,5.52,5.58,321000000.0,321000000.0,321000000.0,321000000.0,321000000.0,106000000.0,427000000.0,-28000000.0,28000000.0,455000000.0,651000000.0,16000000.0,44000000.0,44000000.0,591000000.0,591000000.0,591000000.0,1106000000.0,7043000000.0,8149000000.0,7885000000.0,2023-03-31
0.0,0.255,485000000.0,309000000.0,42000000.0,7207000000.0,485000000.0,443000000.0,-27000000.0,27000000.0,309000000.0,309000000.0,7884000000.0,443000000.0,57900000.0,57700000.0,5.35,5.37,309000000.0,309000000.0,309000000.0,309000000.0,309000000.0,107000000.0,416000000.0,-27000000.0,27000000.0,443000000.0,677000000.0,17000000.0,42000000.0,42000000.0,618000000.0,618000000.0,618000000.0,1120000000.0,7207000000.0,8327000000.0,8042000000.0,2023-06-30
0.0,0.263,401000000.0,245000000.0,42000000.0,7482000000.0,401000000.0,359000000.0,-27000000.0,27000000.0,245000000.0,245000000.0,8189000000.0,359000000.0,58100000.0,57800000.0,4.21,4.24,245000000.0,245000000.0,245000000.0,245000000.0,245000000.0,87000000.0,332000000.0,-27000000.0,27000000.0,359000000.0,707000000.0,57000000.0,42000000.0,42000000.0,608000000.0,608000000.0,608000000.0,1066000000.0,7482000000.0,8548000000.0,8240000000.0,2023-09-30
0.0,0.252595,359000000.0,216000000.0,43000000.0,8006000000.0,359000000.0,316000000.0,-27000000.0,27000000.0,216000000.0,216000000.0,8732000000.0,316000000.0,58300000.0,58300000.0,3.7,3.704974,216000000.0,216000000.0,216000000.0,216000000.0,216000000.0,73000000.0,289000000.0,-27000000.0,27000000.0,316000000.0,726000000.0,38000000.0,43000000.0,43000000.0,645000000.0,645000000.0,645000000.0,1042000000.0,8006000000.0,9048000000.0,8362000000.0,2023-12-31
0.0,0.245,471000000.0,301000000.0,45000000.0,8711000000.0,471000000.0,426000000.0,-27000000.0,27000000.0,301000000.0,301000000.0,9505000000.0,426000000.0,58300000.0,57900000.0,5.17,5.21,301000000.0,301000000.0,301000000.0,301000000.0,301000000.0,98000000.0,399000000.0,-27000000.0,27000000.0,426000000.0,794000000.0,38000000.0,45000000.0,45000000.0,711000000.0,711000000.0,711000000.0,1220000000.0,8711000000.0,9931000000.0,9504000000.0,2024-03-31
