tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,restructuring_and_mergern_acquisition,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-833150.384193,0.060373,172900000.0,-13800000.0,-13800000.0,85600000.0,43800000.0,321700000.0,159100000.0,115300000.0,-24200000.0,24200000.0,98566849.615807,85600000.0,750100000.0,96700000.0,248300000.0,246900000.0,0.34,0.35,85600000.0,85600000.0,85600000.0,0.0,85600000.0,85600000.0,5500000.0,91100000.0,8900000.0,13900000.0,-13800000.0,-4100000.0,9700000.0,8800000.0,-24200000.0,24200000.0,106400000.0,396700000.0,12100000.0,12100000.0,12100000.0,12100000.0,134700000.0,249900000.0,145700000.0,104200000.0,104200000.0,503100000.0,353400000.0,856500000.0,856500000.0,2022-12-31
-1326600.0,0.198,231500000.0,-6700000.0,-6700000.0,128800000.0,44500000.0,321800000.0,224800000.0,180300000.0,-19700000.0,19700000.0,134173400.0,128800000.0,771700000.0,137000000.0,248700000.0,247200000.0,0.52,0.52,128800000.0,128800000.0,128800000.0,,128800000.0,128800000.0,31800000.0,160600000.0,36600000.0,31900000.0,-6700000.0,,6700000.0,11400000.0,-19700000.0,19700000.0,143700000.0,417100000.0,11700000.0,11700000.0,11700000.0,11700000.0,159300000.0,246100000.0,135400000.0,110700000.0,110700000.0,560800000.0,354600000.0,915400000.0,915400000.0,2023-03-31
-1456000.0,0.224,182900000.0,-6500000.0,-6500000.0,44600000.0,72200000.0,348800000.0,176400000.0,104200000.0,-46700000.0,46700000.0,49644000.0,44600000.0,892400000.0,93600000.0,249000000.0,248100000.0,0.18,0.18,44600000.0,44600000.0,44600000.0,,44600000.0,44600000.0,12900000.0,57500000.0,3000000.0,1500000.0,-6500000.0,1100000.0,7600000.0,8000000.0,-46700000.0,46700000.0,101200000.0,503300000.0,31900000.0,31900000.0,31900000.0,31900000.0,174800000.0,296600000.0,155300000.0,141300000.0,141300000.0,604500000.0,389100000.0,993600000.0,993600000.0,2023-06-30
-359100.0,0.057,201000000.0,-6300000.0,-6300000.0,74900000.0,68500000.0,329800000.0,194700000.0,126200000.0,-46800000.0,46800000.0,80840900.0,74900000.0,824200000.0,121300000.0,249700000.0,248600000.0,0.3,0.3,74900000.0,74900000.0,74900000.0,,74900000.0,74900000.0,4500000.0,79400000.0,-6900000.0,-5800000.0,-6300000.0,5500000.0,11800000.0,5200000.0,-46800000.0,46800000.0,133100000.0,457100000.0,31200000.0,31200000.0,31200000.0,31200000.0,162500000.0,263400000.0,146200000.0,117200000.0,117200000.0,590200000.0,367100000.0,957300000.0,957300000.0,2023-09-30
-4389000.0,0.21,193600000.0,-20900000.0,-20900000.0,63000000.0,65400000.0,318500000.0,172700000.0,107300000.0,-47800000.0,47800000.0,79511000.0,63000000.0,816000000.0,96900000.0,249000000.0,247800000.0,0.25,0.25,63000000.0,63000000.0,63000000.0,,63000000.0,63000000.0,-3500000.0,59500000.0,-9100000.0,8300000.0,-20900000.0,-1400000.0,19500000.0,3500000.0,-47800000.0,47800000.0,116400000.0,460900000.0,28800000.0,28800000.0,28800000.0,28800000.0,167700000.0,264400000.0,146100000.0,118300000.0,118300000.0,577300000.0,355100000.0,932400000.0,932400000.0,2023-12-31
