treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,payables_and_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,investments_and_advances,other_investments,investmentin_financial_assets,available_for_sale_securities,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,receivables,accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
,500265643.0,500265643.0,5032800000.0,10074000000.0,568800000.0,21201300000.0,3929200000.0,568800000.0,539000000.0,11666300000.0,21201300000.0,14534700000.0,2868400000.0,11666300000.0,-496300000.0,-496300000.0,12112600000.0,50000000.0,50000000.0,0.0,14800400000.0,12935600000.0,1545700000.0,1057700000.0,258200000.0,258200000.0,10074000000.0,539000000.0,9535000000.0,1864800000.0,1864800000.0,1864800000.0,665600000.0,665600000.0,1199200000.0,29335100000.0,23541100000.0,426600000.0,10781400000.0,9903900000.0,,,877500000.0,11097500000.0,5154700000.0,5942800000.0,1235600000.0,,1235600000.0,1235600000.0,,,,,5794000000.0,1291800000.0,1291800000.0,4502200000.0,4502200000.0,2022-12-31
,500912066.0,500912066.0,6239100000.0,11040300000.0,754200000.0,22349500000.0,4113300000.0,754200000.0,522600000.0,11831800000.0,22349500000.0,13403100000.0,1571300000.0,11831800000.0,-478400000.0,-478400000.0,12260100000.0,50100000.0,50100000.0,0.0,15682600000.0,14216500000.0,1630300000.0,1206300000.0,339600000.0,339600000.0,11040300000.0,522600000.0,10517700000.0,1466100000.0,1466100000.0,1466100000.0,486900000.0,486900000.0,979200000.0,29085700000.0,23506300000.0,425500000.0,10799300000.0,9610500000.0,,,1188800000.0,11077600000.0,5070400000.0,6007200000.0,1203900000.0,,1203900000.0,1203900000.0,,,,,5579400000.0,1300800000.0,1300800000.0,4278600000.0,4278600000.0,2023-03-31
,499012841.0,499012841.0,6959800000.0,11842200000.0,940900000.0,23295500000.0,4152000000.0,940900000.0,494800000.0,11948100000.0,23295500000.0,13589300000.0,1641200000.0,11948100000.0,-462500000.0,-462500000.0,12360700000.0,49900000.0,49900000.0,0.0,16645300000.0,15067800000.0,1313700000.0,1461200000.0,450700000.0,450700000.0,11842200000.0,494800000.0,11347400000.0,1577500000.0,1577500000.0,1577500000.0,448600000.0,448600000.0,1128900000.0,30234600000.0,24505100000.0,372700000.0,11888100000.0,10721200000.0,,,1166900000.0,11007200000.0,4994900000.0,6012300000.0,1237100000.0,,1237100000.0,1237100000.0,,,,,5729500000.0,1341900000.0,1341900000.0,4387600000.0,4387600000.0,2023-06-30
7023967.0,495937891.0,502961858.0,6882200000.0,11752400000.0,1010900000.0,23201500000.0,4357600000.0,1010900000.0,467800000.0,11916900000.0,23201500000.0,13573900000.0,1657000000.0,11916900000.0,-509300000.0,-509300000.0,12376600000.0,49600000.0,49600000.0,0.0,16547300000.0,15154100000.0,1286200000.0,1665100000.0,450400000.0,450400000.0,11752400000.0,467800000.0,11284600000.0,1393200000.0,1393200000.0,1393200000.0,513500000.0,513500000.0,879700000.0,30121200000.0,24370400000.0,398800000.0,11859200000.0,10719300000.0,50700000.0,50700000.0,1089200000.0,10906000000.0,4902200000.0,6003800000.0,1206400000.0,-957300000.0,2163700000.0,773000000.0,379100000.0,932900000.0,78700000.0,0.0,5750800000.0,1348400000.0,1348400000.0,4402400000.0,4402400000.0,2023-09-30
9423967.0,494734214.0,494734214.0,7006900000.0,11751900000.0,1165300000.0,22888100000.0,3728100000.0,1165300000.0,865400000.0,12001600000.0,22888100000.0,13716100000.0,1714500000.0,12001600000.0,-450300000.0,-450300000.0,12402400000.0,49500000.0,49500000.0,0.0,16149700000.0,14528600000.0,1219700000.0,1163900000.0,393100000.0,393100000.0,11751900000.0,865400000.0,10886500000.0,1621100000.0,1621100000.0,1621100000.0,620000000.0,620000000.0,1001100000.0,29865800000.0,24516600000.0,399200000.0,11680400000.0,10474300000.0,,,1206100000.0,10836300000.0,4823400000.0,6012900000.0,1600700000.0,,1600700000.0,1600700000.0,,,,,5349200000.0,1469600000.0,1469600000.0,3879600000.0,3879600000.0,2023-12-31
